patterns,themes
duurzame agglomeratie,['building']
bioklima[^ ]+ architect,['building']
duurzame architect,['building']
bioklima[^ ]+ ontwerp,['building']
energiezuinig gebouwontwerp,['building']
duurzaam (?:gebouw|constructie),['building']
(?:energiezuinige|passieve) (?:gebouw|constructie),['building']
eco[- ]?constructie,['building']
stadsuitbreiding,['building']
milieuvergunning,['building']
duurzame (?:stad|steden),['building']
"[ruimtelijke ordening, (?:milieu|ecosystee?m)]",['building']
"[ruimtelijke ordening, duurzaa?m]",['building']
"[energiebesparing, gebouw]",['building']
"[energiebesparing, industrie]",['building']
"[energieprestatie, gebouw]",['building']
"[energieprestatie, architect]",['building']
(?:lage[- ]?koolstof|koolstofarm),['carbon']
koolstofbalans,['carbon']
(?:(?:vastlegging|opslag) van (?:co2|koolstof|kool(?:stof)?dioxide)|(?:co2|koolstof|kool(?:stof)?dioxide) (?:vastlegging|opslag)),['carbon']
(?:(?:omzetting|transformatie) van (?:co2|koolstof|kool(?:stof)?dioxide)|(?:co2|koolstof|kool(?:stof)?dioxide) (?:omzetting|transformatie)),['carbon']
koolstof ?cyclus,['carbon']
decarbonisatie,['carbon']
(?:uitstoot|emissie) van (?:co2|koolstof|kool(?:stof)?dioxide),['carbon']
koolstof ?voetafdruk,['carbon']
klimaatneutra,['carbon']
(?:opslag[^ ]+ van (?:co2|koolstof|kool(?:stof)?dioxide)|(?:co2|koolstof|kool(?:stof)?dioxide) opslag),['carbon']
(?:valorisatie[^ ]+ van (?:co2|koolstof|kool(?:stof)?dioxide)|(?:co2|koolstof|kool(?:stof)?dioxide) valorisatie),['carbon']
(?:^|[^a-z])cop ?[0-9]+,['climate']
"[(?:parijs[ -]?akkoord|akkoord van parijs), klimaat]",['climate']
klimaat ?adaptatie,['climate']
klimaat ?verandering,['climate']
klimatologie,['climate']
klimaatscepticus,['climate']
klimaat ?crisis,['climate']
broeikaseffect,['climate']
klimaat ?proble,['climate']
glaciologie,['climate']
klimaat ?impact,['climate']
klimaat ?instabiliteit,['climate']
klimaat ?(?:gerechtigheid|rechtvaardigheid),['climate']
klimaat ?migratie,['climate']
klimaat ?model,['climate']
klimaat ?beleid,['climate']
klimaat ?project,['climate']
klimaat ?vraagstuk,['climate']
(?:opwarming van het klimaat|klimaat ?opwarming),['climate']
opwarming van de aarde,['climate']
klimaat ?opwarming,['climate']
klimaat ?ontwrichting,['climate']
klimaat ?vluchteling,['climate']
klimaat ?strategie,['climate']
klimaat ?transitie,['climate']
klimaat ?nood(?:situatie|geval),['climate']
bio[ -]?ga(?:s|z),['energy']
fotovoltaische elektri,['energy']
groene elektri,['energy']
alternatieve energie,['energy']
wind ?energie,['energy']
fossiele energie,['energy']
hernieuwbare energie,['energy']
groene energie,['energy']
waterkracht,['energy']
micro[- ]?grid,['energy']
fotovoltaisch panee?l,['energy']
thermische? zonnepanee?l,['energy']
geconcentreerde zonne[ -]?energie,['energy']
energie ?transitie,['energy']
"[biomassa, (?:energie|elektri[^ ]+) ?productie]",['energy']
"[energie, duurzaa?m]",['energy']
"[kernenergie, (?:energ[^ ]|elektrisch[^ ]) productie]",['energy']
(?:verminder|verlaag)[^ ]* (?:van )?energieverbruik,['energy']
"[[ ]ecolo[^ ]+]",['life']
(?:verzuring van (?:de )?oceaa?n|oceaanverzuring),['life']
anthropoceen,['life']
(?:milieu antropologie|antropologie van het milieu),['life']
(?:voordee?l voor het (?:milieu|ecosystee?m)|(?:milieu|ecosystee?m[^ ]*) ?voordee?l),['life']
(?:welzijn van dier|dierenwelzijn),['life']
biodiversiteit,['life']
(?:behoud|conserverings) ?biologie,['life']
milieu ?biologie,['life']
(?:zee|marine) ?biologie,['life']
biosfeer,['life']
bio[- ]?indicator,['life']
bio[- ]?gebaseerd,['life']
(?:natuurbehoud|behoud van (?:de )natuur),['life']
