id,climate,energy,environment,resources,sustainability,dedicated
161929,0,0,0,0,0,0
161928,0,0,0,0,0,0
161930,0,0,0,0,0,0
161933,0,0,0,0,0,0
161934,0,0,0,0,0,0
161939,0,0,0,0,0,0
161940,0,0,0,0,0,0
161941,0,0,0,0,0,0
161942,0,0,0,0,0,0
161943,0,0,0,0,0,0
161944,0,0,0,0,0,0
161945,0,0,0,0,0,0
161946,0,0,0,0,0,0
161948,0,0,0,0,0,0
161949,0,0,0,0,0,0
161950,0,0,0,0,0,0
161951,0,0,0,0,0,0
161952,0,0,0,0,0,0
161953,0,0,0,0,0,0
161954,0,0,0,0,0,0
161955,0,0,0,0,0,0
161968,0,0,0,0,0,0
161969,0,0,0,0,0,0
161970,0,0,0,0,0,0
161971,0,0,0,0,0,0
161972,0,0,0,0,0,0
161973,0,0,0,0,0,0
161974,0,0,0,0,0,0
161975,0,0,0,0,0,0
161976,0,0,0,0,0,0
161977,0,0,0,0,0,0
161978,0,0,0,0,0,0
161979,0,0,0,0,0,0
161980,0,0,0,0,0,0
161981,0,0,0,0,0,0
161982,0,0,0,0,0,0
161983,0,0,0,0,0,0
161985,0,0,0,0,0,0
161986,0,0,0,0,0,0
161987,0,0,0,0,0,0
161988,0,0,0,0,0,0
161989,0,0,0,0,0,0
161991,0,0,0,0,0,0
161992,0,0,0,0,0,0
161993,0,0,0,0,0,0
161994,0,0,0,0,0,0
161995,0,0,0,0,0,0
161996,0,0,0,0,0,0
161997,0,0,0,0,0,0
161998,0,0,0,0,0,0
161999,0,0,0,0,0,0
162000,0,0,0,0,0,0
162001,0,0,0,0,0,0
162002,0,0,0,0,0,0
162003,0,0,0,0,0,0
162004,0,0,0,0,0,0
162005,0,0,0,0,0,0
162006,0,0,0,0,0,0
162007,0,0,0,0,0,0
162008,0,0,0,0,0,0
162009,0,0,0,0,0,0
162010,0,0,0,0,0,0
162011,0,0,0,0,0,0
162012,0,0,0,0,0,0
162013,0,0,0,0,0,0
162014,0,0,0,0,0,0
162015,0,0,0,0,0,0
162020,0,0,0,0,0,0
162021,0,0,0,0,0,0
162022,0,0,0,0,0,0
162023,0,0,0,0,0,0
162025,0,0,0,0,0,0
162026,0,0,0,0,0,0
162027,0,0,0,0,0,0
162028,0,0,0,0,0,0
162029,0,0,0,0,0,0
162030,0,0,0,0,0,0
162031,0,0,0,0,0,0
162032,0,0,0,0,0,0
162033,0,0,0,0,0,0
162034,0,0,0,0,0,0
162035,0,0,0,0,0,0
162037,0,0,0,0,0,0
162036,0,0,0,0,0,0
162038,0,0,0,0,0,0
162039,0,0,0,0,0,0
162040,0,0,0,0,0,0
162041,0,0,0,0,0,0
162042,0,0,0,0,0,0
162043,0,0,0,0,0,0
162044,0,0,0,0,0,0
162045,0,0,0,0,0,0
162046,0,0,0,0,0,0
162047,0,0,0,0,0,0
162111,0,0,0,0,0,0
162112,0,0,0,0,0,0
162113,0,0,0,0,0,0
162114,0,0,0,0,0,0
162115,0,0,0,0,0,0
162116,0,0,0,0,0,0
166841,0,0,0,0,0,0
166842,0,0,0,0,0,0
166843,0,0,0,0,0,0
166845,0,0,0,0,0,0
166846,0,0,0,0,0,0
166850,0,0,0,0,0,0
166854,0,0,0,0,0,0
166855,0,0,0,0,0,0
166858,0,0,0,0,0,0
166859,0,0,0,0,0,0
166860,0,0,0,0,0,0
166861,0,0,0,0,0,0
166878,0,0,0,0,0,0
166879,0,0,0,0,0,0
166880,0,0,0,0,0,0
166881,0,0,0,0,0,0
166882,0,0,0,0,0,0
166883,0,0,0,0,0,0
166884,0,0,0,0,0,0
166885,0,0,0,0,0,0
166886,0,0,0,0,0,0
166887,0,0,0,0,0,0
166888,0,0,0,0,0,0
166889,0,0,0,0,0,0
166890,0,0,0,0,0,0
166891,0,0,0,0,0,0
166892,0,0,0,0,0,0
166895,0,0,0,0,0,0
166896,0,0,0,0,0,0
166897,0,0,0,0,0,0
166898,0,0,0,0,0,0
166899,0,0,0,0,0,0
166901,0,0,0,0,0,0
166902,0,0,0,0,0,0
166903,0,0,0,0,0,0
166904,0,0,0,0,0,0
166905,0,0,0,0,0,0
166906,0,0,0,0,0,0
166907,0,0,0,0,0,0
166908,0,0,0,0,0,0
166909,0,0,0,0,0,0
166910,0,0,0,0,0,0
166911,0,0,0,0,0,0
166912,0,0,0,0,0,0
166913,0,0,0,0,0,0
166914,0,0,0,0,0,0
166916,0,0,0,0,0,0
166917,0,0,0,0,0,0
166918,0,0,0,0,0,0
166919,0,0,0,0,0,0
166920,0,0,0,0,0,0
166921,0,0,0,0,0,0
166922,0,0,0,0,0,0
166923,0,0,0,0,0,0
166924,0,0,0,0,0,0
166925,0,0,0,0,0,0
166926,0,0,0,0,0,0
166927,0,0,0,0,0,0
166928,0,0,0,0,0,0
166929,0,0,0,0,0,0
166930,0,0,0,0,0,0
166931,0,0,0,0,0,0
166932,0,0,0,0,0,0
166933,0,0,0,0,0,0
166934,0,0,0,0,0,0
166935,0,0,0,0,0,0
166936,0,0,0,0,0,0
166937,0,0,0,0,0,0
166938,0,0,0,0,0,0
166939,0,0,0,0,0,0
166940,0,0,0,0,0,0
166941,0,0,0,0,0,0
166942,0,0,0,0,0,0
166943,0,0,0,0,0,0
166944,0,0,0,0,0,0
166945,0,0,0,0,0,0
166946,0,0,0,0,0,0
166947,0,0,0,0,0,0
166948,0,0,0,0,0,0
166949,0,0,0,0,0,0
166950,0,0,0,0,0,0
166951,0,0,0,0,0,0
166978,0,0,0,0,0,0
166979,0,0,0,0,0,0
166980,0,0,0,0,0,0
166981,0,0,0,0,0,0
166982,0,0,0,0,0,0
166983,0,0,0,0,0,0
166984,0,0,0,0,0,0
166985,0,0,0,0,0,0
166986,0,0,0,0,0,0
166987,0,0,0,0,0,0
166988,0,0,0,0,0,0
166989,0,0,0,0,0,0
166990,0,0,0,0,0,0
166991,0,0,0,0,0,0
166993,0,0,0,0,0,0
167006,0,0,0,0,0,0
167007,0,0,0,0,0,0
167008,0,0,0,0,0,0
167009,0,0,0,0,0,0
167010,0,0,0,0,0,0
167011,0,0,0,0,0,0
167013,0,0,0,0,0,0
167014,0,0,0,0,0,0
167015,0,0,0,0,0,0
167016,0,0,0,0,0,0
167017,0,0,0,0,0,0
167018,0,0,0,0,0,0
167019,0,0,0,0,0,0
167020,0,0,0,0,0,0
167021,0,0,0,0,0,0
167022,0,0,0,0,0,0
167023,0,0,0,0,0,0
167024,0,0,0,0,0,0
167025,0,0,0,0,0,0
167026,0,0,0,0,0,0
167029,0,0,0,0,0,0
167030,0,0,0,0,0,0
167031,0,0,0,0,0,0
167032,0,0,0,0,0,0
167044,0,0,0,0,0,0
167045,0,0,0,0,0,0
167046,0,0,0,0,0,0
167047,0,0,0,0,0,0
167048,0,0,0,0,0,0
167050,0,0,0,0,0,0
167051,0,0,0,0,0,0
167052,0,0,0,0,0,0
167053,0,0,0,0,0,0
167054,0,0,0,0,0,0
167055,0,0,0,0,0,0
167056,0,0,0,0,0,0
167057,0,0,0,0,0,0
167058,0,0,0,0,0,0
167059,0,0,0,0,0,0
167060,0,0,0,0,0,0
167061,0,0,0,0,0,0
167062,0,0,0,0,0,0
167064,0,0,0,0,0,0
167065,0,0,0,0,0,0
167067,0,0,0,0,0,0
167068,0,0,0,0,0,0
167069,0,0,0,0,0,0
167070,0,0,0,0,0,0
167071,0,0,0,0,0,0
167072,0,0,0,0,0,0
167073,0,0,0,0,0,0
167077,0,0,0,0,0,0
167078,0,0,0,0,0,0
167079,0,0,0,0,0,0
167080,0,0,0,0,0,0
167081,0,0,0,0,0,0
167082,0,0,0,0,0,0
167083,0,0,0,0,0,0
167084,0,0,0,0,0,0
167085,0,0,0,0,0,0
167086,0,0,0,0,0,0
167087,0,0,0,0,0,0
167088,0,0,0,0,0,0
167089,0,0,0,0,0,0
167090,0,0,0,0,0,0
167091,0,0,0,0,0,0
167092,0,0,0,0,0,0
167093,0,0,0,0,0,0
167094,0,0,0,0,0,0
167095,0,0,0,0,0,0
167096,0,0,0,0,0,0
167097,0,0,0,0,0,0
167098,0,0,0,0,0,0
167099,0,0,0,0,0,0
167100,0,0,0,0,0,0
167101,0,0,0,0,0,0
167103,0,0,0,0,0,0
167108,0,0,0,0,0,0
167109,0,0,0,0,0,0
167110,0,0,0,0,0,0
167111,0,0,0,0,0,0
167112,0,0,0,0,0,0
167113,0,0,0,0,0,0
167114,0,0,0,0,0,0
167116,0,0,0,0,0,0
167117,0,0,0,0,0,0
167118,0,0,0,0,0,0
167119,0,0,0,0,0,0
167120,0,0,0,0,0,0
167121,0,0,0,0,0,0
167122,0,0,0,0,0,0
167124,0,0,0,0,0,0
167125,0,0,0,0,0,0
167126,0,0,0,0,0,0
167127,0,0,0,0,0,0
167128,0,0,0,0,0,0
167129,0,0,0,0,0,0
167130,0,0,0,0,0,0
167131,0,0,0,0,0,0
167132,0,0,0,0,0,0
167133,0,0,0,0,0,0
167138,0,0,0,0,0,0
167139,0,0,0,0,0,0
167140,0,0,0,0,0,0
167141,0,0,0,0,0,0
167143,0,0,0,0,0,0
167144,0,0,0,0,0,0
167147,0,0,0,0,0,0
167148,0,0,0,0,0,0
167151,0,0,0,0,0,0
167152,0,0,0,0,0,0
167153,0,0,0,0,0,0
167159,0,0,0,0,0,0
167160,0,0,0,0,0,0
167161,0,0,0,0,0,0
167163,0,0,0,0,0,0
167165,0,0,0,0,0,0
167166,0,0,0,0,0,0
167167,0,0,0,0,0,0
167168,0,0,0,0,0,0
167169,0,0,0,0,0,0
167170,0,0,0,0,0,0
167173,0,0,0,0,0,0
167174,0,0,0,0,0,0
167175,0,0,0,0,0,0
167176,0,0,0,0,0,0
167181,0,0,0,0,0,0
167182,0,0,0,0,0,0
167183,0,0,0,0,0,0
167184,0,0,0,0,0,0
167189,0,0,0,0,0,0
167190,0,0,0,0,0,0
167191,0,0,0,0,0,0
167192,0,0,0,0,0,0
167197,0,0,0,0,0,0
167198,0,0,0,0,0,0
167199,0,0,0,0,0,0
167200,0,0,0,0,0,0
167205,0,0,0,0,0,0
167207,0,0,0,0,0,0
167209,0,0,0,0,0,0
167218,0,0,0,0,0,0
167219,0,0,0,0,0,0
167220,0,0,0,0,0,0
167224,0,0,0,0,0,0
167225,0,0,0,0,0,0
167226,0,0,0,0,0,0
167227,0,0,0,0,0,0
167228,0,0,0,0,0,0
167230,0,0,0,0,1,0
167231,0,0,0,0,1,0
167232,0,0,0,0,0,0
167234,0,0,0,0,0,0
167235,0,0,0,0,0,0
167236,0,0,0,0,0,0
167237,0,0,0,0,0,0
167238,0,0,0,0,0,0
167239,0,0,0,0,0,0
167240,0,0,0,0,0,0
167241,0,0,0,0,0,0
167242,0,0,0,0,0,0
167243,0,0,0,0,0,0
167256,0,0,0,0,0,0
167259,0,0,0,0,0,0
167260,0,0,0,0,0,0
167261,0,0,0,0,0,0
167262,0,0,0,0,0,0
167263,0,0,0,0,0,0
167264,0,0,0,0,0,0
167268,0,0,0,0,0,0
167269,0,0,0,0,0,0
167270,0,0,0,0,0,0
167271,0,0,0,0,0,0
167272,0,0,0,0,0,0
167274,0,0,0,0,0,0
167275,0,0,0,0,0,0
167276,0,0,0,0,0,0
167277,0,0,0,0,0,0
167278,0,0,0,0,0,0
167279,0,0,0,0,0,0
167280,0,0,0,0,0,0
167281,0,0,0,0,0,0
167282,0,0,0,0,0,0
167283,0,0,0,0,0,0
167284,0,0,0,0,0,0
167285,0,0,0,0,0,0
167286,0,0,0,0,0,0
167287,0,0,0,0,0,0
167290,0,0,0,0,0,0
167294,0,0,0,0,0,0
167295,0,0,0,0,0,0
167296,0,0,0,0,0,0
167297,0,0,0,0,0,0
167298,0,0,0,0,0,0
167299,0,0,0,0,0,0
167300,0,0,0,0,0,0
167301,0,0,0,0,0,0
167302,0,0,0,0,0,0
167303,0,0,0,0,0,0
167304,0,0,0,0,0,0
167305,0,0,0,1,0,0
167306,0,0,0,0,0,0
167307,0,0,0,0,0,0
167308,0,0,0,0,0,0
167309,0,0,0,0,0,0
167312,0,0,0,0,0,0
167313,0,0,0,0,0,0
167314,0,0,0,0,0,0
167316,0,0,0,0,0,0
167317,0,0,0,0,0,0
167318,0,0,0,0,0,0
167319,0,0,0,0,0,0
167320,0,0,0,0,0,0
167321,0,0,0,0,0,0
167323,0,0,0,0,0,0
167324,0,0,0,0,0,0
167325,0,0,0,0,0,0
167326,0,0,0,0,0,0
167328,0,0,0,0,0,0
167329,0,0,0,0,0,0
167330,0,0,0,0,0,0
167333,0,0,0,0,0,0
167334,0,0,0,0,0,0
167337,0,0,0,0,0,0
167338,0,0,0,0,0,0
167339,0,0,0,0,0,0
167343,0,0,0,0,0,0
167344,0,0,0,0,0,0
167349,0,0,0,0,0,0
167354,0,0,0,0,0,0
167355,0,0,0,0,0,0
167356,0,0,0,0,0,0
167358,0,0,0,0,0,0
167359,0,0,0,0,0,0
167363,0,0,0,0,0,0
167364,0,0,0,0,0,0
167365,0,0,0,0,0,0
167366,0,0,0,0,0,0
167367,0,0,0,0,0,0
167368,0,0,0,0,0,0
167369,0,0,0,0,0,0
167370,0,0,0,0,0,0
167371,0,0,0,0,0,0
167372,0,0,0,0,0,0
167373,0,0,0,0,0,0
167374,0,0,0,0,0,0
167375,0,0,0,0,0,0
167376,0,0,0,0,0,0
167377,0,0,0,0,0,0
167378,0,0,0,0,0,0
167382,0,0,0,0,0,0
167383,0,0,0,0,0,0
167384,0,0,0,0,0,0
167385,0,0,0,0,0,0
167386,0,0,0,0,0,0
167387,0,0,0,0,0,0
167388,0,0,0,0,0,0
167391,0,0,0,0,0,0
167392,0,0,0,0,0,0
167393,0,0,0,0,0,0
167395,0,0,0,0,0,0
167397,0,0,0,0,0,0
167401,0,0,0,0,0,0
167402,0,0,0,0,0,0
167403,0,0,0,0,0,0
167404,0,0,0,0,0,0
167406,0,0,0,0,0,0
167407,0,0,0,0,0,0
167408,0,0,0,0,0,0
167409,0,0,0,0,0,0
167410,0,0,0,0,0,0
167411,0,0,0,0,0,0
167413,0,0,0,0,0,0
167414,0,0,0,0,0,0
167415,0,0,0,0,0,0
167416,0,0,0,0,0,0
167417,0,0,0,0,0,0
167420,0,0,0,0,0,0
167421,0,0,0,0,0,0
167426,0,0,0,0,0,0
167428,0,0,0,0,0,0
167429,0,0,0,0,0,0
167430,0,0,0,0,0,0
167431,0,0,0,0,0,0
167432,0,0,0,0,0,0
167433,0,0,0,0,0,0
167434,0,0,0,0,0,0
167435,0,0,0,0,0,0
167436,0,0,0,0,0,0
167438,0,0,0,0,0,0
167441,0,0,0,0,0,0
167443,0,0,0,0,0,0
167444,0,0,0,0,0,0
167447,0,0,0,0,0,0
167448,0,0,0,0,0,0
167453,0,0,0,0,0,0
167454,0,0,0,0,0,0
167455,0,0,0,0,0,0
167456,0,0,0,0,0,0
167461,0,0,0,0,0,0
167462,0,0,0,0,0,0
167463,0,0,0,0,0,0
167464,0,0,0,0,0,0
167467,0,0,0,0,0,0
167468,0,0,0,0,0,0
167469,0,0,0,0,0,0
167473,0,0,0,0,0,0
167474,0,0,0,0,0,0
167475,0,0,0,0,0,0
167476,0,0,0,0,0,0
167477,0,0,0,0,0,0
167478,0,0,0,0,0,0
167479,0,0,0,0,0,0
167480,0,0,0,0,0,0
167484,0,0,0,0,0,0
167485,0,0,0,0,0,0
167488,0,0,0,0,0,0
167489,0,0,0,0,0,0
167494,0,0,0,0,0,0
167495,0,0,0,0,0,0
167496,0,0,0,0,0,0
167497,0,0,0,0,0,0
167502,0,0,0,0,0,0
167503,0,0,0,0,0,0
167504,0,0,0,0,0,0
167505,0,0,0,0,0,0
167510,0,0,0,0,0,0
167511,0,0,0,0,0,0
167512,0,0,0,0,0,0
167513,0,0,0,0,0,0
167517,0,0,0,0,0,0
167518,0,0,0,0,0,0
167519,0,0,0,0,0,0
167524,0,0,0,0,0,0
167525,0,0,0,0,0,0
167526,0,0,0,0,0,0
167527,0,0,0,0,0,0
167532,0,0,0,0,0,0
167533,0,0,0,0,0,0
167534,0,0,0,0,0,0
167535,0,0,0,0,0,0
167540,0,0,0,0,0,0
167541,0,0,0,0,0,0
167542,0,0,0,0,0,0
167543,0,0,0,0,0,0
167548,0,0,0,0,0,0
167549,0,0,0,0,0,0
167550,0,0,0,0,0,0
167551,0,0,0,0,0,0
167556,0,0,0,0,0,0
167557,0,0,0,0,0,0
167558,0,0,0,0,0,0
167559,0,0,0,0,0,0
167564,0,0,0,0,0,0
167565,0,0,0,0,0,0
167566,0,0,0,0,0,0
167567,0,0,0,0,0,0
167575,0,0,0,0,0,0
167576,0,0,0,0,0,0
167577,0,0,0,0,0,0
167578,0,0,0,0,0,0
167583,0,0,0,0,0,0
167584,0,0,0,0,0,0
167585,0,0,0,0,0,0
167586,0,0,0,0,0,0
167591,0,0,0,0,0,0
167592,0,0,0,0,0,0
167593,0,0,0,0,0,0
167594,0,0,0,0,0,0
167599,0,0,0,0,0,0
167600,0,0,0,0,0,0
167601,0,0,0,0,0,0
167604,0,0,0,0,0,0
167605,0,0,0,0,0,0
167608,0,0,0,0,0,0
167609,0,0,0,0,0,0
167613,0,0,0,0,0,0
167614,0,0,0,0,0,0
167615,0,0,0,0,0,0
167616,0,0,0,0,0,0
167621,0,0,0,0,0,0
167622,0,0,0,0,0,0
167623,0,0,0,0,0,0
167624,0,0,0,0,0,0
167629,0,0,0,0,0,0
167630,0,0,0,0,0,0
167631,0,0,0,0,0,0
167632,0,0,0,0,0,0
167637,0,0,0,0,0,0
167638,0,0,0,0,0,0
167639,0,0,0,0,0,0
167640,0,0,0,0,0,0
167645,0,0,0,0,0,0
167646,0,0,0,0,0,0
167647,0,0,0,0,0,0
167648,0,0,0,0,0,0
167653,0,0,0,0,0,0
167654,0,0,0,0,0,0
167655,0,0,0,0,0,0
167656,0,0,0,0,0,0
167661,0,0,0,0,0,0
167662,0,0,0,0,0,0
167663,0,0,0,0,0,0
167664,0,0,0,0,0,0
167668,0,0,0,0,0,0
167669,0,0,0,0,0,0
167670,0,0,0,0,0,0
167671,0,0,0,0,0,0
167672,0,0,0,0,0,0
167673,0,0,0,0,0,0
167674,0,0,0,0,0,0
167675,0,0,0,0,0,0
167676,0,0,0,0,0,0
167677,0,0,0,0,0,0
167678,0,0,0,0,0,0
167679,0,0,0,0,0,0
167680,0,0,0,0,0,0
167681,0,0,0,0,0,0
167682,0,0,0,0,0,0
167683,0,0,0,0,0,0
167684,0,0,0,0,0,0
167685,0,0,0,0,0,0
167686,0,0,0,0,0,0
167687,0,0,0,0,0,0
167688,0,0,0,0,0,0
167689,0,0,0,0,0,0
167690,0,0,0,0,0,0
167691,0,0,0,0,0,0
167692,0,0,0,0,0,0
167693,0,0,0,0,0,0
167695,0,0,0,0,0,0
167698,0,0,0,0,0,0
167699,0,0,0,0,0,0
167700,0,0,0,0,0,0
167703,0,0,0,0,0,0
167704,0,0,0,0,0,0
167705,0,0,0,0,0,0
167706,0,0,0,0,0,0
167711,0,0,0,0,0,0
167712,0,0,0,0,0,0
167713,0,0,0,0,0,0
167714,0,0,0,0,0,0
167719,0,0,0,0,0,0
167720,0,0,0,0,0,0
167721,0,0,0,0,0,0
167722,0,0,0,0,0,0
167727,0,0,0,0,0,0
167728,0,0,0,0,0,0
167729,0,0,0,0,0,0
167730,0,0,0,0,0,0
167734,0,0,0,0,0,0
167735,0,0,0,0,0,0
167739,0,0,0,0,0,0
167740,0,0,0,0,0,0
167741,0,0,0,0,0,0
167742,0,0,0,0,0,0
167747,0,0,0,0,0,0
167748,0,0,0,0,0,0
167749,0,0,0,0,0,0
167750,0,0,0,0,0,0
167755,0,0,0,0,0,0
167756,0,0,0,0,0,0
167757,0,0,0,0,0,0
167758,0,0,0,0,0,0
167763,0,0,0,0,0,0
167764,0,0,0,0,0,0
167765,0,0,0,0,0,0
167766,0,0,0,0,0,0
167771,0,0,0,0,0,0
167772,0,0,0,0,0,0
167773,0,0,0,0,0,0
167774,0,0,0,0,0,0
167779,0,0,0,0,0,0
167780,0,0,0,0,0,0
167781,0,0,0,0,0,0
167782,0,0,0,0,0,0
167789,0,0,0,0,0,0
167790,0,0,0,0,0,0
167791,0,0,0,0,0,0
167792,0,0,0,0,0,0
167799,0,0,0,0,0,0
167800,0,0,0,0,0,0
167801,0,0,0,0,0,0
167802,0,0,0,0,0,0
167807,0,0,0,0,0,0
167808,0,0,0,0,0,0
167809,0,0,0,0,0,0
167810,0,0,0,0,0,0
167815,0,0,0,0,0,0
167816,0,0,0,0,0,0
167817,0,0,0,0,0,0
167818,0,0,0,0,0,0
167822,0,0,0,0,0,0
167823,0,0,0,0,0,0
167825,0,0,0,0,0,0
167826,0,0,0,0,0,0
167828,0,0,0,0,0,0
167829,0,0,0,0,0,0
167833,0,0,0,0,0,0
167834,0,0,0,0,0,0
167835,0,0,0,0,0,0
167836,0,0,0,0,0,0
167837,0,0,0,0,0,0
167843,0,0,0,0,0,0
167844,0,0,0,0,0,0
167845,0,0,0,0,0,0
167846,0,0,0,0,0,0
167851,0,0,0,0,0,0
167852,0,0,0,0,0,0
167853,0,0,0,0,0,0
167854,0,0,0,0,0,0
167859,0,0,0,0,0,0
167860,0,0,0,0,0,0
167861,0,0,0,0,0,0
167862,0,0,0,0,0,0
167867,0,0,0,0,0,0
167868,0,0,0,0,0,0
167869,0,0,0,0,0,0
167870,0,0,0,0,0,0
167875,0,0,0,0,0,0
167876,0,0,0,0,0,0
167877,0,0,0,0,0,0
167878,0,0,0,0,0,0
167884,0,0,0,0,0,0
167886,0,0,0,0,0,0
167887,0,0,0,0,0,0
167892,0,0,0,0,0,0
167893,0,0,0,0,0,0
167894,0,0,0,0,0,0
167895,0,0,0,0,0,0
167897,0,0,0,0,0,0
167898,0,0,0,0,0,0
167899,0,0,0,0,0,0
167901,0,0,0,0,0,0
167905,0,0,0,0,0,0
167909,0,0,0,0,0,0
167912,0,0,0,0,0,0
167913,0,0,0,0,0,0
167914,0,0,0,0,0,0
167915,0,0,0,0,0,0
167918,0,0,0,0,0,0
