id,climate,energy,environment,resources,sustainability,dedicated,total
PBABEM,1,0,2,0,1,0,3
PGROMI,0,0,0,0,1,0,1
PGRLEB,0,0,0,0,0,0,0
PBAIBM,1,0,2,0,3,0,4
PBAOFM,0,0,1,0,0,0,1
PBAIOM,1,0,2,0,2,0,3
BNBZRL,0,0,0,0,0,0,0
GRAAAD,0,0,0,0,0,0,0
PGRIWC,0,0,0,0,0,0,0
BNBBUO,0,0,0,0,0,0,0
GRAEGO,0,0,0,0,1,0,1
PBAOSV,0,0,0,0,1,0,1
BNBSON,0,0,0,0,0,0,0
PBAOSO,0,0,6,0,2,0,6
PBAOKO,0,0,0,0,0,0,0
PGRPSW,0,0,0,0,0,0,0
PGRCSC,0,0,0,0,0,0,0
PBAOLO,3,0,1,0,0,0,4
GRATVG,0,0,0,0,0,0,0
PBASOW,0,0,1,0,3,2,3
GRAIBA,0,0,0,0,0,0,0
PGRPEN,0,0,0,0,0,0,0
PBAPJK,0,0,0,0,0,0,0
PGRNEZ,0,0,0,0,0,0,0
PGRONC,0,0,0,0,0,0,0
GRAMAW,0,0,0,0,0,0,0
PGRNCS,0,0,0,0,0,0,0
GRAOTP,0,0,0,0,0,0,0
GRASCW,0,0,0,0,0,0,0
PGRLAC,0,0,0,0,0,0,0
PGRKOV,0,0,0,0,0,0,0
PGRHIP,0,0,0,0,0,0,0
PGRDYS,0,0,0,0,0,0,0
PGRAPZ,0,0,0,0,0,0,0
PGRDED,0,0,0,0,0,0,0
BNBCRT,0,0,0,0,0,0,0
PBAVRK,0,0,0,0,0,0,0
PBAVPK,0,0,4,0,0,4,4
PGRDCC,0,0,0,0,0,0,0
PBAMOZ,0,0,2,0,0,0,2
PBAPOD,0,0,0,0,0,0,0
PGRCOD,0,0,0,0,0,0,0
GRAPGM,0,0,0,0,0,0,0
PBAERG,0,0,3,0,1,0,4
PBAJOU,0,0,0,0,2,0,2
PBAIGM,0,0,0,2,1,0,3
PBALOA,0,0,0,0,0,0,0
PGREXA,0,0,0,0,0,0,0
PGRLSC,0,0,0,0,0,0,0
PGRDMC,0,0,0,0,0,0,0
PBAGDM,0,0,0,2,1,0,3
PGRSCA,0,0,0,0,0,0,0
PBACOM,0,0,2,0,0,0,2
PGRAUT,0,0,0,0,0,0,0
PGRLST,0,0,0,0,0,0,0
PGRINC,0,0,0,0,0,0,0
PGRHRM,0,0,0,0,0,0,0
GRAMCS,0,0,0,0,0,0,0
PBAICM,0,0,1,0,1,0,2
PGRDBT,0,0,0,0,0,0,0
PGRRVC,0,0,0,0,0,0,0
