id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
PBABEM,2,0,1,1,0,0,0,3,0,0,0,0,0,4
GRAAAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAOFM,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PBAIOM,0,0,1,1,0,0,0,1,0,0,0,0,0,2
PBAIBM,0,0,1,1,0,0,0,0,0,0,0,0,0,1
PGRRVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRLEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGROMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRLSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRFRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNBSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNBBUO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNBZRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAEGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAOSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAOSO,1,0,2,0,4,0,0,18,0,0,0,9,3,31
PGRPSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAOLO,0,0,3,0,0,0,0,5,0,0,0,0,0,6
GRAOTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBASOW,0,0,0,1,1,0,0,6,0,0,0,0,1,6
GRATVG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRCSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRASCW,0,0,0,0,0,0,0,2,0,0,0,0,0,2
GRAMAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAOKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAIBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRNCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRKOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRNEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRDYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRLAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRDED,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRCRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRAPZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNBCRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAVRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAVPK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAMOZ,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PBAPJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAERG,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PBAPOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRDCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBALOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAIGM,0,0,0,0,0,0,0,4,0,0,0,0,0,4
PBAIJO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAGDM,0,0,0,0,0,0,0,4,0,0,0,0,0,4
PBAICM,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GRAPGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRAUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBACOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRLST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGREXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRINC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRHRM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBAJOU,0,0,2,0,0,0,0,0,0,0,0,0,0,2
PGRSCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRDMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRATRL,0,0,0,1,0,0,0,0,0,0,0,0,0,1
GRAMCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRIWC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
