id,climate,energy,environment,resources,sustainability,dedicated
4eiai40,0,0,0,0,0,0
4eial40,0,0,0,0,0,0
4eiam40,0,0,0,0,0,0
4eiaw40,0,0,0,0,0,0
4eidb40,0,0,0,0,0,0
4auai40,0,0,0,0,0,0
4eios40,0,0,0,0,0,0
4auds40,0,0,0,0,0,0
4eisa40,0,0,0,0,0,0
4aumd40,0,0,0,0,0,0
4aure40,0,0,0,0,0,0
6inrs60,0,0,0,0,0,0
5eiad50,0,0,0,0,0,0
4aurg40,0,0,0,0,0,0
5eiir50,0,0,0,0,0,0
4aurl40,0,0,0,0,0,0
5eisd50,0,0,0,0,0,0
4ause40,0,0,0,0,0,0
4auta40,0,0,0,0,0,0
6intf60,0,0,0,0,0,0
4cobe40,0,0,0,0,0,0
4cobp40,0,0,0,0,0,0
4coca40,0,0,0,0,0,0
4coct40,0,0,0,0,0,0
4coec40,0,0,0,0,0,0
4cogc40,0,0,0,0,0,0
4cogo40,0,0,0,0,0,0
4cohy40,0,0,0,1,0,0
4comm40,0,0,0,0,0,0
4comn40,0,0,0,0,0,0
4copf40,0,0,0,0,0,0
4coph40,0,1,0,0,0,0
4copr40,0,0,0,0,0,0
4cops40,0,0,0,0,0,0
4eiai40,0,0,0,0,0,0
4eial40,0,0,0,0,0,0
4eiam40,0,0,0,0,0,0
4eiat40,0,0,0,0,0,0
4eiaw40,0,0,0,0,0,0
4eidb40,0,0,0,0,0,0
4eios40,0,0,0,0,0,0
4eisa40,0,0,0,0,0,0
4eisd40,0,0,0,0,0,0
4eitc40,0,0,0,0,0,0
4emat40,0,0,0,0,0,0
4embm40,0,0,0,0,0,0
4emcm40,0,0,0,0,0,0
4emcp40,0,0,0,0,0,0
4emeo40,0,0,0,0,0,0
4emet40,0,0,0,0,0,0
4emio40,0,0,0,0,0,0
4emma40,0,0,0,0,0,0
4emmm40,0,0,0,0,0,0
4emmt40,0,0,0,0,0,0
4emra40,0,0,0,0,0,0
4eoau40,0,0,0,0,0,0
4eobt40,0,0,0,0,0,0
4eodd40,0,0,0,0,0,0
4eoee40,0,0,0,0,0,0
4eoep40,0,0,0,0,0,0
4eome40,0,0,0,0,0,0
4eope40,0,0,0,0,0,0
4eore40,0,0,0,0,0,0
4eosd40,0,0,0,0,0,0
4eosi40,0,0,0,0,0,0
4eote40,0,0,0,0,0,0
4eoti40,0,0,0,0,0,0
4gebg40,0,0,0,0,0,0
4geda40,0,0,0,0,0,0
4gedi40,0,0,1,0,0,0
4gero40,0,0,0,0,0,0
4gess40,0,0,0,0,0,0
4gesy40,0,0,0,0,0,0
4geto40,0,0,0,0,0,0
4gets40,0,0,0,1,0,0
4geub40,0,0,0,0,0,0
4isad40,0,0,0,0,0,0
4isgs40,0,0,0,0,0,0
4ishm40,0,0,0,0,0,0
4ismd40,0,0,0,0,0,0
4isme40,0,0,0,0,0,0
4ismi40,0,0,0,0,0,0
4isnu40,0,0,0,0,0,0
4isob40,0,0,0,0,0,0
4ispm40,0,0,0,0,0,0
4isrm40,0,0,0,0,0,0
4issg40,0,0,0,0,0,0
4mage40,0,0,0,0,0,0
5aumd50,0,0,0,0,0,0
5cobe50,0,0,0,0,0,0
5cocs50,0,0,0,0,0,0
5cone50,0,0,0,0,0,0
5copa50,0,0,0,0,0,0
5copf50,0,0,0,0,0,0
5copm50,0,0,0,1,1,0
5eiad50,0,0,0,0,0,0
5eiai50,0,0,0,0,0,0
5eiir50,0,0,0,0,0,0
5eilw50,0,0,0,0,0,0
5eisd50,0,0,0,0,0,0
5emai50,0,1,0,0,0,0
5emau50,0,0,0,0,0,0
5emen50,0,1,0,0,0,1
5emmn50,0,0,0,0,0,0
5empr50,0,0,0,0,0,0
5eocf50,0,0,0,0,0,0
5eoct50,0,0,0,0,0,0
5eosp50,0,0,0,0,0,0
5eote50,0,0,0,0,0,0
5gebp50,0,0,0,0,0,0
5geex50,0,0,0,0,0,0
5gegd50,0,0,0,0,0,0
5gepn50,0,0,0,0,0,0
5isce50,0,0,0,0,0,0
5ishe50,0,0,0,0,0,0
5ismr50,0,0,0,0,0,0
5ispm50,0,0,0,0,0,0
5issg50,0,0,0,0,0,0
5istf50,0,0,0,0,0,0
5mage50,0,0,0,0,0,0
5mala50,0,0,0,0,0,0
5masg50,0,0,0,0,0,0
5matf50,0,0,0,0,0,0
