id,climate,energy,environment,resources,sustainability,dedicated
140521,0,0,0,0,0,0
140522,0,0,0,0,0,0
140523,0,0,0,0,0,0
140524,0,0,0,0,0,0
140525,0,0,0,0,0,0
140526,0,0,0,0,0,0
140541,0,0,0,0,0,0
140542,0,0,0,0,0,0
140543,0,0,0,0,0,0
140544,0,0,0,0,0,0
140545,0,0,0,0,0,0
140546,0,0,0,0,0,0
140547,0,0,0,0,0,0
140548,0,0,0,0,0,0
140549,0,0,0,0,0,0
140550,0,0,0,0,0,0
140551,0,0,0,0,0,0
140552,0,0,0,0,0,0
140557,0,0,0,0,0,0
140558,0,0,0,0,0,0
140559,0,0,0,0,0,0
140560,0,0,0,0,0,0
140577,0,0,0,0,0,0
140578,0,0,0,0,0,0
140579,0,0,0,0,0,0
140580,0,0,0,0,0,0
140581,0,0,0,0,0,0
140582,0,0,0,0,0,0
140583,0,0,0,0,0,0
140584,0,0,0,0,0,0
140585,0,0,0,0,0,0
140586,0,0,0,0,0,0
140614,0,0,0,0,0,0
140615,0,0,0,0,0,0
140616,0,0,0,0,0,0
140617,0,0,0,0,0,0
140618,0,0,0,0,0,0
140633,0,0,0,0,0,0
140634,0,0,0,0,0,0
140635,0,0,0,0,0,0
140636,0,0,0,0,0,0
140637,0,0,0,0,0,0
140642,0,0,0,0,0,0
140643,0,0,0,0,0,0
140644,0,0,0,0,0,0
140645,0,0,0,0,0,0
140656,0,0,0,0,0,0
140665,0,0,0,0,0,0
140666,0,0,0,0,0,0
140667,0,0,0,0,0,0
140668,0,0,0,0,0,0
140679,0,0,0,0,0,0
140680,0,0,0,0,0,0
140682,0,0,0,0,0,0
140683,0,0,0,0,0,0
140687,0,0,0,0,0,0
140894,0,0,0,0,0,0
140895,0,0,0,0,0,0
140896,0,0,0,0,0,0
140897,0,0,0,0,0,0
140898,0,0,0,0,0,0
140899,0,0,0,0,0,0
140900,0,0,0,0,0,0
140901,0,0,0,0,0,0
140902,0,0,0,0,0,0
140903,0,0,0,0,0,0
140905,0,0,0,0,0,0
140906,0,0,0,0,0,0
140909,0,0,0,0,0,0
140910,0,0,0,0,0,0
140911,0,0,0,0,0,0
140912,0,0,0,0,0,0
140914,0,0,0,0,0,0
140915,0,0,0,0,0,0
140916,0,0,0,0,0,0
140917,0,0,0,0,0,0
140918,0,0,0,0,0,0
140919,0,0,0,0,0,0
140920,0,0,0,0,0,0
140921,0,0,0,0,0,0
140922,0,0,0,0,0,0
140923,0,0,0,0,0,0
140924,0,0,0,0,0,0
140925,0,0,0,0,0,0
140926,0,0,0,0,0,0
140927,0,0,0,0,0,0
140928,0,0,0,0,0,0
140929,0,0,0,0,0,0
140930,0,0,0,0,0,0
140931,0,0,0,0,0,0
140932,0,0,0,0,0,0
140933,0,0,0,0,0,0
140934,0,0,0,0,0,0
140935,0,0,0,0,0,0
140936,0,0,0,0,0,0
140937,0,0,0,0,0,0
140938,0,0,0,0,0,0
140940,0,0,0,0,0,0
140941,0,0,0,0,0,0
140942,0,0,0,0,0,0
140943,0,0,0,0,0,0
140944,0,0,0,0,0,0
140945,0,0,0,0,0,0
140946,0,0,0,0,0,0
140948,0,0,0,0,0,0
140952,0,0,0,0,0,0
140953,0,0,0,0,0,0
140955,0,0,0,0,0,0
140956,0,0,0,0,0,0
140958,0,0,0,0,0,0
140959,0,0,0,0,0,0
140961,0,0,0,0,0,0
140962,0,0,0,0,0,0
140963,0,0,0,0,0,0
140964,0,0,0,0,0,0
140965,0,0,0,0,0,0
140966,0,0,0,0,0,0
140967,0,0,0,0,0,0
140969,0,0,0,0,0,0
140970,0,0,0,0,0,0
140971,0,0,0,0,0,0
140972,0,0,0,0,0,0
140973,0,0,0,0,0,0
140974,0,0,0,0,0,0
140975,0,0,0,0,0,0
140976,0,0,0,0,0,0
140977,0,0,0,0,0,0
140978,0,0,0,0,0,0
140979,0,0,0,0,0,0
140981,0,0,0,0,0,0
140982,0,0,0,0,0,0
140983,0,0,0,0,0,0
140984,0,0,0,0,0,0
140985,0,0,0,0,0,0
140986,0,0,0,0,0,0
140987,0,0,0,0,0,0
140988,0,0,0,0,0,0
140989,0,0,0,0,0,0
140990,0,0,0,0,0,0
140991,0,0,1,0,1,0
140992,0,0,0,0,0,0
140993,0,0,0,0,0,0
140994,0,0,0,0,0,0
140995,0,0,0,0,0,0
140996,0,0,0,0,0,0
140997,0,0,0,0,0,0
140998,0,0,0,0,0,0
140999,0,0,0,0,0,0
141000,0,0,0,0,0,0
141001,0,0,0,0,0,0
141002,0,0,0,0,0,0
141003,0,0,0,0,0,0
141004,0,0,0,0,0,0
141005,0,0,0,0,0,0
141006,0,0,0,0,0,0
141007,0,0,0,0,0,0
141008,0,0,0,0,0,0
141009,0,0,0,0,0,0
141010,0,0,1,0,1,0
141011,0,0,0,0,0,0
141012,0,0,0,0,0,0
141013,0,0,0,0,0,0
141014,0,0,0,0,0,0
141015,0,0,0,0,0,0
141016,0,0,0,0,0,0
141017,0,0,0,0,0,0
141018,0,0,0,0,0,0
141019,0,0,0,0,0,0
141020,0,0,0,0,0,0
141021,0,0,0,0,0,0
141022,0,0,0,0,0,0
141023,0,0,0,0,0,0
