id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
145714,0,0,0,0,0,0,0,0,0,0,0,0,0
145715,0,0,0,0,0,0,0,0,0,0,0,0,0
145716,0,0,0,0,0,0,0,0,0,0,0,0,0
145717,0,0,0,0,0,0,0,0,0,0,0,0,0
145718,0,0,0,0,0,0,0,0,0,0,0,0,0
145719,0,0,0,0,0,0,0,0,0,0,0,0,0
145720,0,0,0,0,0,0,0,0,0,0,0,0,0
145721,0,0,0,0,0,0,0,0,0,0,0,0,0
145722,0,0,0,0,0,0,0,0,0,0,0,0,0
145723,0,0,0,0,0,0,0,0,0,0,0,0,0
145724,0,0,0,0,0,0,0,0,0,0,0,0,0
145725,0,0,0,0,0,0,0,0,0,0,0,0,0
145726,0,0,0,0,0,0,0,0,0,0,0,0,0
145727,0,0,0,0,0,0,0,0,0,0,0,0,0
145728,0,0,0,0,0,0,0,0,0,0,0,0,0
145729,0,0,0,0,0,0,0,0,0,0,0,0,0
145730,0,0,0,0,0,0,0,0,0,0,0,0,0
145731,0,0,0,0,0,0,0,0,0,0,0,0,0
145732,0,0,0,0,0,0,0,0,0,0,0,0,0
145733,0,0,0,0,0,0,0,0,0,0,0,0,0
145734,0,0,0,0,0,0,0,0,0,0,0,0,0
145735,0,0,0,0,0,0,0,0,0,0,0,0,0
145736,0,0,0,0,0,0,0,0,0,0,0,0,0
145737,0,0,0,0,0,0,0,0,0,0,0,0,0
145738,0,0,0,0,0,0,0,0,0,0,0,0,0
145739,0,0,0,0,0,0,0,0,0,0,0,0,0
145740,0,0,0,0,0,0,0,0,0,0,0,0,0
145741,0,0,0,0,0,0,0,0,0,0,0,0,0
145742,0,0,0,0,0,0,0,0,0,0,0,0,0
145743,0,0,0,0,0,0,0,0,0,0,0,0,0
145744,0,0,0,0,0,0,0,0,0,0,0,0,0
145745,0,0,0,0,0,0,0,0,0,0,0,0,0
145746,0,0,0,0,0,0,0,0,0,0,0,0,0
145747,0,0,0,0,0,0,0,0,0,0,0,0,0
145748,0,0,0,0,0,0,0,0,0,0,0,0,0
145749,0,0,0,0,0,0,0,0,0,0,0,0,0
145750,0,0,0,0,0,0,0,0,0,0,0,0,0
145751,0,0,0,0,0,0,0,0,0,0,0,0,0
145755,0,0,0,0,0,0,0,0,0,0,0,0,0
145756,0,0,0,0,0,0,0,0,0,0,0,0,0
145757,0,0,0,0,0,0,0,0,0,0,0,0,0
145758,0,0,0,0,0,0,0,0,0,0,0,0,0
145760,0,0,0,0,0,0,0,0,0,0,0,0,0
145761,0,0,0,0,0,0,0,0,0,0,0,0,0
145762,0,0,0,0,0,0,0,0,0,0,0,0,0
145763,0,0,0,0,0,0,0,0,0,0,0,0,0
145764,0,0,0,0,0,0,0,0,0,0,0,0,0
145765,0,0,0,0,0,0,0,0,0,0,0,0,0
145770,0,0,0,0,0,0,0,0,0,0,0,0,0
145771,0,0,0,0,0,0,0,0,0,0,0,0,0
145772,0,0,0,0,0,0,0,0,0,0,0,0,0
145773,0,0,0,0,0,0,0,0,0,0,0,0,0
145774,0,0,0,0,0,0,0,0,0,0,0,0,0
145775,0,0,0,0,0,0,0,0,0,0,0,0,0
145776,0,0,0,0,0,0,0,0,0,0,0,0,0
145777,0,0,0,0,0,0,0,0,0,0,0,0,0
145778,0,0,0,0,0,0,0,0,0,0,0,0,0
