id,climate,energy,environment,resources,sustainability,dedicated,total
3772,0,0,1,0,1,0,1
3735,0,0,0,0,0,0,0
3808,0,0,0,0,0,0,0
3856,0,0,0,0,0,0,0
3722,0,0,0,0,0,0,0
3771,0,0,1,0,1,0,1
3707,0,0,1,0,0,0,1
3699,0,0,0,0,0,0,0
3937,0,0,0,0,0,0,0
3853,0,0,0,0,0,0,0
3733,0,0,0,0,0,0,0
3861,0,0,0,0,0,0,0
3765,0,0,0,0,0,0,0
3806,0,0,0,0,0,0,0
3939,0,0,0,0,0,0,0
3943,0,0,0,0,0,0,0
3810,0,0,0,0,0,0,0
3812,0,0,0,0,0,0,0
3725,0,0,0,0,0,0,0
3729,0,0,0,0,0,0,0
3724,0,0,0,0,0,0,0
3807,0,0,0,0,0,0,0
3774,0,0,0,0,1,0,1
3889,0,0,0,0,1,0,1
3727,0,0,0,0,0,0,0
3749,0,0,1,0,0,1,1
3728,0,0,0,0,0,0,0
3745,0,0,0,0,0,0,0
3748,0,1,0,0,0,0,1
3768,0,0,0,0,1,0,1
3723,0,0,0,0,0,0,0
3747,0,0,0,0,0,0,0
3743,0,0,1,0,0,0,1
3767,0,0,0,0,0,0,0
3741,0,2,0,0,1,1,2
3737,0,0,1,0,0,0,1
3746,0,0,0,0,0,0,0
3744,0,0,0,0,0,0,0
3738,0,0,1,0,0,0,1
3740,0,0,0,0,0,0,0
3951,0,0,0,0,0,0,0
3780,0,0,0,0,0,0,0
3773,0,0,1,0,1,0,1
3860,0,0,0,0,0,0,0
3858,0,0,0,0,0,0,0
3739,0,0,2,0,0,0,2
3742,0,0,0,0,0,0,0
3859,0,0,0,0,0,0,0
3888,1,1,0,0,0,0,2
3857,1,1,0,0,0,0,2
3730,0,0,0,0,0,0,0
3731,0,0,0,0,0,0,0
3766,0,0,1,0,1,0,1
3702,0,0,0,0,2,0,2
3854,0,0,0,0,0,0,0
3732,0,0,0,0,0,0,0
3855,0,0,0,0,0,0,0
3700,0,0,1,0,1,0,2
3706,1,0,3,0,1,3,4
3705,1,0,3,1,1,3,5
3708,0,0,0,0,0,0,0
3770,0,0,0,0,0,0,0
3769,0,0,0,0,0,0,0
3805,0,0,0,0,0,0,0
3701,0,0,0,0,0,0,0
3776,0,0,0,0,0,0,0
3775,0,0,2,0,1,0,2
3726,0,0,0,0,0,0,0
