id,climate,energy,environment,resources,sustainability,dedicated,total
AA-0-0,0,0,1,0,1,0,2
AA-1-0,0,0,0,0,0,0,0
AA-2-0,0,0,0,0,0,0,0
EcoB-0-0,0,0,0,0,0,0,0
EcoB-1-0,0,0,0,0,0,0,0
EcoB-1-1,0,0,0,0,0,0,0
EcoB-1-2,0,0,0,0,0,0,0
EcoB-1-3,0,0,0,0,0,0,0
EcoB-2-0,0,0,0,0,0,0,0
EcoB-3-0,0,0,0,0,0,0,0
EcoM-1-0,0,0,0,0,0,0,0
EcoM-1-1,0,0,0,0,0,0,0
EcoM-1-2,0,0,0,0,0,0,0
EcoM-1-3,0,0,0,0,1,0,1
EcoM-1-4,0,0,0,0,0,0,0
EcoM-2-0,0,0,0,0,0,0,0
EcoM-2-1,0,0,1,0,0,0,1
EcoM-3-0,0,0,0,0,0,0,0
EcoM-3-1,0,0,0,0,0,0,0
EcoM-3-2,0,2,0,0,0,0,2
EcoM-3-3,0,0,0,0,0,0,0
EcoM-4-0,0,0,0,0,0,0,0
ParaMed-0-0,0,0,0,0,0,0,0
ParaMed-1-0,0,0,0,0,0,0,0
ParaMed-2-0,0,0,0,0,0,0,0
Peda-0-0,0,0,0,0,0,0,0
Peda-1-0,0,0,0,0,0,0,0
Peda-2-0,0,0,0,0,0,0,0
Peda-2-1,0,0,0,0,0,0,0
Peda-2-2,0,0,0,0,0,0,0
Peda-2-3,0,0,0,0,0,0,0
Peda-2-4,0,0,0,0,0,0,0
Peda-2-5,0,0,0,0,0,0,0
Peda-2-6,0,0,0,0,0,0,0
Peda-3-0,0,0,0,0,0,0,0
Soc-0-0,0,0,0,0,0,0,0
Tech-0-0,0,0,0,0,0,0,0
Tech-1-0,0,0,0,0,0,0,0
Tech-1-1,0,0,0,0,0,0,0
Tech-1-2,0,0,0,0,0,0,0
Tech-1-3,0,0,0,0,0,0,0
