id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
AA-0-0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
AA-1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA-2-0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
EcoB-0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoB-1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoB-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoB-1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoB-1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoB-2-0,0,0,0,2,0,0,0,0,0,0,0,1,0,2
EcoB-3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-1-5,0,0,0,1,0,0,0,0,0,0,0,0,0,1
EcoM-1-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-3-1,0,0,1,0,1,0,0,1,1,0,0,0,1,1
EcoM-3-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EcoM-3-3,0,0,0,0,0,0,0,1,1,0,0,0,1,1
EcoM-4-0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
EcoM-5-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParaMed-0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParaMed-1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParaMed-2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParaMed-3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ParaMed-4-0,0,0,0,0,0,0,0,2,0,2,0,0,0,4
Peda-0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-2-0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
Peda-2-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Peda-3-0,0,0,1,0,0,0,0,2,0,0,0,0,0,3
Peda-4-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Peda-4-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-4-11,0,0,1,0,0,0,0,3,0,0,0,0,0,4
Peda-5-0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Peda-6-0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Peda-7-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peda-7-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Peda-7-2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Peda-7-3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Peda-7-4,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Peda-7-5,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Peda-7-6,0,1,1,0,0,0,0,5,0,0,0,0,0,5
Peda-7-7,0,0,1,0,0,0,0,2,0,0,0,0,0,3
Peda-8-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soc-0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tech-0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tech-1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tech-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
