id,climate,energy,environment,resources,sustainability,dedicated
ACIM0001-1,0,0,0,0,0,0
AFPR0001-1,0,0,0,0,0,0
AFPR0002-1,0,0,0,0,0,0
AFPR0003-1,0,0,0,0,0,0
AFPR0006-1,0,0,0,0,0,0
AFPR0007-1,0,0,0,0,0,0
AFPR0008-1,0,0,0,0,0,0
AFPR0009-1,0,0,0,0,0,0
AFPR0011-1,0,0,0,0,0,0
AFPR0012-1,0,0,0,0,0,0
AFPR0013-1,0,0,0,0,0,0
AFPR0014-2,0,0,0,0,0,0
AFPR0016-1,0,0,0,0,0,0
AFPR0018-1,0,0,0,0,0,0
AFPR0019-1,0,0,0,0,0,0
AFPR0020-1,0,0,0,0,0,0
AIPA0005-2,0,0,0,0,0,0
AIPB0005-1,0,0,0,0,0,0
AIPC0005-4,0,0,0,0,0,0
AIPD0005-1,0,0,0,0,0,0
AIPE0005-2,0,0,0,0,0,0
AIPF0005-2,0,0,0,0,0,0
AIPG0005-1,0,0,0,0,0,0
AIPH0005-2,0,0,0,0,0,0
AIPI0005-2,0,0,0,0,0,0
AIPJ0005-3,0,0,0,0,0,0
AIPR0001-1,0,0,0,0,0,0
ANAA0001-1,0,0,0,0,0,0
ANAB0001-1,0,0,0,0,0,0
ANIM0001-1,0,0,0,0,0,0
ARSE0001-1,0,0,0,0,0,0
ATEL0001-1,0,0,0,0,0,0
ATRA0001-1,0,0,0,0,0,0
ATRB0001-1,0,0,0,0,0,0
CEAJ0001-1,0,0,0,0,0,0
CEAJ0002-1,0,0,0,0,0,0
CITO0001-1,0,0,0,0,0,0
COMM0001-2,0,0,0,0,0,0
COMM0002-1,0,0,0,0,0,0
COMM0005-5,0,0,0,0,0,0
COMM0014-5,0,0,0,0,0,0
COMM0021-1,0,0,0,0,0,0
COMM0023-2,0,0,0,0,0,0
COMM0024-3,0,0,0,0,0,0
COMM0025-3,0,0,0,0,0,0
COMM0026-2,0,0,0,0,0,0
COMM0030-3,0,0,0,0,0,0
COMM0033-2,0,0,0,0,0,0
COMM0035-2,0,0,0,0,0,0
COMM0039-1,0,0,0,0,0,0
COMM0040-1,0,0,0,0,0,0
COMM0041-1,0,0,0,0,0,0
COMM0042-1,0,0,0,0,0,0
COMM0043-1,0,0,0,0,0,0
COMM0044-1,0,0,0,0,0,0
COMM0045-1,0,0,0,0,0,0
COMM0045-2,0,0,0,0,0,0
COMM0045-3,0,0,0,0,0,0
COMM0046-1,0,0,0,0,0,0
COMM0047-1,0,0,0,0,0,0
COMM0048-1,0,0,0,0,0,0
COMM0049-1,0,0,0,0,0,0
COMM0050-1,0,0,0,0,0,0
COMM0051-1,0,0,0,0,0,0
COMM0051-2,0,0,0,0,0,0
COMM0051-3,0,0,0,0,0,0
COMM0052-1,0,0,0,0,0,0
COMM0053-1,0,0,0,0,0,0
CREA0000-1,0,0,0,0,0,0
CULT0102-1,0,0,0,0,0,0
CYCL0102-3,0,0,0,0,0,0
CYCL0102-4,0,0,0,0,0,0
DEDE0001-1,0,0,0,0,0,0
DIDA0003-1,0,0,0,0,0,0
DIDB0003-1,0,0,0,0,0,0
DMSO0001-1,0,0,0,0,0,0
DOCA0005-1,0,0,0,0,0,0
DOCB0005-1,0,0,0,0,0,0
DPAJ0102-1,0,0,0,0,0,0
DPAJ0102-2,0,0,0,0,0,0
DRAU0001-1,0,0,0,0,0,0
DROI0001-2,0,0,0,0,0,0
DROI0002-1,0,0,0,0,0,0
