id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
AACV0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEQ5000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIM0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACJV0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR0002-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACUL0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACUN0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADNT0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AECA2000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AETJ5000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AETR5000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AETS5000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0002-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0003-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0006-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0007-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0008-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0009-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0011-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0012-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0013-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0016-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0019-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0020-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0029-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0030-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0031-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0032-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AFPR0034-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AHJV0002-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPA1000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPA2000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPA3000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPA5000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPB1000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPB2000-1,0,0,1,0,0,0,0,0,0,0,0,0,0
AIPB3000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPB5000-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPC0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPC0002-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPC3005-1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPD0001-1,0,0,0,0,0,0,0,0,0,0,0,0,0
