id,climate,energy,environment,resources,sustainability,dedicated
ADHB0001-1,0,0,0,0,0,0
ADHB0005-1,0,0,0,0,0,0
ADHB0006-1,0,0,0,0,0,0
ADHB0010-1,0,0,0,0,0,0
ADHB0011-1,0,0,0,0,0,0
ADHB0014-1,0,0,0,0,0,0
ADHB0017-1,0,0,0,0,0,0
ADHB0018-1,0,0,0,0,0,0
ADHB0022-1,0,0,0,0,0,0
ADHB0023-1,0,0,0,0,0,0
ADHB0024-1,0,0,0,0,0,0
ADHB0025-1,0,0,0,0,0,0
ADHB0026-1,0,0,0,0,0,0
ADHB0027-1,0,0,0,0,0,0
ADHB0032-1,0,0,0,0,0,0
ADHB0035-1,0,0,0,0,0,0
ADHB0036-1,0,0,0,0,0,0
ADHB0037-1,0,0,0,0,0,0
ADHB0040-1,0,0,0,0,0,0
ADHB0045-1,0,0,0,0,0,0
ADHB0046-1,0,0,0,0,0,0
ADHB0047-1,0,0,0,0,0,0
ADHB0048-1,0,0,0,0,0,0
ADHB0049-1,0,0,0,0,0,0
ADHB0050-1,0,0,0,0,0,0
ADHB0051-1,0,0,0,0,0,0
ADHB0052-1,0,0,0,0,0,0
ADHB0053-1,0,0,0,0,0,0
ADHB0054-1,0,0,0,0,0,0
ADHB0055-1,0,0,0,0,0,0
ADHB0056-1,0,0,0,0,0,0
ADHB0057-1,0,0,0,0,0,0
ADHB0058-1,0,0,0,0,0,0
ADHB0059-1,0,0,0,0,0,0
ADHB0060-1,0,0,0,0,0,0
ADHB0061-1,0,0,0,0,0,0
ADHB0062-1,0,0,0,0,0,0
ADHB0063-1,0,0,0,0,0,0
ADHB0064-1,0,0,0,0,0,0
ADHB0065-1,0,0,0,0,0,0
ADHB0066-1,0,0,0,0,0,0
ADHB0067-1,0,0,0,0,0,0
ADHB0068-1,0,0,0,0,0,0
ADHB0069-1,0,0,0,0,0,0
ADHB0070-1,0,0,0,0,0,0
ADHB0071-1,0,0,0,0,0,0
ADHB0072-1,0,0,0,0,0,0
ADHB0073-1,0,0,0,0,0,0
ADHB0074-1,0,0,0,0,0,0
ADHB0075-1,0,0,0,0,0,0
ADHB0076-1,0,0,0,0,0,0
ADHB0077-1,0,0,0,0,0,0
ADHB0078-1,0,0,0,0,0,0
ADHB0079-1,0,0,0,0,0,0
ADHB0080-1,0,0,0,0,0,0
ADHB0081-1,0,0,0,0,0,0
ADHB0082-1,0,0,0,0,0,0
ADHB0083-1,0,0,0,0,0,0
ADHB0084-1,0,0,0,0,0,0
ADHB0085-1,0,0,0,0,0,0
ADHB0086-1,0,0,0,0,0,0
ADHB0087-1,0,0,0,0,0,0
ADHB0088-1,0,0,0,0,0,0
ADHB0089-1,0,0,0,0,0,0
ADHB0090-1,0,0,0,0,0,0
ADHB0091-1,0,0,0,0,0,0
ADHB0092-1,0,0,0,0,0,0
ADHB0093-1,0,0,0,0,0,0
ADHB0094-1,0,0,0,0,0,0
ADHB0095-1,0,0,0,0,0,0
ADHB0096-1,0,0,0,0,0,0
ADHB0097-1,0,0,0,0,0,0
ADHB0098-1,0,0,0,0,0,0
ADHB0099-1,0,0,0,0,0,0
ADHB0100-1,0,0,0,0,0,0
ADHB0101-1,0,0,0,0,0,0
ADHB0102-1,0,0,0,0,0,0
ADVW0001-1,0,0,0,0,0,0
ADVW0005-1,0,0,0,0,0,0
ADVW0006-1,0,0,0,0,0,0
ADVW0007-1,0,0,0,0,0,0
ADVW0011-1,0,0,0,0,0,0
ADVW0012-1,0,0,0,0,0,0
ADVW0013-1,0,0,0,0,0,0
ADVW0016-1,0,0,0,0,0,0
ADVW0019-1,0,0,0,0,0,0
ADVW0020-1,0,0,0,0,0,0
ADVW0021-1,0,0,0,0,0,0
ADVW0025-1,0,0,0,0,0,0
ADVW0026-1,0,0,0,0,0,0
ADVW0027-1,0,0,0,0,0,0
ADVW0028-1,0,0,0,0,0,0
ADVW0029-1,0,0,0,0,0,0
ADVW0030-1,0,0,0,0,0,0
ADVW0031-1,0,0,0,0,0,0
ADVW0036-1,0,0,0,0,0,0
ADVW0039-1,0,0,0,0,0,0
ADVW0040-1,0,0,0,0,0,0
ADVW0041-1,0,0,0,0,0,0
ADVW0042-1,0,0,0,0,0,0
ADVW0045-1,0,0,0,0,0,0
ADVW0050-1,0,0,0,0,0,0
ADVW0051-1,0,0,0,0,0,0
ADVW0052-1,0,0,0,0,0,0
ADVW0053-1,0,0,0,0,0,0
ADVW0054-1,0,0,0,0,0,0
ADVW0055-1,0,0,0,0,0,0
ADVW0056-1,0,0,0,0,0,0
ADVW0057-1,0,0,0,0,0,0
ADVW0058-1,0,0,0,0,0,0
ADVW0059-1,0,0,0,0,0,0
ADVW0060-1,0,0,0,0,0,0
ADVW0061-1,0,0,0,0,0,0
ADVW0062-1,0,0,0,0,0,0
ADVW0063-1,0,0,0,0,0,0
ADVW0064-1,0,0,0,0,0,0
ADVW0065-1,0,0,0,0,0,0
ADVW0066-1,0,0,0,0,0,0
ADVW0067-1,0,0,0,0,0,0
ADVW0068-1,0,0,0,0,0,0
ADVW0069-1,0,0,0,0,0,0
ADVW0070-1,0,0,0,0,0,0
ADVW0071-1,0,0,0,0,0,0
ADVW0072-1,0,0,0,0,0,0
ADVW0073-1,0,0,0,0,0,0
ADVW0074-1,0,0,0,0,0,0
ADVW0075-1,0,0,0,0,0,0
ADVW0076-1,0,0,0,0,0,0
ADVW0077-1,0,0,0,0,0,0
ADVW0078-1,0,0,0,0,0,0
ADVW0079-1,0,0,0,0,0,0
ADVW0080-1,0,0,0,0,0,0
ADVW0081-1,0,0,0,0,0,0
ADVW0082-1,0,0,0,0,0,0
ADVW0083-1,0,0,0,0,0,0
ADVW0084-1,0,0,0,0,0,0
ADVW0085-1,0,0,0,0,0,0
ADVW0086-1,0,0,0,0,0,0
ADVW0087-1,0,0,0,0,0,0
ADVW0088-1,0,0,0,0,0,0
ADVW0089-1,0,0,0,0,0,0
ADVW0090-1,0,0,0,0,0,0
ADVW0091-1,0,0,0,0,0,0
ADVW0092-1,0,0,0,0,0,0
ADVW0093-1,0,0,0,0,0,0
ADVW0094-1,0,0,0,0,0,0
ADVW0095-1,0,0,0,0,0,0
ADVW0096-1,0,0,0,0,0,0
ADVW0097-1,0,0,0,0,0,0
ADVW0098-1,0,0,0,0,0,0
ADVW0099-1,0,0,0,0,0,0
ADVW0100-1,0,0,0,0,0,0
ADVW0101-1,0,0,0,0,0,0
ADVW0102-1,0,0,0,0,0,0
ADVW0103-1,0,0,0,0,0,0
ADVW0104-1,0,0,0,0,0,0
ADVW0105-1,0,0,0,0,0,0
ADVW0106-1,0,0,0,0,0,0
ADVW0107-1,0,0,0,0,0,0
ADVW0108-1,0,0,0,0,0,0
ADVW0109-1,0,0,0,0,0,0
ADVW0110-1,0,0,0,0,0,0
AGRO1001-1,0,0,1,0,1,0
AGRO1002-1,0,0,0,0,0,0
AGRO1003-1,0,0,0,0,0,0
AGRO1004-1,0,0,0,0,0,0
AGRO1005-1,0,0,0,0,0,0
AGRO1006-1,0,0,0,0,0,0
AGRO1007-1,0,0,0,0,0,0
AGRO1008-1,0,0,0,0,0,0
AGRO1009-1,0,0,0,0,1,0
AGRO1010-1,0,0,0,0,0,0
AGRO1011-1,0,0,0,0,0,0
AGRO1012-1,0,0,0,0,0,0
AGRO1013-1,0,0,0,0,0,0
AGRO1014-1,0,0,0,0,0,0
AGRO1015-1,0,0,0,0,0,0
AGRO1016-1,0,0,0,0,0,0
AGRO1017-1,0,0,1,0,0,0
AGRO1018-1,0,0,0,0,0,0
AGRO1019-1,0,0,0,0,0,0
AGRO1020-1,0,0,0,0,0,0
AGRO1021-1,0,0,0,0,0,0
AGRO1022-1,0,0,0,0,0,0
AGRO1023-1,0,0,1,0,1,1
AGRO1024-1,0,0,0,0,0,0
ARJP1001-1,0,0,0,0,0,0
ARJP1002-1,0,0,0,0,0,0
ARJP1003-1,0,0,0,0,0,0
ARJP1004-1,0,0,0,0,0,0
ARJP1005-1,0,0,0,0,0,0
ARJP1006-1,0,0,0,1,0,0
ARJP1007-1,0,0,0,0,0,0
ARJP1008-1,0,0,0,0,0,0
ARJP1009-1,0,0,0,0,0,0
ARJP1010-1,0,0,0,0,0,0
ARJP1011-1,0,0,0,0,0,0
ARJP1012-1,0,0,0,0,0,0
ARJP1013-1,0,0,0,0,0,0
ARJP1014-1,0,0,0,0,0,0
ARJP1015-1,0,0,0,0,0,0
ARJP1016-1,0,0,0,0,0,0
ARJP1017-1,0,0,0,0,0,0
ARJP1018-1,0,0,0,0,0,0
ARJP1019-1,0,0,0,0,0,0
ARJP1020-1,0,0,0,0,0,0
ARJP1021-1,0,0,0,0,0,0
ARJP1021-2,0,0,0,0,0,0
ARJP1022-1,0,0,0,0,0,0
ARJP1023-1,0,0,0,0,0,0
ARJP2024-1,0,0,0,0,0,0
ARJP2025-1,0,0,0,0,0,0
ARJP2026-1,0,0,0,0,0,0
ARJP2027-1,0,0,0,0,0,0
ARJP2028-1,0,0,0,0,0,0
ARJP2029-1,0,0,0,0,0,0
ARJP2030-1,0,0,0,0,0,0
ARJP2031-1,0,0,0,0,0,0
ARJP2032-1,0,0,0,0,0,0
ARJP2033-1,0,0,0,0,0,0
ARJP2034-1,0,0,0,0,0,0
ARJP2035-1,0,0,0,0,0,0
ARJP2036-1,0,0,0,0,0,0
ARJP2037-1,0,0,0,0,0,0
ARJP2038-1,0,0,0,0,0,0
ARJP2039-1,0,0,0,0,0,0
