id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
A1MAIE01,2,0,1,1,3,0,0,21,7,1,2,0,17,25
A1MAGI01,0,0,0,1,0,0,0,4,4,2,1,1,0,10
A1MAGG01,0,0,1,0,0,3,0,4,3,1,1,0,1,9
A1AGRO01,0,0,1,0,0,0,0,7,3,3,1,0,3,10
A1TGHO01,0,0,1,0,0,1,0,7,1,0,0,0,1,9
A1TGAA01,1,0,2,1,1,5,0,18,6,0,0,2,11,24
EBSPMD01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1BIOM01,0,0,0,0,0,0,0,1,2,0,1,1,1,3
PYCEPV00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYCEPP00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYCEPC00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYCEPH00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBSPPE01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1NSSH01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1NSSE01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1NSSC01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1NSMA01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1NSLG01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1NSFL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1NSFE01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1NSEP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PAPS01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PAPP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PRIV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PRIL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PRIH01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1PRES01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1EDUC01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1TOUR01,0,1,0,1,1,0,0,8,0,0,0,0,1,8
E1IMMO01,1,0,0,0,1,0,0,1,1,0,0,0,0,2
E1GHOM01,0,0,0,0,0,0,0,3,0,0,0,0,1,3
E1ADVW01,0,0,0,0,0,0,0,1,0,0,0,0,0,1
E1ADHB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1AJEP01,1,0,1,0,0,0,0,8,1,1,0,0,1,8
