id,climate,energy,environment,resources,sustainability,dedicated,total
bachelier-educateur-specialise-en-accompagnement-psycho-educatif,0,0,0,0,0,0,0
bachelier-aesi-sciences-humaines,0,0,0,1,0,0,1
bachelier-aesi-sciences,0,0,0,0,0,0,0
bachelier-aesi-mathematiques,0,0,0,0,0,0,0
bachelier-aesi-langues-germaniques,0,0,0,0,0,0,0
bachelier-aesi-francais-philosophie-et-citoyennete,0,0,0,0,0,0,0
bachelier-aesi-francais-morale,0,0,0,0,0,0,0
bachelier-aesi-francais-francais-langue-etrangere,0,0,0,0,0,0,0
bachelier-assistant-social,0,0,0,0,1,0,1
bachelier-conseiller-social,0,0,1,0,3,0,4
master-ingenieur-en-technologies-des-donnees-du-vivant,1,0,2,3,2,1,4
master-ingenieur-en-informatique-option-gestion,1,0,1,1,1,1,2
master-ingenieur-en-informatique-option-automation-et-systemes-embarques,1,0,2,3,2,1,4
master-ingenieur-en-informatique-option-reseaux-et-securite,1,0,2,3,2,1,4
master-ingenieur-geometre,1,0,2,3,2,1,4
master-ingenieur-en-construction-option-gestion,1,0,1,1,1,1,2
master-ingenieur-en-construction-option-energie-et-environnement,1,1,3,4,3,4,7
master-ingenieur-en-construction-option-genie-civil-et-batiment,1,0,2,3,2,1,4
bachelier-techniques-graphiques,1,0,0,0,0,0,1
bachelier-informatique,0,0,0,0,0,0,0
bachelier-electronique,0,1,0,0,0,0,1
bachelier-biotechnique,0,0,0,0,1,0,1
bachelier-aesi-arts-plastiques,0,0,0,0,0,0,0
bachelier-instituteur-primaire,0,1,1,0,0,0,2
bachelier-instituteur-maternelle-instituteur-prescolaire,0,0,0,0,0,0,0
bachelier-en-management-du-tourisme-et-des-loisirs,0,0,1,0,1,0,2
bachelier-en-assistant-de-direction-option-langues-et-gestion-renforcement-en-economie,0,0,0,0,0,0,0
bachelier-en-assistant-de-direction-option-langues-et-gestion-renforcement-en-langues,0,0,0,0,0,0,0
bachelier-en-droit,0,0,1,0,0,0,1
