id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
bachelier-en-assistant-de-direction-option-langues-et-gestion-renforcement-en-economie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelier-en-assistant-de-direction-option-langues-et-gestion-renforcement-en-langues,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelier-en-droit,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-enseignement-section-3-francais-langue-francais,0,0,1,0,0,0,0,1,0,0,0,0,1,1
master-enseignement-section-3-francais-education-culturelle-artistique,0,0,1,0,0,0,0,1,0,0,0,0,1,1
master-enseignement-section-3-francais-morale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-enseignement-section-3-francais-philosophie-citoyennete,0,0,0,0,0,0,0,1,0,0,0,0,0,1
master-enseignement-section-3-formation-manuelle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelier-assistant-social,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelier-conseiller-social,0,0,0,0,0,0,0,1,0,0,0,0,0,1
master-ingenieur-en-technologies-des-donnees-du-vivant,0,1,2,2,0,0,0,4,1,2,2,0,2,9
master-ingenieur-en-informatique-option-gestion,0,1,1,1,1,0,0,3,1,1,2,0,1,8
master-ingenieur-en-informatique-option-automation-et-systemes-embarques,0,1,1,2,2,0,0,3,1,2,2,0,1,10
master-ingenieur-en-informatique-option-intelligence-artificielle-big-data,0,0,1,2,2,0,0,1,1,2,2,0,0,8
master-ingenieur-geometre,0,1,1,2,0,0,0,2,0,2,2,0,1,7
master-ingenieur-en-construction-option-gestion,0,1,1,1,0,0,0,3,0,1,2,0,1,7
master-ingenieur-en-construction-option-energie-et-environnement,2,1,1,2,1,0,0,5,1,2,3,0,5,12
master-ingenieur-en-construction-option-genie-civil-et-batiment,0,1,1,2,0,0,0,3,0,2,2,0,1,8
bachelier-techniques-graphiques,0,0,0,0,0,0,0,0,0,0,1,0,0,1
bachelier-informatique,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelier-electronique,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bachelier-biotechnique,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-enseignement-section-3-sciences-humaines,0,0,3,0,0,0,0,2,0,0,0,0,2,4
master-enseignement-section-3-sciences-biologie-physique-chimie,0,0,1,0,0,0,0,3,0,0,0,0,1,3
master-enseignement-section-3-mathematiques-formation-numerique,0,0,1,0,0,0,0,2,0,0,0,0,1,2
master-enseignement-section-3-langues-germaniques-neerlandais-anglais,0,0,1,0,0,0,0,1,0,0,0,0,1,1
master-enseignement-section-3-formation-artistique,0,0,1,0,0,0,0,1,0,0,0,0,1,1
master-enseignement-section-2,0,0,3,0,2,1,0,1,0,0,0,0,2,6
master-enseignement-section-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bachelier-educateur-specialise-en-accompagnement-psycho-educatif,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelier-en-management-du-tourisme-et-des-loisirs,1,0,0,0,0,0,0,0,0,0,0,0,0,1
