id,climate,energy,environment,resources,sustainability,dedicated
AD102,0,0,0,0,0,0
AD108,0,0,0,0,0,0
AD110,0,0,0,0,0,0
AD111,0,0,0,0,0,0
AD112,0,0,0,0,0,0
AD113,0,0,0,0,0,0
AD126,0,0,0,0,0,0
AD127,0,0,0,0,0,0
AD128,0,0,0,0,0,0
AD130,0,0,0,0,0,0
AD131,0,0,0,0,0,0
AD132,0,0,0,0,0,0
AD133,0,0,0,0,0,0
AD135,0,0,0,0,0,0
AD136,0,0,0,0,0,0
AD137,0,0,0,0,0,0
AD138,0,0,0,0,0,0
AD140,0,0,0,0,0,0
AL201,0,0,0,0,0,0
AL202,0,0,0,0,0,0
AL203,0,0,0,0,0,0
AL204,0,0,0,0,0,0
AL206,0,0,0,0,0,0
AL208,0,0,0,0,0,0
AL209,0,0,0,0,0,0
AL211,0,0,0,0,0,0
AL212,0,0,0,0,0,0
AL213,0,0,0,0,0,0
AL214,0,0,0,0,0,0
AL215,0,0,0,0,0,0
AL217,0,0,0,0,0,0
AL219,0,0,0,0,0,0
AL220,0,0,0,0,0,0
AL221,0,0,0,0,0,0
AL222,0,0,0,0,0,0
AL237,0,0,0,0,0,0
AL238,0,0,0,0,0,0
AL239,0,0,0,0,0,0
AL240,0,0,0,0,0,0
AL241,0,0,0,0,0,0
AL243,0,0,0,0,0,0
AL244,0,0,0,0,0,0
AL245,0,0,0,0,0,0
AL246,0,0,0,0,0,0
AL248,0,0,0,0,0,0
AL250,0,0,0,0,0,0
AL251,0,0,0,0,0,0
AL253,0,0,0,0,0,0
AL255,0,0,0,0,0,0
AL256,0,0,0,0,0,0
AL258,0,0,0,0,0,0
AL301,0,0,0,0,0,0
AL303,0,0,0,0,0,0
AL304,0,0,0,0,0,0
AL305,0,0,0,0,0,0
AL306,0,0,0,0,0,0
AL307,0,0,0,0,0,0
AL308,0,0,0,0,0,0
AL309,0,0,0,0,0,0
AL310,0,0,0,0,0,0
AL312,0,0,0,0,0,0
AL314,0,0,0,0,0,0
AL315,0,0,0,0,0,0
AL317,0,0,0,0,0,0
AL320,0,0,0,0,0,0
AL322,0,0,0,0,0,0
AL329,0,0,0,0,0,0
AM201,0,0,0,0,0,0
AM202,0,0,0,0,0,0
AM203,0,0,0,0,0,0
AM205,0,0,0,0,0,0
AM207,0,0,0,0,0,0
AM208,0,0,0,0,0,0
AM209,0,0,0,0,0,0
AM210,0,0,0,0,0,0
AM211,0,0,0,0,0,0
AM212,0,0,0,0,0,0
AM213,0,0,0,0,0,0
AM216,0,0,0,0,0,0
AM229,0,0,0,0,0,0
AM230,0,0,0,0,0,0
AM231,0,0,0,0,0,0
AM232,0,0,0,0,0,0
AM233,0,0,0,0,0,0
AM235,0,0,0,0,0,0
AM236,0,0,0,0,0,0
AM237,0,0,0,0,0,0
AM238,0,0,0,0,0,0
AM240,0,0,0,0,0,0
AM301,0,0,0,0,0,0
AM303,0,0,0,0,0,0
AM304,0,0,0,0,0,0
AM305,0,0,0,0,0,0
AM306,0,0,0,0,0,0
AM307,0,0,0,0,0,0
AM308,0,0,0,0,0,0
AM309,0,0,0,0,0,0
AM310,0,0,0,0,0,0
AM311,0,0,0,0,0,0
AM313,0,0,0,0,0,0
AM314,0,0,0,0,0,0
AM316,0,0,0,0,0,0
AR102,0,0,0,0,0,0
AR103,0,0,0,0,0,0
AR107,0,0,0,0,0,0
AR110,0,0,0,0,0,0
AR113,0,0,0,0,0,0
AR114,0,0,0,0,0,0
AR115,0,0,0,0,0,0
AR118,0,0,0,0,0,0
AR121,0,0,0,0,0,0
AR123,0,0,0,0,0,0
CB201,0,0,0,0,0,0
CB203,0,0,0,0,0,0
CB204,0,0,0,0,0,0
CB205,0,0,0,0,0,0
CB207,0,0,0,0,0,0
CB208,0,0,0,0,0,0
CB209,0,0,0,0,0,0
CB213,0,0,0,0,0,0
CB222,0,0,0,0,0,0
CB226,0,0,0,0,0,0
CB227,0,0,0,0,0,0
CB228,0,0,0,0,0,0
CB229,0,0,0,0,0,0
CB230,0,0,0,0,0,0
CB231,0,0,0,0,0,0
CB233,0,0,0,0,0,0
CB236,0,0,0,0,0,0
CB238,0,0,0,0,0,0
CB301,0,0,0,0,0,0
CB304,0,0,0,0,0,0
CB305,0,0,0,0,0,0
CB306,0,0,0,0,0,0
CB307,0,0,0,0,0,0
CB308,0,0,0,0,0,0
CB309,0,0,0,0,0,0
CB310,0,0,0,0,0,0
CB311,0,0,0,0,0,0
CB312,0,0,0,0,0,0
CB313,0,0,0,0,0,0
CF201,0,0,0,0,0,0
CF204,0,0,0,0,0,0
CF205,0,0,0,0,0,0
CF209,0,0,0,0,0,0
