id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
AD101,0,0,0,0,0,0,0,0,0,0,0,0,0
AD102,0,0,0,0,0,0,0,0,0,0,0,0,0
AD107,0,0,0,0,0,0,0,0,0,0,0,0,0
AD108,0,0,0,0,0,0,0,0,0,0,0,0,0
AD109,0,0,0,0,0,0,0,0,0,0,0,0,0
AD110,0,0,0,0,0,0,0,0,0,0,0,0,0
AD111,0,0,0,0,0,0,0,0,0,0,0,0,0
AD112,0,0,0,0,0,0,0,0,0,0,0,0,0
AD113,0,0,0,0,0,0,0,0,0,0,0,0,0
AD126,0,0,0,0,0,0,0,0,0,0,0,0,0
AD127,0,0,0,0,0,0,0,0,0,0,0,0,0
AD128,0,0,0,0,0,0,0,0,0,0,0,0,0
AD130,0,0,0,0,0,0,0,0,0,0,0,0,0
AD131,0,0,0,0,0,0,0,0,0,0,0,0,0
AD132,0,0,0,0,0,0,0,0,0,0,0,0,0
AD133,0,0,0,0,0,0,0,0,0,0,0,0,0
AD135,0,0,0,0,0,0,0,0,0,0,0,0,0
AD136,0,0,0,0,0,0,0,0,0,0,0,0,0
AD137,0,0,0,0,0,0,0,0,0,0,0,0,0
AD138,0,0,0,0,0,0,0,0,0,0,0,0,0
AD140,0,0,0,0,0,0,0,0,0,0,0,0,0
AL201,0,0,0,0,0,0,0,0,0,0,0,0,0
AL202,0,0,0,0,0,0,0,0,1,0,0,0,0
AL203,0,0,0,0,0,0,0,0,0,0,0,0,0
AL204,0,0,0,0,0,0,0,0,0,0,0,0,0
AL205,0,0,0,0,0,0,0,0,0,0,0,0,0
AL206,0,0,0,0,0,0,0,0,0,0,0,0,0
AL207,0,0,0,0,0,0,0,0,0,0,0,0,0
AL208,0,0,0,0,0,0,0,0,0,0,0,0,0
AL209,0,0,0,0,0,0,0,0,0,0,0,0,0
AL211,0,0,0,0,0,0,0,0,0,0,0,0,0
AL212,0,0,0,0,0,0,0,0,0,0,0,0,0
AL213,0,0,0,0,0,0,0,0,0,0,0,0,0
AL214,0,0,0,0,0,0,0,0,0,0,0,0,0
AL215,0,0,0,0,0,0,0,0,0,0,0,0,0
AL216,0,0,0,0,0,0,0,0,0,0,0,0,0
AL217,0,0,0,0,0,0,0,0,0,0,0,0,0
AL219,0,0,0,0,0,0,0,0,0,0,0,0,0
