id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-7,0,0,0,0,0,0,0,2,0,0,0,0,0,2
0-8,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0-9,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0-10,1,0,0,0,0,0,0,1,0,0,0,0,0,2
1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1-2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-9,1,0,0,0,0,0,0,1,0,0,0,0,1,1
2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-0,0,0,0,0,0,0,0,0,3,0,0,1,0,3
3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-2,0,0,0,0,3,0,0,3,0,0,1,3,3,5
3-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-5,0,0,0,0,0,0,0,0,2,1,0,0,0,3
3-6,2,0,1,0,1,0,0,8,5,1,3,1,6,12
3-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-8,3,0,0,1,10,0,0,8,1,0,0,1,5,13
3-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
