id,climate,energy,environment,resources,sustainability,dedicated
TOU11ANTHR,0,0,0,0,0,0
TOU11GESE,0,0,0,0,0,0
TOU11SEAS,0,0,0,0,0,0
TOU11AIP,0,0,0,0,0,0
TOU11ECOT,0,0,0,0,0,0
TOU13LG1,0,0,0,0,0,0
TOU13LG2,0,0,0,0,0,0
TOU13LG3,0,0,0,0,0,0
TOU13LGE4,0,0,0,0,0,0
TOU12CPGE,0,0,0,0,0,0
TOU12CRCF1,0,0,0,0,0,0
TOU12TOR,0,0,0,0,0,0
TOU12TOAL,0,0,0,0,0,0
TOU21TOUD,0,0,0,0,0,0
TOU21TORAM,0,0,0,0,0,0
TOU21ANFIN,0,0,0,0,0,0
TOU23PRTO2,0,0,0,0,0,0
TOU23LG5,0,0,0,0,0,0
TOU23LG6,0,0,0,0,0,0
TOU23LGA7,0,0,0,0,0,0
TOU23LGE8,0,0,0,0,0,0
TOU22IMM1,0,0,0,0,0,0
TOU22OENTR,0,0,0,0,0,0
TOU22CONC,0,0,0,0,0,0
TOU23TRAI,0,0,0,0,0,0
TOU31DRO3,0,0,0,0,0,0
TOU31CCO,0,0,0,0,0,0
TOU31LG9,0,0,0,0,0,0
TOU31LG10,1,0,0,0,0,0
TOU31LG11,0,0,0,0,0,0
TOU31LG12,0,0,0,0,0,0
TGU31INS2,0,0,0,0,0,0
TGU31SEMI,0,0,0,0,0,0
TOU33IMM2,0,0,0,0,0,0
TGU33TFE,0,0,0,0,0,0
TGU33AIP,0,0,0,0,0,0
TOU31PRTO,0,0,0,0,0,0
TO12ENCA,0,0,0,0,0,0
TOU12ENSO,0,0,0,0,0,0
TOU12TXT,0,0,0,0,0,0
TOU21TOU1,0,0,0,0,0,0
TGU31TOU2,0,0,0,0,0,0
TGU31PROD,0,0,0,0,0,0
TOU11DRO1,0,0,0,0,0,0
TOU22DR2,0,0,0,0,0,0
TOU21CRC,0,0,0,0,0,0
TOU22INF,0,0,0,0,0,0
TOU11FOHS,0,0,0,0,0,0
TOU11GTPD,0,0,0,0,0,0
TOU11PACN,0,0,0,0,0,0
CU11FGC,0,0,0,0,0,0
CU11FDV2,0,0,0,0,0,0
CU11BOF,0,0,0,0,0,0
CU11ORG,0,0,0,0,0,0
CU13COM,0,0,0,0,0,0
CU13ANG,0,0,0,0,0,0
CU13NDL,0,0,0,0,0,0
CU12CTG,0,0,0,0,0,0
CU12DRFIPPV2,0,0,0,0,0,0
CU12ESE,0,0,0,0,0,0
CU12TINF,0,0,0,0,0,0
CU21CAE,0,0,0,0,0,0
CU21ECF,0,0,0,0,0,0
CU21OINF,0,0,0,0,0,0
CU21DCS,0,0,0,0,0,0
CU23ANG,0,0,0,0,0,0
CU23NDL,0,0,0,0,0,0
CU22FLCV2,0,0,0,0,0,0
CU22TVA,0,0,0,0,0,0
CU22GESBUDG,0,0,0,0,0,0
CU22COM,0,0,0,0,0,0
CU32SEMST,0,0,0,0,0,0
CU32TFE,0,0,0,0,0,0
CU12LEG,0,0,0,0,0,0
CU12ECOGEN,0,0,0,0,0,0
CU22ISO,0,0,0,0,0,0
CU21ACCAN,0,0,0,0,0,0
CU21CAC,0,0,0,0,0,0
CU22CIE,0,0,0,0,0,0
DRU11PFD,0,0,0,0,0,0
DRU13COM1,0,0,0,0,0,0
DRU13VDA1,0,0,0,0,0,0
DRU11PSY,0,0,0,0,0,0
DRU11ADVP1,0,0,0,0,0,0
DRU13RAPC1,0,0,0,0,0,0
DR13LG1,0,0,0,0,0,0
DRU13LG2,0,0,0,0,0,0
DRU13LG3,0,0,0,0,0,0
DRU12ADVP2,0,0,0,0,0,0
DRU12ADVP3,0,0,0,0,0,0
DRU12ACEC,0,0,0,0,0,0
DRU12INFO2,0,0,0,0,0,0
DRU12RAPC2,0,0,0,0,0,0
DRU21ADVP4,0,0,0,0,0,0
DRU21VDA3,0,0,0,0,0,0
