id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
ADU21GRHU,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU21ORGES,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU21TPRO2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU22IMMP,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU22INFO1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU22JUR2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU22STATA,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU23ALL2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU23FR2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU23LGET1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU23LGET2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU31GRH,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU31LG1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU31LG2,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU31LGET,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU31MNGT,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU31TPRO3,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU32AIPR,0,0,0,0,0,0,0,0,0,0,0,0,0
ADU33COGP,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU11AAJ,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU11BVE,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU11CEVE1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU11HAR,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU11INF,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU11MAT,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU11SCS,0,0,0,0,0,0,0,1,0,0,0,0,0
AJU12CEVE2,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU12CMA,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU12ECO,0,0,0,0,0,0,0,1,1,0,0,0,1
AJU12INFO1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU13DESS,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU13GDE,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU13PRAPAY1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU13VCS1,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU21CIV,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU21COMP,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU21CONEV3,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU21HURB,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU21INFG2,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU21SOCP,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU22CEVE4,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU22INFO3,0,0,0,0,0,0,0,0,0,0,0,0,0
AJU22LAT1,0,0,0,0,0,0,0,0,0,0,0,0,0
