id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
1,0,0,1,0,0,0,0,3,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,2,0,0,1,0,0,0,0,1,3
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,4,0,0,0,2,0,8
15,2,0,0,0,0,0,0,4,0,0,0,2,0,8
16,0,0,0,0,0,0,0,1,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,0,0,0,0,0,0,3,1,0,0,0,1,4
19,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,0,0,0,0,1,0,1
23,5,0,1,0,1,1,0,11,2,0,0,0,2,16
24,0,0,0,1,0,0,0,3,0,1,0,2,0,5
27,0,0,1,1,0,0,0,3,3,2,1,0,4,7
