id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,0,1,0,1,1,0,7,2,0,0,0,2,13
18,0,0,0,0,0,0,0,2,1,0,0,0,1,2
35,0,0,0,0,0,0,0,4,2,0,0,0,0,4
34,0,0,0,0,0,0,0,4,2,0,0,0,0,4
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,1,0,0,0,0,0,1
15,0,0,0,0,0,0,0,4,0,0,0,0,0,4
27,0,0,0,0,2,0,0,3,2,2,2,0,2,6
28,0,0,0,0,2,0,0,3,2,2,2,0,2,6
24,0,0,0,0,0,0,0,0,0,1,0,1,0,2
26,0,0,0,0,0,0,0,0,0,2,0,1,0,3
25,0,0,0,0,0,0,0,0,0,1,0,1,0,2
20,0,0,0,0,0,0,0,0,0,0,0,1,0,1
19,0,0,0,0,1,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,2,0,0,0,0,1,2
14,0,0,0,0,0,0,0,4,0,0,0,0,0,4
1,0,0,1,0,0,0,0,3,0,0,0,0,1,3
11,0,0,0,0,0,0,0,1,0,0,1,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,1,0,0,0,0,0,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
