id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
AGAA1B01,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA1B02,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA1B04,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA1B05,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA1B06,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA1B07,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA1B08,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA1B09,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA1B10,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA1B11,0,0,0,0,0,0,0,1,0,0,0,0,1
AGAA1B12,0,0,0,0,0,0,0,0,1,0,0,0,0
AGAA1B13,0,0,0,0,1,0,0,0,0,0,0,0,0
AGAA1B14,0,0,0,0,1,1,0,1,0,1,0,0,0
AGAA1B15,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA1B16,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA1B17,0,0,0,0,1,0,0,1,1,0,0,0,0
AGAA2B01,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA2B02,0,0,0,1,0,0,0,0,0,0,0,0,0
AGAA2B03,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA2B04,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA2B05,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA2B06,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA2B07,0,0,1,0,0,1,0,1,0,0,0,0,0
AGAA2B08,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA2B09,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAA2B10,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA2B12,0,0,0,0,1,0,0,0,1,0,0,0,0
AGAA2B13,0,0,0,0,0,0,0,1,0,0,0,0,0
AGAA2B14,0,0,0,0,1,0,0,0,0,0,0,0,0
