id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
agro-industries-biotechnologies,0,0,1,2,5,2,0,16,4,3,2,0,2,22
gestion-des-ressources-humaines,0,0,0,0,0,0,0,0,0,0,0,0,0,0
communication,0,0,0,1,0,0,0,0,0,0,0,0,0,1
montignies-sur-sambre-assistante-sociale,0,0,1,1,0,0,0,1,0,0,0,0,0,3
mons-assistante-sociale,0,0,1,1,0,0,0,1,0,0,0,0,0,3
louvain-la-neuve-assistante-sociale,0,0,1,1,0,0,0,1,0,0,0,0,0,3
technologie-animaliere,0,0,1,1,1,1,0,23,1,0,1,0,1,25
agro-adsa,0,0,2,0,4,9,0,13,1,3,0,0,1,19
gestion-de-production-master,0,0,0,1,1,0,0,1,1,0,0,0,1,2
genie-electrique-en-alternance,0,0,0,0,4,0,0,0,1,0,0,0,1,5
genie-analytique-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
technologie-informatique,0,0,0,0,0,0,0,0,0,0,0,0,0,0
informatique-industrielle,1,0,0,0,0,0,0,0,0,0,0,0,0,1
electronique,0,0,0,0,0,0,0,1,0,0,0,0,0,1
electromecanique,1,0,0,0,4,0,0,0,0,0,0,0,0,5
bachelier-sciences-de-lingenieur-industriel-i2,0,0,0,1,2,0,0,2,0,1,1,0,1,5
gestion-technique-des-batiments-et-domotique,5,0,0,0,4,0,0,0,0,0,0,0,4,8
ingenieur-industriel-electronique,0,1,0,0,1,0,0,1,0,0,0,1,1,2
ingenieur-industriel-electromecanique,1,1,1,0,2,0,0,3,1,0,0,0,5,5
ingenieur-industriel-chimie,0,2,1,4,1,0,0,4,1,3,4,0,2,5
ingenieur-industriel-biochimie,0,1,0,1,0,0,0,1,0,1,1,0,1,2
bachelier-sciences-de-lingenieur-industriel,0,0,0,1,2,0,0,1,0,0,1,0,1,4
construction,4,0,0,0,2,0,0,2,2,0,2,0,2,6
chimie-environnement,0,0,0,3,2,0,0,7,8,0,4,0,7,16
chimie,0,0,0,3,2,0,0,7,8,0,4,0,7,16
automobile,0,0,0,0,0,0,0,0,7,0,0,4,0,11
enseignement-mastersection2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enseignement-mastersection1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
educateur-specialise,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kinesitherapie-master,0,0,1,0,0,0,0,0,0,0,0,0,0,1
technologue-laboratoire-medical,0,1,1,0,0,0,0,1,0,0,0,0,0,2
siamu-specialisation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sage-femme,0,0,0,0,0,0,0,1,0,0,0,0,0,1
infirmier-soins-generaux-mouscron-tournai,0,0,0,0,0,0,0,1,0,0,0,0,0,1
infirmier-soins-generaux-la-louviere,0,0,0,0,0,0,0,1,0,0,0,0,0,1
infirmier-soins-generaux-gilly,0,0,0,0,0,0,0,1,0,0,0,0,0,1
imagerie-medicale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ergotherapie,0,0,0,0,0,0,0,3,0,0,0,0,2,3
biopharma,0,0,1,0,0,0,0,0,0,0,0,0,0,1
publicite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animation-3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-expertise-comptable-fiscale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relations-publiques,0,0,0,0,0,0,0,1,0,0,0,0,0,1
marketing,0,0,0,0,0,0,0,4,0,0,0,0,0,4
tourisme,0,0,2,0,1,0,0,10,0,0,0,0,2,12
logistique-dentreprise,0,0,0,0,0,0,0,2,0,0,1,0,1,3
informatique-montignies-sur-sambre,0,0,0,0,0,0,0,0,0,0,0,0,0,0
informatique-mons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3dtr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gestion-hoteliere-orientation-management,0,0,0,0,1,0,0,3,0,0,0,0,1,4
gestion-hoteliere-orientation-arts-culinaires,0,0,0,0,1,0,0,1,0,0,0,0,1,2
comptabilite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secretariat-medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secretariat-de-direction,0,0,0,1,0,0,0,0,0,0,0,0,0,1
