id,climate,energy,environment,resources,sustainability,dedicated
21396,0,0,0,0,0,0
21395,0,0,0,0,0,0
21402,0,0,0,0,0,0
21403,0,0,0,0,0,0
21404,0,0,0,0,0,0
21405,0,0,0,0,0,0
21406,0,0,0,0,0,0
21408,0,0,0,0,0,0
21409,0,0,0,0,0,0
21410,0,0,0,0,0,0
21411,0,0,0,0,0,0
21412,0,0,0,0,0,0
21394,0,0,0,0,0,0
21413,0,0,0,0,0,0
21407,0,0,0,0,0,0
21397,0,0,0,0,0,0
21398,0,0,0,0,0,0
21399,0,0,0,0,0,0
21400,0,0,0,0,0,0
21401,0,0,0,0,0,0
21422,0,0,0,0,0,0
21427,0,0,0,0,0,0
21416,0,0,0,0,0,0
21414,0,0,0,0,0,0
21423,0,0,0,0,0,0
21424,0,0,0,0,0,0
21425,0,0,0,0,0,0
21426,0,0,0,0,0,0
21428,0,0,0,0,0,0
21429,0,0,0,0,0,0
21430,0,0,0,0,0,0
21431,0,0,0,0,0,0
21432,0,0,0,0,0,0
21415,0,0,0,0,0,0
21433,0,0,0,0,0,0
21417,0,0,0,0,0,0
21420,0,0,0,0,0,0
21418,0,0,0,0,0,0
21419,0,0,0,0,0,0
21421,0,0,0,0,0,0
21434,0,0,0,0,0,0
21443,0,0,0,0,0,0
21444,0,0,0,0,0,0
21445,0,0,0,0,0,0
21446,0,0,0,0,0,0
21447,0,0,0,0,0,0
21448,0,0,0,0,0,0
21435,0,0,0,0,0,0
21436,0,0,0,0,0,0
21437,0,0,0,0,0,0
21438,0,0,0,0,0,0
21439,0,0,0,0,0,0
21440,0,0,0,0,0,0
21441,0,0,0,0,0,0
21442,0,0,0,0,0,0
21264,0,0,0,0,0,0
21252,0,0,0,0,0,0
21240,0,0,0,0,0,0
21259,0,0,0,0,0,0
21242,0,0,0,0,0,0
21243,0,0,0,0,0,0
21246,0,0,0,0,0,0
21241,0,0,0,0,0,0
21265,0,0,0,0,0,0
21257,0,0,0,0,0,0
21513,0,0,0,0,0,0
21263,0,0,0,0,0,0
21249,0,0,0,0,0,0
21254,0,0,0,0,0,0
21244,0,0,0,0,0,0
21262,0,0,0,0,0,0
21261,0,0,0,0,0,0
21288,0,0,0,0,0,0
21287,0,0,0,0,0,0
21289,0,0,0,0,0,0
21292,0,0,0,0,0,0
21296,0,0,0,0,0,0
21290,0,0,0,0,0,0
21293,0,0,0,0,0,0
21298,0,0,0,0,0,0
21295,0,0,0,0,0,0
21285,0,0,0,0,0,0
21281,0,0,0,0,0,0
21283,0,0,0,0,0,0
21286,0,0,0,0,0,0
21284,0,0,0,0,0,0
21294,0,0,0,0,0,0
21282,0,0,0,0,0,0
21291,0,0,0,0,0,0
21311,0,0,0,0,0,0
