id,climate,energy,environment,resources,sustainability,dedicated,total
Economique - 0,0,0,0,0,0,0,0
Economique - 9,0,0,0,0,0,0,0
Economique - 7,0,0,0,0,0,0,0
Economique - 6,0,0,0,0,0,0,0
Social - 2,0,0,0,0,0,0,0
Social - 1,0,0,0,0,0,0,0
Social - 0,0,0,0,0,0,0,0
Pedagogique - 13,0,0,0,0,0,0,0
Pedagogique - 12,0,0,0,0,0,0,0
Pedagogique - 11,1,0,1,0,1,0,1
Pedagogique - 10,0,0,0,0,0,0,0
Pedagogique - 9,0,0,0,0,0,0,0
Pedagogique - 8,0,0,0,0,0,0,0
Pedagogique - 7,0,0,0,0,0,0,0
Pedagogique - 6,0,0,0,0,0,0,0
Pedagogique - 5,0,0,0,0,0,0,0
Pedagogique - 4,0,0,0,0,0,0,0
Pedagogique - 3,0,0,0,0,0,0,0
Pedagogique - 2,0,0,0,0,0,0,0
Pedagogique - 1,0,0,0,0,0,0,0
Pedagogique - 0,0,0,0,0,0,0,0
Paramedical - 6,0,0,0,0,0,0,0
Paramedical - 5,0,0,0,0,0,0,0
Paramedical - 4,0,0,0,0,0,0,0
Paramedical - 3,0,0,0,0,0,0,0
Paramedical - 2,0,0,0,0,0,0,0
Paramedical - 1,0,0,0,0,0,0,0
Paramedical - 0,0,0,0,0,0,0,0
Technique - 10,0,0,0,0,0,0,0
Technique - 8,0,1,1,0,0,0,1
Technique - 7,0,0,0,0,0,0,0
Technique - 6,0,0,0,0,0,0,0
Technique - 5,0,0,0,0,0,0,0
Technique - 4,0,0,0,0,0,0,0
Technique - 3,0,0,0,0,0,0,0
Technique - 1,0,0,0,0,0,0,0
Technique - 0,0,0,0,0,0,0,0
Economique - 5,0,0,0,0,0,0,0
Economique - 4,0,0,0,0,0,0,0
Economique - 3,0,0,0,1,1,1,1
Economique - 2,0,0,0,0,0,0,0
Economique - 1,0,0,0,0,0,0,0
