id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
aeje179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
specialisation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2iha183,0,0,0,0,0,0,0,1,0,0,0,0,0,1
s2thx168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s2huy167,0,0,1,0,0,0,0,0,0,0,0,0,0,1
s2lg169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3sch175,2,0,4,0,0,0,0,2,0,0,0,0,0,6
s3sc177,0,0,0,0,0,0,0,2,0,0,0,0,0,2
s3mat176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3fca185,0,0,0,0,0,0,0,1,0,0,0,0,0,1
s3fph187,0,0,0,0,0,0,0,1,0,0,0,0,0,1
s3fle,0,0,0,0,0,0,0,1,0,0,0,0,0,1
s3frr172,0,0,0,0,0,0,0,1,0,0,0,0,0,1
s3ger174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3fmt186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s3phy170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mged108,0,0,1,0,4,0,0,3,1,1,0,1,1,7
industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mi70,0,0,0,0,2,0,0,1,1,0,1,0,1,4
pass161,0,0,0,0,1,0,0,0,0,0,1,0,1,1
bsi83,0,0,1,0,2,0,0,1,1,1,1,0,2,2
st42,0,0,0,0,0,0,0,1,0,2,0,0,0,2
t38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
informatique,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secsy182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rob181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a155,0,0,0,0,1,0,0,0,0,0,0,0,1,1
gp123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexca164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m113,0,0,0,0,0,0,0,0,0,1,0,0,0,1
r157,0,0,0,1,0,0,0,1,0,0,0,0,0,1
d106,0,0,0,0,0,0,0,1,0,0,0,0,1,1
o30,0,0,2,0,0,0,0,2,0,0,0,0,0,3
c79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a151,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ad103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ias116,0,0,0,0,0,0,0,1,0,0,0,0,0,1
as87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anim184,0,0,0,0,0,0,0,2,0,0,0,0,1,2
siamu44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ped13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msci165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infi115,0,0,1,0,0,0,0,0,1,0,0,0,0,2
bachelier,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psy25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
