id,climate,energy,environment,resources,sustainability,dedicated
PM113,0,0,0,0,0,0
EES1,0,0,0,0,0,0
EENB1,0,0,0,0,0,0
EM3O1,0,0,0,0,0,0
BC115,0,0,0,0,0,0
AS307,0,0,0,0,0,0
LG224,0,0,0,0,0,0
LG225,0,0,0,0,0,0
CF221,0,0,0,0,0,0
RM101,0,0,0,0,0,0
RM102,0,0,0,0,0,0
RM103,0,0,0,0,0,0
EM230,0,1,0,0,0,0
EM232,0,0,0,0,0,0
EM233,0,0,0,0,0,0
SC317,0,0,0,0,0,0
EM315,0,1,0,0,0,1
EM321,0,0,0,0,0,0
EM322,0,0,1,0,0,0
EM331,0,0,0,0,0,0
RM104,0,0,0,0,0,0
RM105,0,0,0,0,0,0
RM106,0,0,0,0,0,0
RM107,0,0,0,0,0,0
TI203,0,0,0,0,0,0
TI204,0,0,0,0,0,0
AS201,0,0,0,0,0,0
AI213,0,0,0,0,0,0
AI214,0,0,0,0,0,0
AI216,0,0,0,0,0,0
AI217,0,0,0,0,0,0
AS202,0,0,0,0,0,0
AS208,0,0,0,0,0,0
AS210,0,0,0,0,0,0
AI221,0,0,0,0,0,0
AI222,0,0,0,0,0,0
TI207,0,0,0,0,0,0
TI208,0,0,0,0,0,0
TI210,0,0,0,0,0,0
IS101,0,0,0,0,0,0
IS102,0,0,0,0,0,0
AU201,0,0,0,0,0,0
AU202,0,0,0,0,0,0
IS103,0,0,0,0,0,0
AU204,0,0,0,0,0,0
AU208,0,0,0,0,0,0
IS104,0,0,0,0,0,0
AU210,0,0,0,0,0,0
AU205,0,0,0,0,0,0
AU212,0,0,0,0,0,0
AU3O2,0,0,0,0,0,0
SC204,0,0,0,0,0,0
IS105,0,0,0,0,0,0
IS106,0,0,0,0,0,0
IS113,0,0,0,0,0,0
IS110,0,0,0,0,0,0
SC205,0,0,0,0,0,0
IS108,0,0,0,0,0,0
SC206,0,0,0,0,0,0
IS109,0,0,0,0,0,0
SC201,0,0,0,0,0,0
