id,climate,energy,environment,resources,sustainability,dedicated,total
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
67,0,2,1,0,0,0,3
46-3,0,0,0,0,0,0,0
2-2,0,0,0,0,0,0,0
2-45,0,0,0,0,0,0,0
46-46,0,0,0,0,0,0,0
52,1,2,0,2,2,2,4
51,0,2,0,1,1,2,3
54,0,2,0,0,0,0,2
10,0,0,0,0,0,0,0
1,1,2,0,0,0,1,2
14,0,0,0,0,0,0,0
12,0,0,0,0,1,0,1
15,0,0,0,0,0,0,0
13,0,0,2,0,1,0,3
69,0,0,0,0,0,0,0
66,0,0,1,0,1,0,2
50-49,0,8,2,0,0,2,10
50-50,0,8,2,0,0,2,10
25,0,0,0,0,0,0,0
18,0,0,0,0,1,0,1
21-21,0,0,0,0,0,0,0
24-24,0,2,0,0,0,0,2
23-17,0,0,3,0,3,0,6
22-22,0,0,0,0,0,0,0
28-28,0,0,0,0,0,0,0
28-44,0,0,0,0,0,0,0
20-20,0,0,0,0,0,0,0
19-19,0,0,0,0,0,0,0
19-38,0,0,0,0,0,0,0
20-39,0,0,0,0,0,0,0
22-35,0,0,0,0,0,0,0
23-23,0,0,3,0,3,0,6
23-36,0,0,3,0,3,0,6
24-37,0,2,0,0,0,0,2
21-40,0,0,0,0,0,0,0
9,0,0,1,0,1,1,1
33,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
30-30,0,0,0,0,0,0,0
30-58,0,0,0,0,0,0,0
