id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0,0,0,1
89,0,0,0,0,0,0,0,1,1,0,1,0,1,2
103-95,0,0,0,0,0,0,0,1,0,0,0,0,0,1
102-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103-98,0,0,0,0,0,0,0,1,0,0,0,0,0,1
39-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103-103,0,0,0,0,0,0,0,1,0,0,0,0,0,1
52,1,0,1,1,2,0,0,3,0,1,1,1,2,4
51,1,1,1,1,2,0,0,2,0,0,0,0,2,3
54,0,0,0,0,2,0,0,2,0,2,0,0,1,6
67,0,0,0,0,1,0,0,1,0,0,0,0,0,2
1,1,0,0,0,0,0,0,1,1,0,1,0,2,3
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,1,0,0,1,0,0,1,0,1,2
85,0,0,0,0,1,0,0,1,0,0,1,0,1,2
88,0,0,0,0,1,0,0,1,0,0,1,0,1,2
87,0,0,0,0,0,0,0,1,0,0,1,0,1,1
84,0,0,0,0,0,0,0,1,0,0,1,0,1,1
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-49,1,0,0,0,2,0,0,2,0,0,1,0,1,5
50-50,1,0,0,0,2,0,0,2,0,0,1,0,1,5
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,0,0,0,1,0,0,0,0,0,2
66,0,0,1,0,1,0,0,10,1,0,0,0,0,10
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,1,0,0,0,0,1,1
58-30,0,0,0,0,0,0,0,3,0,0,0,0,0,3
58-58,0,0,0,0,0,0,0,3,0,0,0,0,0,3
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46-3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
45-2,0,0,0,0,0,0,0,2,0,0,0,0,0,2
45-45,0,0,0,0,0,0,0,2,0,0,0,0,0,2
40-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44-28,0,0,0,0,0,0,0,1,0,0,0,0,0,1
44-44,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46-46,0,0,0,0,0,0,0,1,0,0,0,0,0,1
94,0,0,2,1,0,0,1,4,0,1,0,0,2,4
101,0,0,2,1,1,0,1,3,0,1,1,0,2,5
100,0,0,1,1,0,0,1,1,0,1,0,0,1,1
99,0,0,1,1,0,0,1,3,0,1,0,0,1,3
92,0,0,1,1,0,0,1,1,0,1,0,0,1,1
93,0,0,1,1,0,0,1,1,0,1,0,0,1,1
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36-17,0,0,1,0,0,0,0,0,1,0,0,0,0,2
35-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36-23,0,0,1,0,0,0,0,0,1,0,0,0,0,2
36-36,0,0,1,0,0,0,0,0,1,0,0,0,0,2
105,0,0,0,0,0,0,0,1,0,0,0,0,0,1
