id,climate,energy,environment,resources,sustainability,dedicated,total
MSSIAM01,0,0,0,0,0,0,0
M1INFR01,0,0,0,0,0,0,0
M1KINE01,0,0,0,0,0,0,0
M1LOGO01,0,0,0,0,0,0,0
M2KINE01,0,0,0,0,0,0,0
PYREPC01,0,0,0,0,0,0,0
E1TOFC01,1,0,3,2,2,3,4
T1GECH01,0,2,2,2,2,3,4
S1ASSO02,0,0,0,0,0,0,0
T1ININ01,1,2,1,0,0,1,3
T1PSIE01,0,0,4,1,1,2,4
T1INFC01,0,1,0,0,0,0,1
T1CHFC01,1,0,4,0,2,1,5
T1ELFC01,1,1,1,1,1,1,2
T1COFC01,0,1,1,1,1,0,4
E1ADIR01,0,0,0,1,0,0,1
E1COFC01,0,0,0,1,0,0,1
E1INFO01,0,0,0,1,0,0,1
P1AESH01,0,0,0,0,0,0,0
P1AESE01,0,0,0,0,0,0,0
P1AESC01,0,0,2,0,0,0,2
P1AEMA01,0,0,0,0,0,0,0
P1AELG01,0,0,0,0,0,0,0
P1AEFE01,0,0,0,0,0,0,0
P1AEFM01,0,0,0,0,0,0,0
P1AEFL01,0,0,0,0,0,0,0
P1AEEP01,0,0,0,0,0,0,0
P1PRSC02,0,0,0,0,0,0,0
P1PRSC01,0,0,0,0,0,0,0
P1PRIM02,0,0,0,0,0,0,0
P1PRIM01,0,1,0,0,0,0,1
P1EDUC01,0,0,0,0,0,0,0
MSSTCO02,0,0,0,0,0,0,0
