id,climate,energy,environment,resources,sustainability,dedicated,total
ABA-AK-0,0,0,0,0,0,0,0
ABA-AK-1,0,0,0,0,0,0,0
ABA-BK-0,0,0,0,0,0,0,0
ABA-BK-1,0,0,0,0,0,0,0
ABA-BK-10,0,0,0,0,0,0,0
ABA-BK-11,0,0,0,0,0,0,0
ABA-BK-12,0,0,0,0,0,0,0
ABA-BK-13,0,0,0,0,0,0,0
ABA-BK-2,0,0,0,0,0,0,0
ABA-BK-3,0,0,0,0,0,0,0
ABA-BK-4,0,0,0,0,0,0,0
ABA-BK-5,0,0,0,0,0,0,0
ABA-BK-6,0,0,1,0,1,0,1
ABA-BK-7,0,0,0,0,0,0,0
ABA-BK-8,0,0,0,0,0,0,0
ABA-BK-9,0,0,0,0,0,0,0
ABA-DRA-0,0,0,0,0,0,0,0
ABA-MUZ-0,0,0,0,0,0,0,0
ABA-MUZ-1,0,0,0,0,0,0,0
ABA-MUZ-10,0,0,0,0,0,0,0
ABA-MUZ-11,0,0,0,0,0,0,0
ABA-MUZ-12,0,0,0,0,0,0,0
ABA-MUZ-13,0,0,0,0,0,0,0
ABA-MUZ-2,0,0,0,0,0,0,0
ABA-MUZ-3,0,0,0,0,0,0,0
ABA-MUZ-4,0,0,0,0,0,0,0
ABA-MUZ-5,0,0,0,0,0,0,0
ABA-MUZ-6,0,0,0,0,0,0,0
ABA-MUZ-7,0,0,0,0,0,0,0
ABA-MUZ-8,0,0,0,0,0,0,0
ABA-MUZ-9,0,0,0,0,0,0,0
BNB-IBM-0,0,0,0,0,0,0,0
BNB-IZS-0,0,0,0,0,0,0,0
BNB-LSONT-0,1,0,0,0,0,0,1
BNB-LSONT-1,1,0,0,0,0,0,1
BNB-LSONT-2,0,0,0,0,0,0,0
BNB-TF(AL)-0,0,0,0,0,0,0,0
BNB-TFISC-0,0,0,0,0,0,0,0
BNB-ZM-0,0,0,0,0,0,0,0
GRAD-ACA1-0,0,0,0,0,0,0,0
GRAD-ACA1-1,0,0,0,0,0,0,0
GRAD-ACA2-0,0,0,0,0,0,0,0
GRAD-ACA2-1,0,0,0,0,0,0,0
GRAD-ACA8-0,0,0,0,0,0,0,0
GRAD-BIOT-0,0,0,0,0,0,0,0
GRAD-BKT-0,0,0,0,1,0,0,1
GRAD-EMS-0,0,0,0,0,0,0,0
GRAD-EMS-1,0,0,0,0,0,0,0
GRAD-HVAC-0,0,3,1,0,1,2,4
GRAD-JURA-0,0,0,0,0,0,0,0
GRAD-MCS1-0,0,0,0,0,0,0,0
GRAD-MCS1-1,0,0,0,0,0,0,0
GRAD-PRG1-0,0,0,0,0,0,0,0
GRAD-PRG1-1,0,0,0,0,0,0,0
GRAD-PRG1-2,0,0,0,0,0,0,0
GRAD-PRG2-0,0,0,0,0,0,0,0
GRAD-PROD-0,0,0,3,0,0,0,3
GRAD-SO-0,0,0,0,0,0,0,0
GRAD-SO-1,0,0,0,0,0,0,0
GRAD-SO-2,0,0,0,0,0,0,0
GRAD-SO-3,0,0,0,0,0,0,0
GRAD-SO-4,0,0,0,0,0,0,0
GRAD-SYS1-0,0,0,0,0,0,0,0
GRAD-SYS1-1,0,0,0,0,0,0,0
GRAD-SYS1-2,0,0,0,0,0,0,0
GRAD-SYS2-0,0,0,0,0,0,0,0
GRAD-WERF-0,0,0,0,3,0,0,3
GRAD-WM-0,0,0,0,0,1,1,1
GRAD-WM-1,0,0,0,0,1,1,1
INT-AUDIO-0,0,0,0,0,0,0,0
INT-BRL-0,0,0,0,0,1,0,1
INT-BRL-1,0,0,0,0,0,0,0
INT-EDU-0,0,0,0,0,0,0,0
INT-IT-0,0,0,0,0,0,0,0
INT-ND-0,0,0,0,0,0,0,0
INT-NURS-0,0,0,0,0,0,0,0
INT-OT-0,0,0,0,0,0,0,0
INT-SECW-0,0,0,0,0,0,0,0
INT-SLP-0,0,0,0,0,0,0,0
INT-SPORT-0,0,0,0,0,0,0,0
INT-SW-0,0,0,0,0,0,0,0
MA-AA-0,0,0,0,0,0,0,0
MA-AA-1,0,0,0,0,0,0,0
MA-AA-2,0,0,0,0,0,0,0
MA-AK-0,0,0,0,0,0,0,0
MA-AK-1,0,0,0,0,0,0,0
MA-AK-2,0,0,0,0,0,0,0
MA-BK-0,0,0,0,0,0,0,0
MA-BK-1,0,0,0,0,0,0,0
MA-BK-2,0,0,0,0,0,0,0
MA-BK-3,0,0,0,0,0,0,0
MA-BK-4,0,0,0,0,0,0,0
MA-BK-5,0,0,0,0,0,0,0
MA-BK-6,0,0,0,0,1,1,1
MA-DRA-0,0,0,0,0,0,0,0
MA-DRA-1,0,0,0,0,0,0,0
MA-DRE-0,0,0,0,0,0,0,0
MA-DRE-1,0,0,0,0,0,0,0
MA-EAB-0,0,0,0,0,0,0,0
MA-EAB-1,0,0,0,0,0,0,0
MA-EAB-10,0,0,0,0,0,0,0
MA-EAB-11,0,0,0,0,0,0,0
MA-EAB-12,0,0,0,0,0,0,0
MA-EAB-13,0,0,0,0,0,0,0
MA-EAB-14,0,0,0,0,0,0,0
MA-EAB-15,0,0,0,0,0,0,0
MA-EAB-16,0,0,0,0,0,0,0
MA-EAB-2,0,0,0,0,0,0,0
MA-EAB-3,0,0,0,0,0,0,0
MA-EAB-4,0,0,0,0,0,0,0
MA-EAB-5,0,0,0,0,0,0,0
MA-EAB-6,0,0,0,0,0,0,0
MA-EAB-7,0,0,0,0,0,0,0
MA-EAB-8,0,0,0,0,0,0,0
MA-EAB-9,0,0,0,0,0,0,0
MA-EMP-0,0,0,0,0,0,0,0
MA-EMP-1,0,0,0,0,0,0,0
MA-EMP-10,0,0,0,0,0,0,0
MA-EMP-11,0,0,0,0,0,0,0
MA-EMP-12,0,0,0,0,0,0,0
MA-EMP-13,0,0,0,0,0,0,0
MA-EMP-14,0,0,0,0,0,0,0
MA-EMP-2,0,0,0,0,0,0,0
MA-EMP-3,0,0,0,0,0,0,0
MA-EMP-4,0,0,0,0,0,0,0
MA-EMP-5,0,0,0,0,0,0,0
MA-EMP-6,0,0,0,0,0,0,0
MA-EMP-7,0,0,0,0,0,0,0
MA-EMP-8,0,0,0,0,0,0,0
MA-EMP-9,0,0,0,0,0,0,0
MA-FA-0,0,0,0,0,0,0,0
MA-FA-1,0,0,0,0,0,0,0
MA-FA-2,0,0,0,0,0,0,0
MA-FA-3,0,0,0,0,0,0,0
MA-FA-4,0,0,0,0,0,0,0
MA-FA-5,0,0,0,0,0,0,0
MA-FA-6,0,0,0,0,0,0,0
MA-MUS-0,0,0,0,0,0,0,0
MA-MUS-1,0,0,0,0,0,0,0
MA-MUS-10,0,0,0,0,0,0,0
MA-MUS-11,0,0,0,0,0,0,0
MA-MUS-2,0,0,0,0,0,0,0
MA-MUS-3,0,0,0,0,0,0,0
MA-MUS-4,0,0,0,0,0,0,0
MA-MUS-5,0,0,0,0,0,0,0
MA-MUS-6,0,0,0,0,0,0,0
MA-MUS-7,0,0,0,0,0,0,0
MA-MUS-8,0,0,0,0,0,0,0
MA-MUS-9,0,0,0,0,0,0,0
MA-MUZ-0,0,0,0,0,0,0,0
MA-MUZ-1,0,0,0,0,0,0,0
MA-MUZ-2,0,0,0,0,0,0,0
MA-MUZ-3,0,0,0,0,0,0,0
MA-MUZ-4,0,0,0,0,0,0,0
MA-MUZ-5,0,0,0,0,0,0,0
MA-MUZ-6,0,0,0,0,0,0,0
MA-MUZ-7,0,0,0,0,0,0,0
MNM-SOL-0,0,0,0,0,0,0,0
PBA-AGR-0,2,1,4,0,2,2,7
PBA-AGR-1,2,1,6,0,2,2,9
PBA-AGR-2,4,0,7,0,2,3,9
PBA-AGR-3,2,1,4,0,2,2,7
PBA-AGR-4,2,1,2,0,2,2,5
PBA-BM-0,0,0,0,0,1,0,1
PBA-BM-1,0,0,0,0,1,0,1
PBA-BM-10,0,0,0,0,1,0,1
PBA-BM-11,0,0,0,0,1,0,1
PBA-BM-12,0,0,1,0,0,0,1
PBA-BM-13,0,0,0,0,1,0,1
PBA-BM-14,0,0,0,0,1,0,1
PBA-BM-15,0,0,0,0,0,0,0
PBA-BM-16,0,0,0,0,0,0,0
PBA-BM-17,0,0,0,0,0,0,0
PBA-BM-18,0,0,0,0,0,0,0
PBA-BM-19,0,0,0,0,0,0,0
PBA-BM-2,0,0,0,0,1,0,1
PBA-BM-20,3,1,7,2,4,8,13
PBA-BM-21,3,1,7,2,3,7,12
PBA-BM-22,2,1,7,1,4,6,12
PBA-BM-23,4,2,8,0,6,12,16
PBA-BM-24,0,0,0,0,1,0,1
PBA-BM-25,0,0,0,0,0,0,0
PBA-BM-26,0,0,0,0,0,0,0
PBA-BM-27,0,0,0,0,0,0,0
PBA-BM-28,0,0,0,0,0,0,0
PBA-BM-29,0,0,0,0,0,0,0
PBA-BM-3,0,0,0,0,1,0,1
PBA-BM-4,0,0,0,0,1,0,1
PBA-BM-5,0,0,0,0,1,0,1
PBA-BM-6,3,1,7,2,8,10,17
PBA-BM-7,0,0,0,0,1,0,1
PBA-BM-8,0,0,0,0,1,0,1
PBA-BM-9,0,0,0,0,1,0,1
PBA-BM2-0,0,0,0,0,1,0,1
PBA-BM2-1,0,0,0,0,1,0,1
PBA-BM2-2,0,0,0,0,2,0,2
PBA-BM2-3,0,0,0,0,1,0,1
PBA-BMLT-0,0,0,2,0,0,0,2
PBA-BMLT-1,0,0,0,0,0,0,0
PBA-BMLT-2,0,0,2,0,0,0,2
PBA-BMLT-3,0,0,2,0,0,0,2
PBA-CH-0,2,1,6,1,4,7,11
PBA-EM-0,1,4,0,1,2,2,5
PBA-ERGO-0,0,0,0,0,0,0,0
PBA-ERGO-1,0,0,0,0,0,0,0
PBA-ERGO-2,0,0,0,0,0,0,0
PBA-ERGO-3,0,0,0,0,0,0,0
PBA-HOUT-0,0,0,0,1,1,1,2
PBA-INT-0,0,0,3,0,3,0,3
PBA-INT-1,0,0,2,0,3,0,3
PBA-KO-0,0,0,0,0,0,0,0
PBA-KO-1,0,0,0,0,0,0,0
PBA-KO-2,0,0,0,0,0,0,0
PBA-KO-3,0,0,0,0,0,0,0
PBA-KO-4,0,0,0,0,0,0,0
PBA-KO-5,0,0,0,0,0,0,0
PBA-KO-6,0,0,0,0,0,0,0
PBA-LA-0,0,0,0,0,0,0,0
PBA-LA-1,0,0,0,0,0,0,0
PBA-LA-10,0,0,0,0,0,0,0
PBA-LA-2,0,0,0,0,0,0,0
PBA-LA-3,0,0,0,0,0,0,0
PBA-LA-4,0,0,0,0,0,0,0
PBA-LA-5,0,0,0,0,0,0,0
PBA-LA-6,0,0,0,0,0,0,0
PBA-LA-7,0,0,0,0,0,0,0
PBA-LA-8,0,0,0,0,0,0,0
PBA-LA-9,0,0,0,0,0,0,0
PBA-LO-0,0,0,1,0,2,0,2
PBA-LO-1,0,0,0,0,1,0,1
PBA-LO-2,0,0,0,0,1,0,1
PBA-LO-3,0,0,0,0,1,0,1
PBA-LO-4,0,0,1,0,2,0,2
PBA-LO-5,0,0,0,0,1,0,1
PBA-LO-6,0,0,0,0,1,0,1
PBA-LT-0,0,0,0,0,0,0,0
PBA-MODE-0,0,0,0,1,1,0,2
PBA-OM-0,0,0,0,0,0,0,0
PBA-OM-1,0,0,0,0,0,0,0
PBA-OM-2,0,0,0,0,0,0,0
PBA-OM-3,0,0,0,0,0,0,0
PBA-OM-4,0,0,0,0,0,0,0
PBA-OM-5,0,0,0,0,0,0,0
PBA-ORTH-0,0,0,0,0,0,0,0
PBA-ORTH-1,0,0,0,0,0,0,0
PBA-ORTH-10,0,0,0,0,0,0,0
PBA-ORTH-11,0,0,0,0,0,0,0
PBA-ORTH-12,0,0,0,0,0,0,0
PBA-ORTH-13,0,0,0,0,0,0,0
PBA-ORTH-14,0,0,0,0,0,0,0
PBA-ORTH-15,0,0,0,0,0,0,0
PBA-ORTH-16,0,0,0,0,0,0,0
PBA-ORTH-17,0,0,0,0,0,0,0
PBA-ORTH-2,0,0,0,0,0,0,0
PBA-ORTH-3,0,0,0,0,0,0,0
PBA-ORTH-4,0,0,0,0,0,0,0
PBA-ORTH-5,0,0,0,0,0,0,0
PBA-ORTH-6,0,0,0,0,0,0,0
