id,climate,energy,environment,resources,sustainability,dedicated
86961,0,0,0,0,0,0
87289,0,0,0,0,0,0
87297,0,0,0,0,0,0
87298,0,0,0,0,0,0
87299,0,0,0,0,0,0
87333,0,0,0,0,0,0
87334,0,0,0,0,0,0
87338,0,0,0,0,0,0
87339,0,0,0,0,0,0
87340,0,0,0,0,0,0
87341,0,0,0,0,0,0
87343,0,0,0,0,0,0
87346,0,0,0,0,0,0
87347,0,0,0,0,0,0
87348,0,0,0,0,0,0
87350,0,0,0,0,0,0
87352,0,0,0,0,0,0
87354,0,0,0,0,0,0
87355,0,0,0,0,0,0
87357,0,0,0,0,0,0
87358,0,0,0,0,0,0
87362,0,0,0,0,0,0
87363,0,0,0,0,0,0
87364,0,0,0,0,0,0
87367,0,0,0,0,0,0
87368,0,0,0,0,0,0
87369,0,0,0,0,0,0
87374,0,0,0,0,0,0
87378,0,0,0,0,0,0
87380,0,0,0,0,0,0
87382,0,0,0,0,0,0
87384,0,0,0,0,0,0
87386,0,0,0,0,0,0
87387,0,0,0,0,0,0
87385,0,0,0,0,0,0
87389,0,0,0,0,0,0
87391,0,0,0,0,0,0
87393,0,0,0,0,0,0
87395,0,0,0,0,0,0
87398,0,0,0,0,0,0
87402,0,0,0,0,0,0
87403,0,0,0,0,0,0
87426,0,0,0,0,0,0
87432,0,0,0,0,0,0
87438,0,0,0,0,0,0
87445,0,0,0,0,0,0
87447,0,0,0,0,0,0
87450,0,0,0,0,0,0
87455,0,0,0,0,0,0
87456,0,0,0,0,0,0
87457,0,0,0,0,0,0
87458,0,0,0,0,0,0
87459,0,0,0,0,0,0
87462,0,0,0,0,0,0
87464,0,0,0,0,0,0
87465,0,0,0,0,0,0
87467,0,0,0,0,0,0
87468,0,0,0,0,0,0
87471,0,0,0,0,0,0
87472,0,0,0,0,0,0
87473,0,0,0,0,0,0
87475,0,0,0,0,0,0
87479,0,0,0,0,0,0
87488,0,0,0,0,0,0
87489,0,0,0,0,0,0
87491,0,0,0,0,0,0
87494,0,0,0,0,0,0
87496,0,0,0,0,0,0
87497,0,0,0,0,0,0
87500,0,0,0,0,0,0
87501,0,0,0,0,0,0
87502,0,0,0,0,0,0
87503,0,0,0,0,0,0
87506,0,0,0,0,0,0
87507,0,0,0,0,0,0
87510,0,0,0,0,0,0
87511,0,0,0,0,0,0
87512,0,0,0,0,0,0
87518,0,0,0,0,0,0
87520,0,0,0,0,0,0
87531,0,0,0,0,0,0
87532,0,0,0,0,0,0
87537,0,0,0,0,0,0
87543,0,0,0,0,0,0
87544,0,0,0,0,0,0
87545,0,0,0,0,0,0
87546,0,0,0,0,0,0
87547,0,0,0,0,0,0
87548,0,0,0,0,0,0
87551,0,0,0,0,0,0
87552,0,0,0,0,0,0
87553,0,0,0,0,0,0
87555,0,0,0,0,0,0
87557,0,0,0,0,0,0
87558,0,0,0,0,0,0
87579,0,0,0,0,0,0
