id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
91469,0,0,0,0,0,0,0,0,0,0,0,0,0
91470,0,0,0,0,0,0,0,0,0,0,0,0,0
91471,0,0,0,0,0,0,0,0,0,0,0,0,0
91472,0,0,0,0,0,0,0,0,0,0,0,0,0
91479,0,0,0,0,0,0,0,0,0,0,0,0,0
91480,0,0,0,0,0,0,0,0,0,0,0,0,0
91481,0,0,0,0,0,0,0,0,0,0,0,0,0
91482,0,0,0,0,0,0,0,0,0,0,0,0,0
91483,0,0,0,0,0,0,0,0,0,0,0,0,0
91484,0,0,0,0,0,0,0,0,0,0,0,0,0
91485,0,0,0,0,0,0,0,0,0,0,0,0,0
91486,0,0,0,0,0,0,0,0,0,0,0,0,0
91488,0,0,0,0,0,0,0,0,0,0,0,0,0
91489,0,0,0,0,0,0,0,0,0,0,0,0,0
91490,0,0,0,0,0,0,0,0,0,0,0,0,0
91491,0,0,0,0,0,0,0,0,0,0,0,0,0
91492,0,0,0,0,0,0,0,0,0,0,0,0,0
91496,0,0,0,0,0,0,0,0,0,0,0,0,0
91497,0,0,0,0,0,0,0,0,0,0,0,0,0
91499,0,0,0,0,0,0,0,0,0,0,0,0,0
91500,0,0,0,0,0,0,0,0,0,0,0,0,0
91501,0,0,0,0,0,0,0,0,0,0,0,0,0
91505,0,0,0,0,0,0,0,0,0,0,0,0,0
91506,0,0,0,0,0,0,0,0,0,0,0,0,0
91507,0,0,0,0,0,0,0,0,0,0,0,0,0
91509,0,0,0,0,0,0,0,0,0,0,0,0,0
91510,0,0,0,0,0,0,0,0,0,0,0,0,0
91511,0,0,0,0,0,0,0,0,0,0,0,0,0
91512,0,0,0,0,0,0,0,0,0,0,0,0,0
91513,0,0,0,0,0,0,0,0,0,0,0,0,0
91514,0,0,0,0,0,0,0,0,0,0,0,0,0
91515,0,0,0,0,0,0,0,0,0,0,0,0,0
91521,0,0,0,0,0,0,0,0,0,0,0,0,0
91524,0,0,0,0,0,0,0,0,0,0,0,0,0
91543,0,0,0,0,0,0,0,0,0,0,0,0,0
91547,0,0,0,0,0,0,0,0,0,0,0,0,0
91548,0,0,0,0,0,0,0,0,0,0,0,0,0
91549,0,0,0,0,0,0,0,0,0,0,0,0,0
91550,0,0,0,0,0,0,0,0,0,0,0,0,0
91551,0,0,0,0,0,0,0,0,0,0,0,0,0
91552,0,0,0,0,0,0,0,0,0,0,0,0,0
91553,0,0,0,0,0,0,0,0,0,0,0,0,0
91554,0,0,0,0,0,0,0,0,0,0,0,0,0
91555,0,0,0,0,0,0,0,0,0,0,0,0,0
91556,0,0,0,0,0,0,0,0,0,0,0,0,0
91557,0,0,0,0,0,0,0,0,0,0,0,0,0
91558,0,0,0,0,0,0,0,0,0,0,0,0,0
91559,0,0,0,0,0,0,0,0,0,0,0,0,0
91560,0,0,0,0,0,0,0,0,0,0,0,0,0
91561,0,0,0,0,0,0,0,0,0,0,0,0,0
91562,0,0,0,0,0,0,0,0,0,0,0,0,0
91563,0,0,0,0,0,0,0,0,0,0,0,0,0
91564,0,0,0,0,0,0,0,0,0,0,0,0,0
91566,0,0,0,0,0,0,0,0,0,0,0,0,0
91567,0,0,0,0,0,0,0,0,0,0,0,0,0
91568,0,0,0,0,0,0,0,0,0,0,0,0,0
91569,0,0,0,0,0,0,0,0,0,0,0,0,0
91570,0,0,0,0,0,0,0,0,0,0,0,0,0
91571,0,0,0,0,0,0,0,0,0,0,0,0,0
91572,0,0,0,0,0,0,0,0,0,0,0,0,0
91576,0,0,0,0,0,0,0,0,0,0,0,0,0
91577,0,0,0,0,0,0,0,0,0,0,0,0,0
91580,0,0,0,0,0,0,0,0,0,0,0,0,0
91581,0,0,0,0,0,0,0,0,0,0,0,0,0
91586,0,0,0,0,0,0,0,0,0,0,0,0,0
91587,0,0,0,0,0,0,0,0,0,0,0,0,0
91588,0,0,0,0,0,0,0,0,0,0,0,0,0
91589,0,0,0,0,0,0,0,0,0,0,0,0,0
91590,0,0,0,0,0,0,0,0,0,0,0,0,0
91592,0,0,0,0,0,0,0,0,0,0,0,0,0
91593,0,0,0,0,0,0,0,0,0,0,0,0,0
91594,0,0,0,0,0,0,0,0,0,0,0,0,0
91595,0,0,0,0,0,0,0,0,0,0,0,0,0
91596,0,0,0,0,0,0,0,0,0,0,0,0,0
91599,0,0,0,0,0,0,0,0,0,0,0,0,0
91600,0,0,0,0,0,0,0,0,0,0,0,0,0
91601,0,0,0,0,0,0,0,0,0,0,0,0,0
91602,0,0,0,0,0,0,0,0,0,0,0,0,0
91604,0,0,0,0,0,0,0,0,0,0,0,0,0
91607,0,0,0,0,0,0,0,0,0,0,0,0,0
91608,0,0,0,0,0,0,0,0,0,0,0,0,0
91609,0,0,0,0,0,0,0,0,0,0,0,0,0
91641,0,0,0,0,0,0,0,0,0,0,0,0,0
91642,0,0,0,0,0,0,0,1,0,0,0,0,0
91643,0,0,0,0,0,0,0,0,0,0,0,0,0
91644,0,0,0,0,0,0,0,0,0,0,0,0,0
91645,0,0,0,0,0,0,0,0,0,0,0,0,0
91648,0,0,0,0,0,0,0,0,0,0,0,0,0
91649,0,0,0,0,0,0,0,0,0,0,0,0,0
91650,0,0,0,0,0,0,0,0,0,0,0,0,0
91651,0,0,0,0,0,0,0,0,0,0,0,0,0
91652,0,0,0,0,0,0,0,0,0,0,0,0,0
91653,0,0,0,0,0,0,0,0,0,0,0,0,0
91654,0,0,0,0,0,0,0,0,0,0,0,0,0
91655,0,0,0,0,0,0,0,0,0,0,0,0,0
91656,0,0,0,0,0,0,0,0,0,0,0,0,0
91657,0,0,0,0,0,0,0,0,0,0,0,0,0
