id,climate,energy,environment,resources,sustainability,dedicated,total
1475,0,1,3,0,5,0,5
1559,0,0,0,0,0,0,0
1515,0,0,0,0,0,0,0
1525,0,0,0,0,0,0,0
1524,0,0,0,0,0,0,0
1548,0,0,0,0,0,0,0
1546,0,1,0,0,0,0,1
1471,0,0,0,0,0,0,0
1489,0,0,0,0,0,0,0
1550,0,2,0,0,0,0,2
1469,0,0,0,0,0,0,0
1528,0,0,0,0,0,0,0
1519,0,0,0,0,0,0,0
1513,0,1,0,2,1,0,2
1555,0,0,0,0,0,0,0
1530,0,0,0,0,2,0,2
1534,0,0,0,0,0,0,0
1533,0,0,0,0,0,0,0
1488,0,2,1,0,1,1,3
1487,0,0,0,0,0,0,0
1549,0,1,1,3,0,0,5
1532,0,0,0,0,0,0,0
1516,0,0,0,0,0,0,0
1552,0,0,0,0,0,0,0
1521,0,0,0,0,0,0,0
1526,0,0,0,0,0,0,0
1484,0,0,0,0,0,0,0
1479,0,0,0,0,1,0,1
1480,0,0,0,0,2,1,2
1529,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0
1556,0,0,0,0,0,0,0
1531,0,0,1,0,0,0,1
1511,0,0,0,0,0,0,0
1537,0,0,0,0,0,0,0
1483,0,0,1,0,1,0,1
