id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,0,0,0,0,2,0,0,6,0,0,0,1,0,7
1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1613,0,0,0,0,0,0,0,2,0,0,0,0,0,2
1614,2,0,0,1,1,0,0,1,0,0,0,0,1,3
1617,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1622,0,0,0,0,3,0,0,0,1,0,0,0,0,3
1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648,0,0,0,1,2,0,0,0,1,0,0,0,0,2
1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666,0,0,0,2,0,0,0,1,0,0,0,0,0,3
1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,0,1,1,0,0,0,0,1,0,0,0,0,0,3
1691,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,0,0,0,0,2,0,0,0,2,0,0,0,0,4
1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,0,0,0,0,0,0,0,3,0,0,0,2,0,5
1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
