id,climate,energy,environment,resources,sustainability,dedicated,total
BIC,0,0,0,0,0,0,0
ECEPERF,0,0,0,0,0,0,0
ECEFP,0,0,0,0,0,0,0
ECEFI,0,0,0,0,0,0,0
ECEFEEI,0,0,0,0,0,0,0
ECEFDS,0,0,0,0,0,0,0
ECEFDPP,0,0,0,0,0,0,0
DCEG,0,0,0,0,0,0,0
EEMEDFEEI,0,0,0,0,0,0,0
EEMEDF,0,0,0,0,0,0,0
ADLSS,0,0,0,0,0,0,0
MESCET,0,0,0,0,0,0,0
MESC,0,0,0,0,0,0,0
MESCS,0,0,0,0,1,0,1
MEGDLIT,1,0,0,0,0,0,1
MEGDLPI,1,0,0,0,1,0,2
MEGDLDIU(,0,0,0,0,0,0,0
MEGDLTIUU,1,0,0,0,1,0,2
MIC,2,1,2,1,1,2,5
MBAAIE,0,0,0,0,0,0,0
BEGDL,0,0,0,0,0,0,0
BEGDLS,0,0,0,0,0,0,0
