id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
BIC,0,0,0,0,2,0,0,6,0,0,0,0,0,7
ECEFEEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECEFDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECEFDPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCEG,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ADLSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESC,0,0,0,0,0,0,0,2,0,0,0,0,2,2
MESCET,0,0,0,0,0,0,0,1,0,0,0,0,1,1
EEMEDFEEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEMEDF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECEPERF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECEFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECEFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MESCS,0,0,0,1,0,0,0,2,0,0,0,0,2,3
MEGDLIT,0,0,0,0,0,0,0,3,0,0,0,0,2,3
MEGDLPI,0,0,1,2,1,0,0,6,0,0,0,0,4,7
MEGDLTIUU,0,0,1,2,1,0,0,5,0,0,0,0,3,6
MIC,1,0,2,2,2,0,0,7,1,2,1,0,6,10
MBAAIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEGDL,0,0,0,1,0,0,0,5,0,0,0,0,0,6
BEGDLS,0,0,1,0,0,0,0,4,0,0,0,0,0,4
