id,climate,energy,environment,resources,sustainability,dedicated
AP104,0,0,0,0,0,0
AP102,0,0,0,0,0,0
AP101,0,0,0,0,0,0
AP103,0,0,0,0,0,0
AP105,0,0,0,0,0,0
AP107,0,0,0,0,0,0
AP108,0,0,0,0,0,0
AP109,0,0,0,0,0,0
AP201,0,0,0,0,0,0
AP202,0,0,0,0,0,0
AP203,0,0,0,0,0,0
AP204,0,0,0,0,0,0
AP206,0,0,0,0,0,0
AP207,0,0,0,0,0,0
AP21T,0,0,0,0,0,0
AP301,0,0,0,0,0,0
AP302,0,0,0,0,0,0
AP304,0,0,0,0,0,0
AP307,0,0,0,0,0,0
AP401,0,0,0,0,0,0
AP402,0,0,0,0,0,0
AP403,0,0,0,0,0,0
AP404,0,0,0,0,0,0
AP407,0,0,0,0,0,0
AP41T,0,0,0,0,0,0
AP42T,0,0,0,0,0,0
AP43T,0,0,0,0,0,0
AP44T,0,0,0,0,0,0
AP502,0,0,0,0,0,0
AP503,0,0,0,0,0,0
AP505,0,0,0,0,0,0
AP507,0,0,0,0,0,0
AP508,0,0,0,0,0,0
AP605,0,0,0,0,0,0
AP606,0,0,0,0,0,0
AP61T,0,0,0,0,0,0
AP62T,0,0,0,0,0,0
AP63T,0,0,0,0,0,0
AP64T,0,0,0,0,0,0
FF101,0,0,0,0,0,0
FF102,0,0,0,0,0,0
FF103,0,0,0,0,0,0
FF104,0,0,0,0,0,0
FF105,0,0,0,0,0,0
FF106,0,0,0,0,0,0
FF201,0,0,0,0,0,0
FF202,0,0,0,0,0,0
FF203,0,0,0,0,0,0
FF204,0,0,0,0,0,0
FF205,0,0,0,0,0,0
FF206,0,0,0,0,0,0
FF207,0,0,0,0,0,0
FF301,0,0,0,0,0,0
FF302,0,0,0,0,0,0
FF303,0,0,0,0,0,0
FF304,0,0,0,0,0,0
FF305,0,0,0,0,0,0
FF401,0,0,0,0,0,0
FF402,0,0,0,0,0,0
FF403,0,0,0,0,0,0
FF404,0,0,0,0,0,0
FF405,0,0,0,0,0,0
FF406,0,0,0,0,0,0
FF41T,0,0,0,0,0,0
FF42T,0,0,0,0,0,0
FF501,0,0,0,0,0,0
FF502,0,0,0,0,0,0
FF503,0,0,0,0,0,0
FF507,0,0,0,0,0,0
FF508,0,0,0,0,0,0
FF509,0,0,0,0,0,0
FF604,0,0,0,0,0,0
FF605,0,0,0,0,0,0
FF61T,0,0,0,0,0,0
FF62T,0,0,0,0,0,0
FF63T,0,0,0,0,0,0
FR101,0,0,0,0,0,0
FR102,0,0,0,0,0,0
FR103,0,0,0,0,0,0
FR104,0,0,0,0,0,0
FR105,0,0,0,0,0,0
FR106,0,0,0,0,0,0
FR107,0,0,0,0,0,0
FR201,0,0,0,0,0,0
FR202,0,0,0,0,0,0
FR203,0,0,0,0,0,0
FR204,0,0,0,0,0,0
FR205,0,0,0,0,0,0
FR206,0,0,0,0,0,0
FR207,0,0,0,0,0,0
FR208,0,0,0,0,0,0
FR301,0,0,0,0,0,0
FR302,0,0,0,0,0,0
FR303,0,0,0,0,0,0
FR304,0,0,0,0,0,0
FR305,0,0,0,0,0,0
FR306,0,0,0,0,0,0
FR401,0,0,0,0,0,0
FR402,0,0,0,0,0,0
FR403,0,0,0,0,0,0
FR404,0,0,0,0,0,0
FR405,0,0,0,0,0,0
FR406,0,0,0,0,0,0
FR407,0,0,0,0,0,0
FR41T,0,0,0,0,0,0
FR42T,0,0,0,0,0,0
FR501,0,0,0,0,0,0
FR502,0,0,0,0,0,0
FR503,0,0,0,0,0,0
FR507,0,0,0,0,0,0
FR508,0,0,0,0,0,0
FR509,0,0,0,0,0,0
FR604,0,0,0,0,0,0
FR605,0,0,0,0,0,0
FR61T,0,0,0,0,0,0
FR62T,0,0,0,0,0,0
FR63T,0,0,0,0,0,0
LG101,0,0,0,0,0,0
LG102,0,0,0,0,0,0
LG103,0,0,0,0,0,0
LG104,0,0,0,0,0,0
LG105,0,0,0,0,0,0
LG106,0,0,0,0,0,0
LG107,0,0,0,0,0,0
LG108,0,0,0,0,0,0
LG201,0,0,0,0,0,0
LG202,0,0,0,0,0,0
LG203,0,0,0,0,0,0
LG205,0,0,0,0,0,0
LG206,0,0,0,0,0,0
LG207,0,0,0,0,0,0
LG208,0,0,0,0,0,0
LG209,0,0,0,0,0,0
LG210,0,0,0,0,0,0
LG301,0,0,0,0,0,0
LG302,0,0,0,0,0,0
LG303,0,0,0,0,0,0
LG304,0,0,0,0,0,0
LG305,0,0,0,0,0,0
LG306,0,0,0,0,0,0
LG401,0,0,0,0,0,0
LG402,0,0,0,0,0,0
LG403,0,0,0,0,0,0
LG404,0,0,0,0,0,0
LG405,0,0,0,0,0,0
LG406,0,0,0,0,0,0
LG407,0,0,0,0,0,0
LG408,0,0,0,0,0,0
LG41T,0,0,0,0,0,0
LG42T,0,0,0,0,0,0
LG501,0,0,0,0,0,0
LG502,0,0,0,0,0,0
LG503,0,0,0,0,0,0
LG504,0,0,0,0,0,0
LG505,0,0,0,0,0,0
LG506,0,0,0,0,0,0
LG509,0,0,0,0,0,0
LG510,0,0,0,0,0,0
LG603,0,0,0,0,0,0
LG604,0,0,0,0,0,0
LG61T,0,0,0,0,0,0
LG62T,0,0,0,0,0,0
MA101,0,0,0,0,0,0
MA102,0,0,0,0,0,0
MA103,0,0,0,0,0,0
MA104,0,0,0,0,0,0
MA105,0,0,0,0,0,0
AP303,0,0,0,0,0,0
MA106,0,0,0,0,0,0
MA107,0,0,0,0,0,0
MA109,0,0,0,0,0,0
MA110,0,0,0,0,0,0
MA201,0,0,0,0,0,0
MA202,0,0,0,0,0,0
MA203,0,0,0,0,0,0
MA205,0,0,0,0,0,0
MA206,0,0,0,0,0,0
MA207,0,0,0,0,0,0
MA22T,0,0,0,0,0,0
MA23T,0,0,0,0,0,0
MA301,0,0,0,0,0,0
MA302,0,0,0,0,0,0
MA303,0,0,0,0,0,0
MA304,0,0,0,0,0,0
MA305,0,0,0,0,0,0
MA306,0,0,0,0,0,0
MA307,0,0,0,0,0,0
MA308,0,0,0,0,0,0
MA401,0,0,0,0,0,0
MA402,0,0,0,0,0,0
MA403,0,0,0,0,0,0
MA404,0,0,0,0,0,0
MA405,0,0,0,0,0,0
MA406,0,0,0,0,0,0
MA43T,0,0,0,0,0,0
MA44T,0,0,0,0,0,0
MA45T,0,0,0,0,0,0
MA501,0,0,0,0,0,0
MA502,0,0,0,0,0,0
MA506,0,0,0,0,0,0
MA503,0,0,0,0,0,0
MA507,0,0,0,0,0,0
MA607,0,0,0,0,0,0
MA609,0,0,0,0,0,0
MA61T,0,0,0,0,0,0
MA63T,0,0,0,0,0,0
MA64T,0,0,0,0,0,0
MA65T,0,0,0,0,0,0
MA66T,0,0,0,0,0,0
PR101,0,0,0,0,0,0
PR102,0,0,0,0,0,0
PR105,0,0,0,0,0,0
PR109,0,0,0,0,0,0
PR110,0,0,0,0,0,0
PR111,0,0,0,0,0,0
PR112,0,0,0,0,0,0
PR113,0,0,0,0,0,0
PR201,0,0,0,0,0,0
PR202,0,0,0,0,0,0
PR203,0,0,0,0,0,0
PR204,0,0,0,0,0,0
PR205,0,0,0,0,0,0
PR206,0,0,0,0,0,0
PR207,0,0,0,0,0,0
PR208,0,0,0,0,0,0
PR210,0,0,0,0,0,0
PR21T,0,0,0,0,0,0
PR22T,0,0,0,0,0,0
PR23T,0,0,0,0,0,0
PR24T,0,0,0,0,0,0
PR302,0,0,0,0,0,0
PR303,0,0,0,0,0,0
PR304,0,0,0,0,0,0
PR306,0,0,0,0,0,0
PR307,0,0,0,0,0,0
PR308,0,0,0,0,0,0
PR309,0,0,0,0,0,0
PR310,0,0,0,0,0,0
PR401,0,0,0,0,0,0
PR402,0,0,0,0,0,0
PR404,0,0,0,0,0,0
PR406,0,0,0,0,0,0
PR407,0,0,0,0,0,0
PR408,0,0,0,0,0,0
PR409,0,0,0,0,0,0
PR411,0,0,0,0,0,0
PR41T,0,0,0,0,0,0
PR42T,0,0,0,0,0,0
PR43T,0,0,0,0,0,0
PR501,0,0,0,0,0,0
PR503,0,0,0,0,0,0
PR504,0,0,0,0,0,0
PR505,0,0,0,0,0,0
PR506,0,0,0,0,0,0
PR507,0,0,0,0,0,0
PR508,0,0,0,0,0,0
PR603,0,0,0,0,0,0
PR61T,0,0,0,0,0,0
PR62T,0,0,0,0,0,0
PR63T,0,0,0,0,0,0
PS101,0,0,0,0,0,0
PS105,0,0,0,0,0,0
PS106,0,0,0,0,0,0
PS107,0,0,0,0,0,0
PS108,0,0,0,0,0,0
PS109,0,0,0,0,0,0
PS112,0,0,0,0,0,0
PS201,0,0,0,0,0,0
PS202,0,0,0,0,0,0
PS203,0,0,0,0,0,0
PS205,0,0,0,0,0,0
PS208,0,0,0,0,0,0
PS209,0,0,0,0,0,0
PS210,0,0,0,0,0,0
PS21T,0,0,0,0,0,0
PS22T,0,0,0,0,0,0
PS23T,0,0,0,0,0,0
PS302,0,0,0,0,0,0
PS303,0,0,0,0,0,0
PS306,0,0,0,0,0,0
PS307,0,0,0,0,0,0
PS308,0,0,0,0,0,0
PS309,0,0,0,0,0,0
PS310,0,0,0,0,0,0
PS401,0,0,0,0,0,0
PS403,0,0,0,0,0,0
PS404,0,0,0,0,0,0
PS407,0,0,0,0,0,0
PS408,0,0,0,0,0,0
PS410,0,0,0,0,0,0
PS411,0,0,0,0,0,0
PS41T,0,0,0,0,0,0
PS42T,0,0,0,0,0,0
PS43T,0,0,0,0,0,0
PS44T,0,0,0,0,0,0
PS501,0,0,0,0,0,0
PS502,0,0,0,0,0,0
PS503,0,0,0,0,0,0
PS504,0,0,0,0,0,0
PS507,0,0,0,0,0,0
PS508,0,0,0,0,0,0
PS603,0,0,0,0,0,0
PS604,0,0,0,0,0,0
PS61T,0,0,0,0,0,0
PS62T,0,0,0,0,0,0
PS63T,0,0,0,0,0,0
SE101,0,0,0,0,0,0
SE102,0,0,0,0,0,0
SE103,0,0,0,0,0,0
SE104,0,0,0,0,0,0
SE105,0,0,0,0,0,0
SE107,0,0,0,0,0,0
SE108,0,0,0,0,0,0
SE109,0,0,0,0,0,0
SE201,0,0,0,0,0,0
SE202,0,0,0,0,0,0
SE203,0,0,0,0,0,0
SE204,0,0,0,0,0,0
SE206,0,0,0,0,0,0
SE207,0,0,0,0,0,0
SE208,0,0,0,0,0,0
SE21T,0,0,0,0,0,0
SE301,0,0,0,0,0,0
SE302,0,0,0,0,0,0
SE303,0,0,0,0,0,0
SE304,0,0,0,0,0,0
SE305,0,0,0,0,0,0
SE306,0,0,0,0,0,0
SE401,0,0,0,0,0,0
SE402,0,0,0,0,0,0
SE403,0,0,0,0,0,0
SE404,0,0,0,0,0,0
SE405,0,0,0,0,0,0
SE406,0,0,0,0,0,0
SE41T,0,0,0,0,0,0
SE42T,0,0,0,0,0,0
SE43T,0,0,0,0,0,0
SE501,0,0,0,0,0,0
SE502,0,0,0,0,0,0
SE503,0,0,0,0,0,0
SE505,0,0,0,0,0,0
SE506,0,0,0,0,0,0
SE507,0,0,0,0,0,0
SE604,0,0,0,0,0,0
SE605,0,0,0,0,0,0
SE606,0,0,0,0,0,0
SE61T,0,0,0,0,0,0
SE62T,0,0,0,0,0,0
SE63T,0,0,0,0,0,0
SH101,0,0,0,0,0,0
SH102,0,0,0,0,0,0
SH103,0,0,0,0,0,0
SH104,0,0,0,0,0,0
SH105,0,0,0,0,0,0
SH108,0,0,0,0,0,0
SH109,0,0,0,0,0,0
SH201,0,0,0,0,0,0
SH202,0,0,0,0,0,0
SH203,0,0,0,0,0,0
SH204,0,0,0,0,0,0
SH205,0,0,0,0,0,0
SH206,0,0,0,0,0,0
SH207,0,0,0,0,0,0
SH208,0,0,0,0,0,0
SH301,0,0,0,0,0,0
SH302,0,0,0,0,0,0
SH303,0,0,0,0,0,0
SH304,0,0,0,0,0,0
SH306,0,0,0,0,0,0
SH307,0,0,0,0,0,0
SH401,0,0,0,0,0,0
SH402,0,0,0,0,0,0
SH403,0,0,0,0,0,0
SH405,0,0,0,0,0,0
SH407,0,0,0,0,0,0
SH408,0,0,0,0,0,0
SH41T,0,0,0,0,0,0
SH42T,0,0,0,0,0,0
SH43T,0,0,0,0,0,0
SH44T,0,0,0,0,0,0
SH501,0,0,0,0,0,0
SH502,0,0,0,0,0,0
SH503,0,0,0,0,0,0
SH505,0,0,0,0,0,0
SH506,0,0,0,0,0,0
SH507,0,0,0,0,0,0
SH508,0,0,0,0,0,0
SH604,0,0,0,0,0,0
SH605,0,0,0,0,0,0
SH606,0,0,0,0,0,0
SH607,0,0,0,0,0,0
SH61T,0,0,0,0,0,0
SH62T,0,0,0,0,0,0
SH63T,0,0,0,0,0,0
SN101,0,0,0,0,0,0
SN102,0,0,0,0,0,0
SN103,0,0,0,0,0,0
SN104,0,0,0,0,0,0
SN105,0,0,0,0,0,0
SN106,0,0,0,0,0,0
SN107,0,0,0,0,0,0
SN108,0,0,0,0,0,0
SN201,0,0,0,0,0,0
SN202,0,0,0,0,0,0
SN203,0,0,0,0,0,0
SN204,0,0,0,0,0,0
SN205,0,0,0,0,0,0
SN206,0,0,0,0,0,0
SN207,0,0,0,0,0,0
SN21T,0,0,0,0,0,0
SN301,0,0,0,0,0,0
SN302,0,0,0,0,0,0
SN303,0,0,0,0,0,0
