id,climate,energy,environment,resources,sustainability,dedicated
I1002,0,0,0,0,0,0
I1004,0,0,0,0,0,0
I1005,0,0,0,0,0,0
I1007,0,0,0,0,0,0
I1008,0,0,0,0,0,0
I1009,0,0,0,0,0,0
I1010,0,0,0,0,0,0
I1011,0,0,0,0,0,0
I1012,0,0,0,0,0,0
I1T02,0,0,0,0,0,0
I1T03,0,0,0,0,0,0
I2001,0,0,0,0,0,0
I2003,0,0,0,0,0,0
I2005,0,1,0,0,0,0
I2007,0,0,0,0,0,0
I2008,0,0,0,0,0,0
I2009,0,0,0,0,0,0
I3001,0,0,0,0,0,0
I3002,0,0,0,0,0,0
I3003,0,0,0,0,0,0
I3004,0,0,0,0,0,0
I3005,0,0,0,0,0,0
I3T01,0,0,0,0,0,0
I3T02,0,0,0,0,0,0
I3T03,0,0,0,0,0,0
I4001,0,0,0,0,0,0
I4002,0,0,0,0,0,0
I4003,0,0,0,0,0,0
I4004,0,0,0,0,0,0
I4005,0,0,0,0,0,0
I5001,0,0,0,0,0,0
I5002,0,0,0,0,0,0
I5003,0,0,0,0,0,0
I5T01,0,0,0,0,0,0
I5T02,0,0,0,0,0,0
I5T03,0,0,0,0,0,0
I5T04,0,0,0,0,0,0
I6001,0,0,0,0,0,0
I6002,0,0,0,0,0,0
I7001,0,0,0,0,0,0
I7002,0,0,0,0,0,0
I7003,1,0,1,0,1,0
I7T01,0,0,0,0,0,0
I7T02,0,0,0,0,0,0
I7T03,0,0,0,0,0,0
I7T04,0,0,0,0,0,0
S1001,0,0,0,0,0,0
S1002,0,0,0,0,0,0
S1003,0,0,0,0,0,0
S1004,0,0,0,0,0,0
S1T01,0,0,0,0,0,0
S2001,0,0,0,0,0,0
S2002,0,0,0,0,0,0
S2003,0,0,0,0,0,0
S2004,0,0,0,0,0,0
S2005,0,0,0,0,0,0
