id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
F0UZ0A,0,0,0,0,0,0,0,0,0,0,0,0,0
F0UZ1A,0,0,0,0,0,0,0,0,0,0,0,0,0
F0VI1A,0,0,0,0,0,0,0,0,0,0,0,0,0
F0VI2A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q10A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q12A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q14A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q15A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q24A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q26A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q27A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q29A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q30A,0,0,0,0,0,0,0,0,0,0,0,0,0
S0Q31A,0,0,0,0,0,0,0,0,0,0,0,0,0
A00B0B,0,0,0,0,0,0,0,0,0,0,0,0,0
A00B9B,0,0,0,0,0,0,0,0,0,0,0,0,0
A00C4B,0,0,0,0,0,0,0,1,0,0,0,0,1
A01B1B,0,0,0,0,0,0,0,0,0,0,0,0,0
A01B2B,0,0,0,0,0,0,0,0,0,0,0,0,0
A01B9B,0,0,0,0,0,0,0,0,0,0,0,0,0
A01C0A,0,0,0,0,0,0,0,0,0,0,0,0,0
A01C6B,0,0,0,0,0,0,0,0,0,0,0,0,0
A02B1B,0,0,0,0,0,0,0,0,0,0,0,0,0
A02C0B,0,0,0,0,0,0,0,0,0,0,0,0,0
A02C1B,0,0,0,0,0,0,0,0,0,0,0,0,0
A02C6B,0,0,0,0,0,0,0,0,0,0,0,0,0
A02E9A,0,0,0,0,0,0,0,0,0,0,0,0,0
A05A1B,0,0,0,0,0,0,0,0,0,0,0,0,0
A05A3A,0,0,0,0,0,0,0,0,0,0,0,0,0
A05A4B,0,0,0,0,0,0,0,0,0,0,0,0,0
A05A6A,0,0,0,0,0,0,0,0,0,0,0,0,0
A05A7B,0,0,0,0,0,0,0,0,0,0,0,0,0
A05A9A,0,0,0,0,0,0,0,0,0,0,0,0,0
A05D6A,0,0,0,0,0,0,0,1,0,0,0,0,0
A05D8B,0,0,0,0,0,0,0,0,0,0,0,0,0
A05E3A,0,0,0,0,0,0,0,0,0,0,0,0,0
A05F0A,0,0,0,0,0,0,0,0,0,0,0,0,0
A05F1A,0,0,0,0,0,0,0,0,0,0,0,0,0
