id,climate,energy,environment,durability,total
SC_52915412,0,0,0,0,0
SC_54844348,0,0,0,0,0
SC_50531920,0,0,0,0,0
SC_50459919,0,0,0,0,0
SC_51016780,0,0,0,0,0
SC_54230072,2,0,0,1,2
SC_54230064,0,0,0,0,0
SC_51282528,0,0,0,0,0
SC_55561731,0,0,0,0,0
SC_55566921,0,0,0,0,0
SC_55562675,0,0,0,0,0
SC_51016744,0,0,0,0,0
SC_51016745,0,0,0,0,0
SC_53602854,0,0,0,0,0
SC_55580283,0,0,0,0,0
SC_51267420,0,0,0,0,0
SC_51017082,0,0,0,0,0
SC_50046563,0,0,0,0,0
SC_50046535,0,0,0,0,0
SC_50996335,0,0,0,0,0
SC_54952950,0,0,0,0,0
SC_54958846,0,0,0,0,0
SC_54952658,0,0,0,0,0
SC_54953056,0,0,0,0,0
SC_54952583,0,0,0,0,0
SC_54952972,0,0,0,0,0
SC_54958835,0,0,0,0,0
SC_54952717,0,0,0,0,0
SC_53317225,0,0,0,0,0
SC_53644021,0,1,1,2,3
SC_51017035,0,1,2,2,4
SC_52391973,0,0,2,3,4
SC_51017072,0,0,0,0,0
SC_54747409,0,0,2,2,3
SC_54743950,0,0,0,0,0
SC_54743820,0,0,0,0,0
SC_51017071,0,0,0,0,0
SC_53637046,0,0,0,0,0
SC_51275019,0,0,0,0,0
SC_55234264,0,0,2,0,2
SC_54844229,0,0,0,0,0
SC_53245865,0,0,0,0,0
SC_53246134,0,0,0,0,0
SC_51017006,0,0,0,0,0
SC_53243842,0,1,0,0,1
SC_51016952,0,1,0,0,1
SC_53245299,0,0,0,0,0
SC_52880767,0,0,0,0,0
SC_51017040,0,0,0,0,0
SC_50046465,0,0,0,0,0
SC_51899043,0,1,0,0,1
SC_50996297,0,0,0,0,0
SC_51226170,0,0,0,0,0
SC_53584368,0,0,0,0,0
SC_54087366,0,1,2,2,4
SC_54538861,0,0,0,0,0
SC_51016977,0,1,1,0,2
SC_54210330,0,0,0,0,0
SC_51929077,0,0,0,0,0
SC_54059820,0,1,2,2,4
SC_51227947,0,0,0,0,0
SC_51593329,0,0,0,0,0
SC_52905993,0,0,0,0,0
SC_51017081,0,0,0,0,0
SC_50871043,0,0,0,0,0
SC_50871046,0,0,0,0,0
SC_50871045,0,0,0,0,0
SC_50871044,0,0,0,0,0
SC_50871042,0,0,0,0,0
SC_50871040,0,0,0,0,0
SC_51017037,0,0,0,0,0
SC_51016942,0,0,0,0,0
SC_51017061,0,0,0,0,0
SC_54577235,0,0,0,0,0
SC_50046420,0,0,0,0,0
SC_53607357,0,0,0,0,0
SC_51016930,0,0,0,0,0
SC_53209644,0,0,0,0,0
SC_51016929,0,0,0,0,0
SC_53597631,0,0,0,0,0
SC_51016851,0,0,0,0,0
SC_51016853,0,0,0,0,0
SC_51796935,0,0,0,0,0
SC_50812437,0,0,0,0,0
SC_54472276,0,0,0,0,0
SC_51017010,0,0,0,0,0
SC_51016848,0,0,0,0,0
SC_54522511,0,0,0,0,0
SC_55540928,0,0,0,0,0
SC_54951829,0,0,0,0,0
SC_54959351,0,0,0,0,0
SC_54951742,0,0,0,0,0
SC_54951987,0,0,0,0,0
SC_54951598,1,0,0,1,1
SC_51017075,0,0,0,0,0
SC_54959315,0,0,0,0,0
SC_54951844,0,0,0,0,0
SC_54951789,0,0,0,0,0
SC_54743921,0,0,0,1,1
SC_54743532,0,1,2,1,4
SC_53660126,0,0,0,0,0
SC_51016842,0,0,0,0,0
SC_51016988,0,0,1,0,1
SC_52719708,0,0,0,0,0
SC_55314583,0,0,0,0,0
SC_55556977,0,0,1,2,2
SC_53232710,0,0,0,0,0
SC_51388604,0,0,0,0,0
SC_52773404,0,0,0,0,0
SC_51016923,0,0,0,0,0
SC_51016976,0,0,0,0,0
SC_54575432,0,0,0,0,0
SC_52903928,0,0,0,0,0
SC_51016966,0,0,0,0,0
SC_55526368,0,0,2,1,2
SC_54327960,0,0,1,2,2
SC_51197033,0,0,0,0,0
SC_51016985,0,0,0,0,0
SC_51016965,0,0,0,0,0
SC_51016761,0,0,1,0,1
