id,decarbonization,energy,consumption,environment,climatology,durability,society
F0UZ0A,0,0,0,0,0,0,0
F0VI1A,0,0,0,0,0,0,0
F0UZ1A,0,0,0,0,0,0,0
A00B0B,0,0,0,0,0,0,0
F0VI2A,0,0,0,0,0,0,0
A00C1A,0,0,0,0,0,0,0
A00B9B,0,0,0,0,0,0,0
A00C4B,0,0,0,1,0,0,0
A01B1B,0,0,0,0,0,0,0
A01B2B,0,0,0,0,0,0,0
A01B9B,0,0,0,0,0,0,0
A02C6B,0,0,0,0,0,0,0
A02E9A,0,0,0,0,0,0,0
A01C0A,0,0,0,0,0,0,0
A01C6B,0,0,0,0,0,0,0
A02B1B,0,0,0,0,0,0,0
A05A1B,0,0,0,0,0,0,0
A02C0B,0,0,0,0,0,0,0
A02C1B,0,0,0,0,0,0,0
A05A3A,0,0,0,0,0,0,0
A05A4B,0,0,0,0,0,0,0
A05A6A,0,0,0,0,0,0,0
A05A7B,0,0,0,0,0,0,0
A05A9A,0,0,0,0,0,0,0
A05D6A,0,0,0,1,0,0,0
A05D8B,0,0,0,0,0,0,0
A05E3A,0,0,0,0,0,0,0
A05F0A,0,0,0,0,0,0,0
A05F1A,0,0,0,0,0,0,0
A05G1A,0,0,0,0,0,0,0
A05G3A,0,0,0,0,0,0,0
A05G5A,0,0,0,0,0,0,0
A05G6A,0,0,0,0,0,0,0
A06A0A,0,0,0,0,0,0,0
A06A1A,0,0,0,0,0,0,0
A06A2A,0,0,0,0,0,0,0
A06A3A,0,0,0,0,0,0,0
A06A4A,0,0,0,0,0,0,0
A06A5A,0,0,0,0,0,0,0
A06A8A,0,0,0,0,0,0,0
A06A9A,0,0,0,0,0,0,0
A06B0B,0,0,0,0,0,0,0
A06B4B,0,0,0,1,0,0,0
A06E1B,0,0,0,0,0,0,0
A06E5B,0,0,0,0,0,0,0
A07A0A,0,0,0,0,0,0,0
A07A3A,0,0,0,0,0,0,0
A07A4A,0,0,0,0,0,0,0
A07A6A,0,0,0,0,0,0,0
A07A7A,0,0,0,0,0,0,0
A07A8A,0,0,0,0,0,0,0
A07A9A,0,0,0,0,0,0,0
A07B5B,0,0,0,0,0,0,0
A07B8B,0,0,0,0,0,0,0
A07E1A,0,0,0,0,0,0,0
A07E2A,0,0,0,0,0,0,0
A07E3A,0,0,0,0,0,0,0
A07E5A,0,0,0,0,0,0,0
A07F4B,0,0,0,0,0,0,0
A07F5B,0,0,0,0,0,0,0
A07F7B,0,0,0,0,0,0,0
A07G3B,0,0,0,0,0,0,0
A07G4B,0,0,0,0,0,0,0
A07G5B,0,0,0,0,0,0,0
A07G6B,0,0,0,0,0,0,0
A07G7B,0,0,0,0,0,0,0
A07H2A,0,0,0,0,0,0,0
A07H3B,0,0,0,0,0,0,0
A07H7B,0,0,0,0,0,0,0
A07I0B,0,0,0,0,0,0,0
A07I1B,0,0,0,0,0,0,0
A07I2A,0,0,0,0,0,0,0
A07I3A,0,0,0,0,0,0,0
A07I4A,0,0,0,0,0,0,0
A07I5A,0,0,0,0,0,0,0
A07I7A,0,0,0,0,0,0,0
A07I8A,0,0,0,0,0,0,0
A07J3A,0,0,0,1,0,0,0
A07J4A,0,0,0,0,0,0,0
A07J5A,0,0,0,0,0,0,0
A07J6A,0,0,0,0,0,0,0
A07J7A,0,0,0,0,0,0,0
A07K2B,0,0,0,0,0,0,0
A07K5A,0,0,0,0,0,0,0
A07K6A,0,0,0,0,0,0,0
A07K7B,0,0,0,0,0,0,0
A07K9B,0,0,0,0,0,0,0
A07L0A,0,0,0,0,0,0,0
A07L1A,0,0,0,0,0,0,0
A07L2A,0,0,0,0,0,0,0
A07L3A,0,0,0,0,0,0,0
A07L4A,0,0,0,0,0,0,0
A07L5A,0,0,0,0,0,0,0
A07M3A,0,0,0,0,0,0,0
A07M9A,0,0,0,0,0,0,0
A07N4A,0,0,0,0,0,0,0
A07N5A,0,0,0,0,0,0,0
A07N6A,0,0,0,0,0,0,0
A07N7A,0,0,0,0,0,0,0
A07N8A,0,0,0,0,0,0,0
A08A0A,0,0,0,0,0,0,0
A08A1A,0,0,0,0,0,0,0
A08A2A,0,0,0,0,0,0,0
A08A3A,0,0,0,0,0,0,0
A08A5A,0,0,0,0,0,0,0
A08A6A,0,0,0,0,0,0,0
A08A7A,0,0,0,0,0,0,0
A08A8A,0,0,0,0,0,0,0
