id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
HBB56E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB63A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB70F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB71F,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB01A,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB02A,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB13A,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB15A,0,0,0,0,0,0,0,0,0,0,0,0,0
HEB19A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBB15A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBB33A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF03A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF05A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF08A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF10A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF09A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF12A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF13A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF15A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF16A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF17A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF29A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF23A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF37A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF38A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF39A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF40A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF42A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF47A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF51A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF53A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF54A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF57A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF56A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF60A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF61A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF62A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF63A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF64A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF65A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF66A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF67A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF68A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF69A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF70A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF71A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF72A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF73A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF74A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF75A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF76A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF77A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF78A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF79A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF80A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF81A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF82A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF83A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF84A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF85A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF86A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF87A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF88A,0,0,0,1,0,0,0,0,0,0,0,0,1
OBF89A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF90A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF91A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF92A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF97Z,0,0,0,0,0,0,0,0,0,0,0,0,0
OBF98Z,0,0,0,0,0,0,0,0,0,0,0,0,0
OBW26A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBW27A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBW28A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBW29A,0,0,0,0,0,0,0,0,0,0,0,0,0
OBW30A,0,0,0,0,0,0,0,0,0,0,0,0,0
OH3152,0,0,0,0,0,0,0,0,0,0,0,0,0
OH3153,0,0,0,0,0,0,0,0,0,0,0,0,0
OH3156,0,0,0,0,0,0,0,0,0,0,0,0,0
OH3157,0,0,0,0,0,0,0,0,0,0,0,0,0
OH3158,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB02F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB03A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB03E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB04E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB09B,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB14A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB14B,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB14E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB16E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB17A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB18A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB19E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB27A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB31B,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB33F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB34E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB35A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB36A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB38A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB39A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB39E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB41F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB43E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB45F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB46E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB46F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB48A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB50A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB50E,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB50F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB52A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB53A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB55A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB56A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB56F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB57F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB61A,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB65F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB69F,0,0,0,0,0,0,0,0,0,0,0,0,0
HBB72F,0,0,0,0,0,0,0,0,0,0,0,0,0
