id,climate,energy,environment,resources,sustainability,dedicated,total
SC_51858227,0,0,0,0,0,0,0
SC_51858215,0,0,0,0,0,0,0
SC_51531527,0,0,0,0,1,0,1
SC_51603845,1,2,3,0,5,1,7
SC_55025257,0,0,0,0,0,0,0
SC_56186166,0,0,0,0,0,0,0
SC_56174705,0,0,0,0,0,0,0
SC_55531070,0,0,0,0,0,0,0
SC_51858274,0,0,0,0,0,0,0
SC_54984904,0,0,0,0,0,0,0
SC_54984821,0,0,0,0,0,0,0
SC_54984910,0,0,0,0,0,0,0
SC_54984909,0,0,0,0,0,0,0
SC_54984918,0,0,0,0,0,0,0
SC_54984917,0,0,0,0,0,0,0
SC_54985079,0,0,0,0,0,0,0
SC_51531524,1,2,3,0,5,1,7
SC_51858267,0,0,0,0,0,0,0
SC_51858233,0,0,0,0,0,0,0
SC_51858220,0,0,0,0,0,0,0
SC_54985065,0,0,0,0,0,0,0
SC_51903422,0,0,0,0,0,0,0
SC_55008535,1,0,1,0,4,1,5
SC_55439634,0,0,0,0,0,0,0
SC_53368903,1,2,3,0,3,1,7
SC_51603420,0,0,0,0,1,0,1
SC_51531552,0,0,0,0,1,0,1
SC_51603450,0,0,3,0,2,0,3
SC_51531551,0,0,3,0,3,0,4
SC_51903416,0,0,0,0,0,0,0
SC_51903410,0,0,0,0,0,0,0
SC_51858257,0,0,0,0,1,0,1
SC_51604563,1,2,3,0,3,1,7
SC_51531553,1,2,3,0,3,1,7
SC_53368908,0,0,1,0,2,1,2
SC_51858262,1,0,1,0,4,1,5
SC_53368900,1,0,1,0,4,1,5
SC_51858259,1,0,1,0,4,1,5
SC_54988134,0,0,0,0,0,0,0
SC_54988128,0,0,0,0,0,0,0
SC_54988076,0,0,0,0,0,0,0
SC_54984021,0,0,0,0,0,0,0
SC_55439496,0,0,0,0,0,0,0
SC_55439479,0,0,0,0,0,0,0
SC_55439261,0,0,0,0,0,0,0
SC_54991097,1,2,3,0,3,1,7
SC_54985410,1,2,2,0,3,1,6
SC_51858217,1,0,1,0,0,0,1
SC_51858264,0,0,0,0,0,0,0
SC_51603494,0,0,2,0,3,0,4
SC_54984301,0,0,0,0,0,0,0
SC_51604132,0,2,1,0,1,3,3
SC_51531547,0,2,0,0,0,0,2
SC_51531546,0,6,0,0,0,2,6
SC_51531545,0,0,0,0,0,0,0
SC_51531544,1,4,7,1,2,9,12
SC_51603360,1,0,0,1,0,0,2
SC_51975227,0,1,0,0,0,1,1
SC_51975226,0,1,0,0,0,1,1
SC_51531543,1,0,0,1,0,0,2
SC_51604131,0,2,1,0,1,3,3
SC_54984244,0,0,0,0,0,0,0
SC_54984228,0,0,0,0,0,0,0
SC_51531550,0,0,2,0,4,0,5
SC_51858254,0,0,1,0,1,0,2
SC_51858252,0,0,1,0,1,0,2
SC_51603333,0,1,0,0,1,1,2
SC_54984805,0,1,0,4,0,0,4
SC_54984390,0,0,0,0,0,0,0
SC_56394911,0,0,0,0,0,0,0
SC_52029506,0,0,0,0,0,0,0
SC_51858212,0,0,0,0,0,0,0
SC_51603676,0,0,0,1,1,0,1
SC_51603610,0,0,0,1,0,1,1
SC_53235052,0,0,1,0,1,0,2
SC_51531531,0,0,0,1,0,1,1
SC_51858245,0,0,0,0,0,0,0
SC_51531532,0,0,0,1,1,0,1
SC_51858249,0,0,1,0,0,0,1
SC_54984189,0,1,0,0,0,1,1
SC_51531541,0,1,0,0,1,1,2
SC_56305816,0,0,0,0,0,0,0
SC_51531525,0,0,0,0,0,0,0
SC_51603488,0,0,0,0,0,0,0
SC_51531530,0,0,0,0,0,0,0
SC_51600773,0,0,0,0,1,0,1
SC_51531528,0,0,0,0,1,0,1
SC_54543122,0,0,0,0,0,0,0
SC_54543100,0,0,0,0,0,0,0
SC_51858230,0,0,0,0,0,0,0
SC_53635756,0,0,0,0,0,0,0
SC_53635681,0,0,0,0,0,0,0
SC_53635630,0,0,0,0,0,0,0
SC_53635571,0,0,0,0,0,0,0
SC_53635445,0,0,0,0,0,0,0
