id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
SC_51858212,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51603845,0,0,0,0,2,2,0,15,1,2,1,1,3,17
SC_51603676,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51603610,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_53235052,0,0,0,1,0,0,0,2,0,0,0,0,1,3
SC_56799877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57924277,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_56186166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54984918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54984917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54985079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51531531,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51858249,0,0,0,1,0,0,0,2,0,0,0,0,0,3
SC_51858245,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51531524,0,0,0,0,2,2,0,15,1,2,1,1,3,17
SC_57388633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51858274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51858267,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51858233,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51858217,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SC_57911617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51858220,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51858264,0,0,0,0,0,0,0,2,0,0,0,1,0,3
SC_54985065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57923062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57423682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57423676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57383414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51903422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55439634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53368903,0,0,2,0,1,0,0,6,1,0,1,0,2,10
SC_51603420,0,0,1,0,1,0,0,4,0,0,0,0,0,4
SC_51603494,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51858254,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SC_51531550,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51858252,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SC_51603450,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51531552,0,0,1,0,1,0,0,4,0,0,0,0,0,4
SC_51903416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51903410,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51531551,0,0,0,0,0,0,0,4,0,0,0,0,0,4
SC_51858257,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51604563,0,0,2,0,1,0,0,6,1,0,1,0,2,10
SC_54988134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54988128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54988076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57928664,0,0,1,1,1,0,0,9,0,0,0,2,3,14
SC_57928648,0,0,1,1,1,0,0,9,0,0,0,2,3,14
SC_51531553,0,0,2,0,1,0,0,8,1,0,1,0,2,12
SC_54984021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55439496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55439479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55439261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56799547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57423686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57423564,0,0,0,0,2,0,0,0,0,0,0,0,0,2
SC_57423560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51604132,3,0,0,0,3,0,0,8,0,0,0,0,2,11
SC_51531547,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51531546,1,0,0,0,7,0,0,3,0,0,0,1,1,10
SC_51604131,3,0,0,0,3,0,0,8,0,0,0,0,2,11
SC_54984301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51531545,0,0,0,0,1,0,0,3,0,0,0,0,0,3
SC_54984244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54984228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51531544,1,0,2,0,2,0,0,10,5,0,2,1,10,14
SC_51603360,3,0,1,0,1,0,0,3,0,0,1,0,0,5
SC_51975227,2,0,0,0,0,0,0,2,0,0,0,0,2,4
SC_51603333,3,0,0,0,0,0,0,3,0,0,0,0,2,5
SC_57399491,0,0,0,0,12,0,0,0,0,0,0,0,1,12
SC_54984805,0,0,0,0,2,0,0,2,1,0,0,0,0,5
SC_54984390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57387271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54984189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57030657,0,0,0,0,12,0,0,0,0,0,0,0,1,12
SC_51531541,3,0,0,0,0,0,0,3,0,0,0,0,2,5
SC_51975226,2,0,0,0,0,0,0,2,0,0,0,0,2,4
SC_51531543,3,0,1,0,1,0,0,3,0,0,1,0,0,5
SC_56799542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56799535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56394911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52029506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56174705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57926143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57924293,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_57926421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57589213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55531070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54984904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54984821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54984910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54984909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57926399,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_57925359,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_57920630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57416724,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_57387266,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_57387261,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SC_56305816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51603488,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51531530,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_55025257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51600773,0,0,0,0,1,0,0,2,0,0,0,0,0,3
SC_51531528,0,0,0,0,1,0,0,2,0,0,0,0,0,3
SC_54543122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57928912,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_57923005,0,0,0,0,0,0,0,2,1,0,0,0,0,3
SC_51858215,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_51531527,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SC_57423998,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51858227,0,0,0,0,0,0,0,2,1,0,0,0,0,3
SC_51858230,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_54543100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53635681,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_53635630,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_53635571,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_53635445,0,0,0,0,0,0,0,2,0,0,0,0,0,2
