id,climate,energy,environment,resources,sustainability,dedicated
Y00775,0,0,0,0,0,0
Y00776,0,0,0,0,0,0
Y00847,0,0,0,0,0,0
Y00849,0,0,0,0,0,0
Y01081,0,0,0,0,0,0
Y01086,0,0,0,0,0,0
Y01087,0,0,0,0,0,0
Y01092,0,0,0,0,0,0
Y01096,0,0,0,0,0,0
Y01103,0,0,0,0,0,0
Y01123,0,0,0,0,0,0
Y01219,0,0,0,0,0,0
Y01542,0,0,0,0,0,0
Y01545,0,0,0,0,0,0
Y01581,0,0,0,0,0,0
Y02820,0,0,0,0,0,0
Y02830,0,0,0,0,0,0
Y03463,0,0,0,0,0,0
Y03723,0,0,0,0,0,0
Y03724,0,0,0,0,0,0
Y03726,0,0,0,0,0,0
Y04001,0,0,0,0,0,0
Y04176,0,0,0,0,0,0
YB0636,0,0,0,0,0,0
YB0844,0,0,0,0,0,0
YB0880,0,0,0,0,0,0
YB0924,0,0,0,0,0,0
YB0925,0,0,0,0,0,0
YB0997,0,0,0,0,0,0
YB0998,0,0,0,0,0,0
YB0999,0,0,0,0,0,0
YB1000,0,0,0,0,0,0
YB1001,0,0,0,0,0,0
YB1002,0,0,0,0,0,0
YB1004,0,0,0,0,0,0
YB1005,0,0,0,0,0,0
YB1006,0,0,0,0,0,0
YB1012,0,0,0,0,0,0
YB1013,0,0,0,0,0,0
YB1014,0,0,0,0,0,0
YB1026,0,0,0,0,0,0
YB1027,0,0,0,0,0,0
YB1039,0,0,0,0,0,0
YB1056,0,0,0,0,0,0
YB1060,0,0,0,0,0,0
YB1061,0,0,0,0,0,0
YB1062,0,0,0,0,0,0
YB1066,0,0,0,0,0,0
YB1067,0,0,0,0,0,0
YB1068,0,0,0,0,0,0
YB1069,0,0,0,0,0,0
YB1070,0,0,0,0,0,0
YB1071,0,0,0,0,0,0
YB1086,0,0,0,0,0,0
YB1125,0,0,0,0,0,0
YB1127,0,0,0,0,0,0
YB1130,0,0,0,0,0,0
YB1131,0,0,0,0,0,0
YB1133,0,0,0,0,0,0
YB1138,0,0,0,0,0,0
YB1140,0,0,0,0,0,0
YB1141,0,0,0,0,0,0
YB1144,0,0,0,0,0,0
YB1145,0,0,0,0,0,0
YB1146,0,0,0,0,0,0
YB1149,0,0,0,0,0,0
YB1150,0,0,0,0,1,1
YB1151,0,0,0,0,0,0
YB1159,0,0,0,0,0,0
YB1195,0,0,0,0,1,0
YB1196,0,0,1,0,0,0
YB1199,0,0,0,0,0,0
YB1200,0,0,0,0,0,0
YB1202,0,0,0,0,0,0
YB1215,0,0,0,0,0,0
YB1250,0,0,0,0,0,0
YB1254,0,0,0,0,0,0
YB1255,0,0,0,0,0,0
YB1261,0,0,0,0,0,0
YB1265,0,0,0,0,0,0
YB1266,0,0,0,0,0,0
YB1281,0,0,0,0,0,0
YB1284,0,0,0,0,0,0
YB1285,0,0,0,0,0,0
YB1286,0,0,0,0,0,0
YB1290,0,0,0,0,0,0
YB1291,0,0,0,0,0,0
YB1308,0,0,0,0,0,0
YB1313,0,0,0,0,0,0
YB1314,0,0,0,0,0,0
YB1315,0,0,0,0,0,0
YB1316,0,0,0,0,0,0
YB1317,0,0,0,0,0,0
YB1318,0,0,0,0,0,0
YB1319,0,0,0,0,0,0
YB1320,0,0,0,0,0,0
YB1321,0,0,0,0,0,0
YB1322,0,0,0,0,0,0
YB1323,0,0,0,0,0,0
YB1324,0,0,0,0,0,0
YC0378,0,0,0,0,0,0
YC0469,0,0,0,0,0,0
YC0471,0,0,0,0,0,0
YC0474,0,0,0,0,0,0
YC0598,0,0,0,0,0,0
YC0699,0,0,0,0,0,0
YC0719,0,0,0,0,0,0
YC0790,0,0,0,0,0,0
YC0815,0,0,0,0,0,0
YC0833,0,0,0,0,0,0
YC0839,0,0,0,0,0,0
YC0856,0,0,0,0,0,0
YC0857,0,0,0,0,0,0
YC0875,0,0,0,0,0,0
YC0892,0,0,0,0,0,0
YC0893,0,0,0,0,0,0
YC0894,0,0,0,0,0,0
YC0897,0,0,0,0,0,0
YC0900,0,0,0,0,0,0
YC0902,0,0,0,0,0,0
YC0903,0,0,0,0,0,0
YC0916,0,0,0,0,0,0
YC0946,0,0,0,0,0,0
YC0948,0,0,0,0,0,0
YC0949,0,0,0,0,1,0
YC0950,0,0,0,0,0,0
YC0951,0,0,0,0,0,0
YC0952,0,0,0,0,0,0
YC0954,0,0,0,0,0,0
YC0955,0,0,0,0,0,0
YC0962,0,0,0,0,0,0
YC0963,0,0,0,0,0,0
YC0964,0,0,0,0,0,0
YC0965,0,0,0,0,0,0
YC0966,0,0,0,0,0,0
YC0967,0,0,0,0,0,0
YC0968,0,0,0,0,0,0
YC0969,0,0,0,0,0,0
YC0980,0,0,0,0,0,0
YC0981,0,0,0,0,0,0
YC0982,0,0,0,0,0,0
YC0983,0,0,0,0,0,0
YC0984,0,0,0,0,0,0
YC0985,0,0,0,0,0,0
YC0986,0,0,0,0,0,0
YC0987,0,0,0,0,0,0
YC0988,0,0,0,0,0,0
YC0989,0,0,0,0,0,0
YC0991,0,0,0,0,0,0
YC1005,0,0,0,0,0,0
YC1006,0,0,0,0,0,0
YC1008,0,0,0,0,0,0
YC1010,0,0,0,0,0,0
YC1011,0,0,0,0,0,0
YC1012,0,0,0,0,0,0
YC1013,0,0,0,0,0,0
YC1018,0,0,0,0,0,0
YC1019,0,0,0,0,0,0
YC1020,0,0,0,0,0,0
YC1021,0,0,0,0,0,0
YC1022,0,0,0,0,0,0
YC1023,0,0,0,0,0,0
YC1026,0,0,0,0,0,0
YC1030,0,0,0,0,0,0
YC1031,0,0,0,0,0,0
YC1032,0,0,0,0,0,0
YC1046,0,0,0,0,0,0
YC1052,0,0,0,0,0,0
YC1053,0,0,0,0,0,0
YC1054,0,0,0,0,0,0
YC1055,0,0,0,0,0,0
YC1056,0,0,0,0,0,0
YC1057,0,0,0,0,0,0
YC1058,0,0,0,0,0,0
YC1061,0,0,0,0,0,0
YC1062,0,0,0,0,0,0
YC1063,0,0,0,0,0,0
YC1064,0,0,0,0,0,0
YC1065,0,0,0,0,0,0
YC1066,0,0,0,0,0,0
YC1067,0,0,0,0,0,0
YC1100,0,0,0,0,0,0
YC1101,0,0,0,0,0,0
YC1108,0,0,0,0,0,0
YC1109,0,0,0,0,0,0
YC1110,0,0,0,0,0,0
YC1111,0,0,0,0,0,0
YC1112,0,0,0,0,0,0
YC1114,0,0,0,0,0,0
YC1115,0,0,0,0,0,0
YC1116,0,0,0,0,0,0
YC1117,0,0,0,0,0,0
YC1118,0,0,0,0,0,0
YC1119,0,0,0,0,0,0
YC1120,0,0,0,0,0,0
YC1121,0,0,0,0,0,0
YC1122,0,0,0,0,0,0
YC1123,0,0,0,0,0,0
YC1124,0,0,0,0,0,0
YC1125,0,0,0,0,0,0
YC1127,0,0,0,0,0,0
YC1128,0,0,0,0,0,0
YC1129,0,0,0,0,0,0
YC1130,0,0,0,0,0,0
YC1132,0,0,0,0,0,0
YC1133,0,0,0,0,0,0
YC1134,0,0,0,0,0,0
YC1144,0,0,0,0,0,0
YC1145,0,0,0,0,0,0
YC1146,0,0,0,0,0,0
YC1147,0,0,0,0,0,0
YC1148,0,0,0,0,0,0
YC1149,0,0,0,0,0,0
YC1150,0,0,0,0,0,0
YC1151,0,0,0,0,0,0
YC1152,0,0,0,0,0,0
YC1153,0,0,0,0,0,0
YC1154,0,0,0,0,0,0
YC1155,0,0,0,0,0,0
YC1156,0,0,0,0,0,0
YC1157,0,0,0,0,0,0
YC1158,0,0,0,0,0,0
YC1159,0,0,0,0,0,0
YC1160,0,0,0,0,0,0
YC1161,0,0,0,0,0,0
YC1185,0,0,0,0,0,0
YC1208,0,0,0,0,0,0
YC1209,0,0,0,0,0,0
YC1210,0,0,0,0,0,0
YC1211,0,0,0,0,0,0
YC1212,0,0,0,0,0,0
YC1213,0,0,0,0,0,0
YC1214,0,0,0,0,0,0
YC1215,0,0,0,0,0,0
YC1216,0,0,0,0,0,0
YC1217,0,0,0,0,0,0
YD0252,0,0,0,0,0,0
YD0268,0,0,0,0,0,0
YD0292,0,0,0,0,1,0
YD0306,0,0,0,0,1,0
YD0317,0,0,0,0,0,0
YD0318,0,0,0,0,0,0
YD0319,0,0,0,0,0,0
YD0331,0,0,0,0,0,0
YD0339,0,0,0,0,0,0
YE0176,0,0,0,0,0,0
YE0182,0,0,0,0,0,0
YE0274,0,0,0,0,0,0
YE0323,0,0,0,0,0,0
YE0324,0,0,0,0,0,0
YE0325,0,0,0,0,0,0
YE0333,0,0,0,0,0,0
YE0334,0,0,0,0,0,0
YE0335,0,0,0,0,0,0
YE0336,0,0,0,0,0,0
YE0338,0,0,0,0,0,0
YE0339,0,0,0,0,0,0
YE0359,0,0,0,0,0,0
YE0360,0,0,0,0,0,0
YE0361,0,0,0,0,0,0
YE0362,0,0,0,0,0,0
YE0363,0,0,0,0,0,0
YE0364,0,0,0,0,0,0
YE0367,0,0,0,0,0,0
YE0370,0,0,0,0,0,0
YE0374,0,0,0,0,0,0
YE0375,0,0,0,0,0,0
YE0376,0,0,0,0,0,0
YE0377,0,0,0,0,0,0
YE0378,0,0,0,0,0,0
YE0379,0,0,1,0,0,0
YE0380,0,0,0,0,0,0
YE0385,0,0,0,0,0,0
YE0393,0,0,0,0,0,0
YE0394,0,0,0,0,0,0
YE0395,1,0,0,0,0,1
YE0397,0,0,0,0,0,0
YE0398,0,0,0,0,0,0
YE0400,0,0,0,0,0,0
YE0415,0,0,0,0,0,0
YE0416,0,0,0,0,0,0
YE0417,0,0,0,0,0,0
YE0424,0,0,0,0,0,0
YE0425,0,0,0,0,0,0
YE0426,0,0,0,0,0,0
YE0427,0,0,0,0,0,0
YE0428,0,0,0,0,0,0
YE0429,0,0,0,0,0,0
YE0430,0,0,0,0,0,0
YE0431,0,0,0,0,0,0
YE0432,0,0,0,0,0,0
YE0433,0,0,0,0,0,0
YE0434,0,0,0,0,0,0
YE0435,0,0,0,0,0,0
YE0436,0,0,0,0,0,0
YG0852,0,0,0,0,0,0
YO0535,0,0,0,0,0,0
YP0577,0,0,0,0,0,0
YP0597,0,0,0,0,0,0
YP0601,0,0,0,0,0,0
YP0602,0,0,0,0,0,0
YP0604,0,0,0,0,0,0
YP0612,0,0,0,0,0,0
YP0815,0,0,0,0,0,0
YP0820,0,0,0,0,0,0
YP0823,0,0,0,0,0,0
YP0829,0,0,0,0,0,0
YP0840,0,0,0,0,0,0
YP0842,0,0,0,0,0,0
YP0844,0,0,0,0,0,0
YP0845,0,0,0,0,0,0
YP0846,0,0,0,0,0,0
YP0847,0,0,0,0,0,0
YP0851,0,0,0,0,0,0
YP0853,0,0,0,0,0,0
YP0854,0,0,0,0,0,0
YP0864,0,0,0,0,0,0
YP0865,0,0,0,0,0,0
YP0866,0,0,0,0,0,0
YP0871,0,0,0,0,0,0
YP0872,0,0,0,0,0,0
YP0873,0,0,0,0,0,0
YP0874,0,0,0,0,0,0
YP0884,0,0,0,0,0,0
YP0885,0,0,0,0,0,0
