id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
SC_54953108,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_55653089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54954851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54953114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52915415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57853101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56755329,0,0,2,0,0,0,0,0,0,0,0,0,1,2
SC_57835241,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SC_57870442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57870441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51844936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54953112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54953952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54953103,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_57870587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57869887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57869843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51844895,0,0,1,0,1,0,0,4,1,0,0,0,1,6
SC_55034083,0,0,1,0,0,0,0,1,0,0,0,0,1,2
SC_51844890,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SC_51844889,1,0,2,0,3,0,0,0,2,0,0,0,2,7
SC_55549230,0,0,1,0,1,0,0,2,0,0,1,3,1,7
SC_51844888,0,0,1,0,1,0,0,0,1,0,0,1,2,3
SC_57869846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57869833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57870586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54901046,0,0,1,0,0,0,0,0,0,0,0,3,1,4
SC_54953387,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SC_54953378,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SC_55031537,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SC_54954607,0,0,1,0,0,0,0,0,1,0,0,0,1,2
SC_54166787,0,0,0,2,0,0,0,1,0,0,0,0,0,2
SC_56283423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51844941,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SC_57835414,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SC_54544661,1,0,0,0,5,0,0,0,0,0,0,0,0,5
SC_54953374,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SC_54905757,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SC_51998903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57854625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57852737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55551838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57321694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53279509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57848316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55603251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54118547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51844931,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SC_51350282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56145353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56735375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57339616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54557335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53597565,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57578369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52111639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56162312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56162304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53256388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51350277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51350270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51230634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52111975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55614089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54535014,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SC_57854927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57854757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56160817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56157056,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SC_54043974,0,0,1,0,1,0,0,0,0,0,0,0,1,2
SC_54038169,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_54038156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53637220,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SC_53637208,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SC_57846850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52988721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55018756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
