id,decarbonization,energy,consumption,environment,climatology,durability,society
1004FBDFAR,0,0,0,0,0,0,0
2048FBDBMW,0,0,0,0,0,0,0
1001WETCAT,0,0,0,0,0,0,0
2001WETCCW,0,0,0,0,0,0,0
2102TEWSEO,0,0,0,0,0,0,0
1206TEWBDK,0,0,0,0,0,0,0
1054FBDDIE,0,0,0,0,0,0,0
3007IOBLPR,0,0,0,1,0,0,0
2045OIWICT,0,0,0,0,0,0,0
2041OIWMVO,0,0,0,0,0,0,0
2040OIWOWF,0,0,0,0,0,0,0
2020OIWLOW,0,0,0,0,0,0,0
2021OIWISD,0,0,0,0,0,0,0
2001OIWGKN,0,0,0,0,0,0,0
2038OIWMSS,0,0,0,0,0,0,0
2036OIWMOP,0,0,0,0,0,0,0
2002OIWGKL,0,0,0,0,0,0,0
2046OIWVMA,0,0,0,0,0,0,0
2042OIWKZE,0,0,0,0,0,0,0
2035OIWCLO,0,0,0,0,0,0,0
2044OIWIOO,0,0,0,0,0,0,0
2500FSWHRD,0,0,0,0,0,0,0
2003OIWIDP,0,0,0,0,0,0,0
2900FSWMOW,0,0,0,0,0,0,0
2600FSWPOL,0,0,0,0,0,0,0
3011IOBCNF,0,0,0,0,0,0,0
3008IOBDIS,0,0,0,0,0,0,0
3001IOBRM2,0,0,0,1,0,0,0
3010IOBGOV,0,0,0,0,0,0,0
3001IOBTOD,0,0,0,1,0,0,0
3001IOBRM1,0,0,0,0,0,0,0
1035FBDDIE,0,0,0,0,0,0,0
1052FBDDIE,0,0,0,0,0,0,0
1049FBDDIE,0,0,0,0,0,0,0
1033FBDDIE,0,0,0,0,0,0,0
1044FBDDIE,0,0,0,1,0,0,0
1047FBDDIE,0,0,0,0,0,0,0
1040FBDDIE,0,0,0,0,0,0,0
1059FBDDIE,0,0,0,0,0,0,0
1060FBDDIE,0,0,0,0,0,0,0
1062FBDDIE,0,0,0,0,0,0,0
1051FBDDIE,0,0,0,0,0,0,0
1053FBDDIE,0,0,0,0,0,0,0
1042FBDDIE,0,0,0,0,0,0,0
1050FBDDIE,0,0,0,0,0,0,0
1048FBDDIE,0,0,0,0,0,0,0
1046FBDDIE,0,0,0,0,0,0,0
1045FBDDIE,0,0,0,0,0,0,0
1061FBDDIE,0,0,0,0,0,0,0
1020FBDDIE,0,0,0,0,0,0,0
1063FBDDIE,0,0,0,0,0,0,0
1038FBDDIE,0,0,0,0,0,0,0
1055FBDDIE,0,0,0,0,0,0,0
1007FBDDIE,0,0,0,0,0,0,0
1022FBDDIE,0,0,0,0,0,0,0
1041FBDDIE,0,0,0,0,0,0,0
1043FBDDIE,0,0,0,0,0,0,0
1025FBDDIE,0,0,0,0,0,0,0
1056FBDDIE,0,0,0,0,0,0,0
1057FBDDIE,0,0,0,0,0,0,0
1032FBDDIE,0,0,0,0,0,0,0
1058FBDDIE,0,0,0,1,0,0,0
2300PSWCCS,0,0,0,0,0,0,0
2400PSWBKU,0,0,0,0,0,0,0
2300PSWTHP,0,0,0,0,0,0,0
2301FSWLBS,0,0,0,0,0,0,0
2300PSWMVA,0,0,0,0,0,0,0
2300PSWARB,0,0,0,0,0,0,0
2301FSWLFD,0,0,0,0,0,0,0
2301FSWGUO,0,0,0,1,0,0,0
2300PSWUON,0,0,0,0,0,0,0
2300PSWZWE,0,0,0,0,0,0,0
2700FSWCAN,0,0,0,0,0,0,0
2300PSWKES,0,0,0,0,0,0,0
2300PSWBGI,0,0,0,0,0,0,0
2301FSWGRM,0,0,0,0,0,0,0
2300PSWRMS,0,0,0,0,0,0,0
2700PSWSOC,0,0,0,0,0,0,0
2301FSWGZW,0,0,0,0,0,0,0
2400PSWCKR,0,0,0,0,0,0,0
2900PSWSOC,0,0,0,0,0,0,0
