id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
1000ASEADR,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEARC,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEBIO,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASECHE,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASECUW,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEDIV,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEDUI,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEECO,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEENG,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEENT,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEFAR,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEFRA,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEFYS,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEGES,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEGWE,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEINF,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEKLO,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEMEW,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEMIJ,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASENED,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASENNT,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEONT,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEPAV,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEPOW,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEPPW,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEREC,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASESPA,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEVWE,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEWIJ,0,0,0,0,0,0,0,0,0,0,0,0,0
1000ASEWIS,0,0,0,0,0,0,0,0,0,0,0,0,0
1000FSWFIL,0,0,0,0,0,0,0,0,0,0,0,0,0
1000FSWSPF,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWECO,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWENG,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWFRA,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWINR,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWPSY,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWPUB,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWS1A,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWSPG,0,0,0,0,0,0,0,0,0,0,0,0,0
1000PSWST2,0,0,0,0,0,0,0,0,0,0,0,0,0
1000RECECO,0,0,0,0,0,0,0,0,0,0,0,0,0
1000RECGPR,0,0,0,0,0,0,0,0,0,0,0,0,0
1000RECPIG,0,0,0,0,0,0,0,0,0,0,0,0,0
1000RECPOL,0,0,0,0,0,0,0,0,0,0,0,0,0
1000RECPSY,0,0,0,0,0,0,0,0,0,0,0,0,0
1000RECSOC,0,0,0,0,0,0,0,0,0,0,0,0,0
1000WETAAR,0,0,0,0,0,0,0,0,0,0,0,0,0
1000WETCOB,0,0,1,0,0,0,0,0,0,0,0,0,0
1000WETDDS,0,0,0,0,0,0,0,0,0,0,0,0,0
