id,climate,energy,environment,durability,total
economic-policy,0,1,0,0,1
bachelor-diergeneeskunde-bac,1,0,0,1,1
master-development-evaluation-master,2,0,1,0,2
master-software-engineering-master,0,0,0,0,0
master-data-science-master,0,0,0,0,0
master-chemistry-master,1,2,2,0,4
manama-ziekenhuishygiene,0,1,0,0,1
manama-ziekenhuisfarmacie,0,0,0,0,0
wijsbegeerte-studeren-master,0,0,0,0,0
wetenschappen-en-technologie-bac,0,0,0,0,0
think-water,2,0,0,0,2
veiligheidswetenschappen-master,0,0,1,0,1
verpleegkundige-huisartspraktijk,0,0,0,0,0
manama-verzekeringsgeneeskunde,0,0,0,0,0
wijsbegeerte-studeren-bac,4,1,0,3,4
wiskunde-studeren-bac,1,0,0,1,1
tew-economisch-beleid-master,0,1,0,0,1
tew-bedrijfskunde-master,0,0,1,0,1
theater-en-filmwetenschap-master,0,0,0,0,0
tew-bedrijfskunde-bac,3,1,0,3,3
tew-economisch-beleid-bac,4,1,0,3,4
sociologie-studeren-master,0,0,0,0,0
sociologie-studeren-bac,4,1,0,4,5
sociaal-economische-wetenschappen-master,1,0,1,1,1
pavo-schoolbeleid,0,0,0,0,0
systeemtheoretische-psychotherapie,0,0,0,0,0
pavo-leerlingbegeleiding-secundair,0,0,0,0,0
master-sociaal-werk-master,0,0,0,0,0
master-stedenbouw-master,2,0,2,3,5
revalidatie-en-kinesitherapie-bac,1,0,0,1,1
sociaal-economische-wetenschappen-bac,4,1,0,3,4
pavo-rampenmanagement,0,0,0,0,0
pavo-radioprotectie,0,0,0,0,0
ma-rehabilitation-physio-neuro,0,0,0,0,0
ma-rehabilitation-physio-internal,0,0,0,0,0
master-fiscaal-recht-master,0,0,0,0,0
master-rechten-master,5,1,1,4,8
bachelor-rechten-bac,2,0,0,2,2
productontwikkeling-studeren-master,1,0,0,0,1
pavo-psychotherapie-volwassenen,0,0,0,0,0
productontwikkeling-studeren-bac,1,0,0,1,1
pavo-psychotherapie-jeugd-optie-2,0,0,0,0,0
pavo-psychotherapie-jeugd-optie-1,0,0,0,0,0
pavo-preventieadviseur-1,0,0,0,0,0
politieke-communicatie-master,1,0,0,0,1
master-political-science-master,1,0,0,0,1
politieke-wetenschappen-bac,4,1,0,3,4
master-of-physics-master,0,0,0,0,0
pavo-ondernemerschap,0,0,0,0,0
organisatie-en-management-studeren-master,0,0,0,0,0
master-onderwijswetenschappen-master,0,0,0,0,0
pavo-milieu-gezondheidswetenschappen,1,0,1,1,1
meertalige-communicatie-studeren-master,0,0,0,0,0
master-milieuwetenschap-master,4,1,12,5,14
maritiem-en-logistiek-management-master,0,0,1,0,1
pavo-leerzorg-secundair-onderwijs,0,0,0,0,0
master-of-laws-master,2,0,0,2,4
pavo-klinisch-wetenschap-onderzoek,0,0,0,0,0
manama-klinische-biologie,0,0,0,0,0
manama-jeugdgezondheidszorg,0,0,0,0,0
manama-industriele-farmacie,0,0,0,0,0
master-internationale-betrekkingen-master,1,0,2,1,2
master-interieurarchitectuur-master,1,0,0,1,1
informatica-studeren-bac,1,0,0,1,1
ingenieur-elektronica-ict-master,0,0,0,0,0
ingenieur-elektronica-ict-bac,1,0,0,1,1
ingenieur-elektromechanica-master,0,1,0,0,1
ingenieur-bouwkunde-master,0,0,0,1,1
ingenieur-bouwkunde-bac,1,1,0,1,2
ingenieur-elektromechanica-bac,2,1,0,2,3
bachelor-interieurarchitectuur-bac,1,1,0,1,2
handelsingenieur-beleidsinformatica-master,0,0,0,0,0
handelsingenieur-worden-bac,4,1,0,3,4
pavo-gezondheidsrecht,0,0,0,0,0
handelsingenieur-beleidsinformatica-bac,4,1,0,3,4
master-geneesmiddelenontw-biofarma-master,0,0,0,0,0
master-geneesmiddelenontw-apotheker-master,0,0,0,0,0
geschiedenis-studeren-master,0,0,0,0,0
geschiedenis-studeren-bac,5,1,0,4,5
geneeskunde-master,0,0,0,0,0
geneeskunde-bac,1,0,0,1,1
master-governance-development-master,1,0,0,0,1
master-globalisation-development-master,2,0,1,0,2
manama-fiscaal-recht,0,0,0,0,0
master-filmstudies-visuele-cultuur-master,0,0,0,0,0
master-farmaceutische-zorg-master,0,0,0,0,0
fysica-studeren-master,0,0,0,0,0
bachelor-farmaceutische-wetenschap-bac,1,0,1,2,3
fysica-studeren-bac,3,1,1,2,4
postgraduate-energy-climate,4,4,0,0,5
master-erfgoedstudies-master,2,0,0,2,3
epidemiology,0,0,0,0,0
epidemiologie-master,0,0,0,0,0
pavo-dutch-foreign-language,0,0,0,0,0
