id,climate,energy,environment,resources,sustainability,dedicated,total
master-erfgoedstudies,1,0,2,0,2,1,4
epidemiology,1,0,1,0,0,1,2
master-epidemiologie,1,0,1,0,0,1,2
master-economie,0,0,0,0,0,0,0
pavo-dutch-foreign-language,0,0,0,0,0,0,0
pavo-nederlands-anderstaligen,0,0,0,0,0,0,0
manama-ziekenhuishygiene,0,1,1,0,1,0,1
manama-ziekenhuisfarmacie,0,0,1,0,0,0,1
bachelor-wiskunde-studeren,3,1,2,0,3,2,4
master-wijsbegeerte-studeren,0,0,0,0,0,0,0
bachelor-wijsbegeerte-studeren,2,1,2,0,3,2,3
think-water,2,0,6,2,6,1,10
master-veiligheidswetenschappen,0,0,3,0,1,0,3
verpleegkundige-huisartspraktijk,0,0,0,0,0,0,0
manama-verzekeringsgeneeskunde,0,0,0,0,0,0,0
master-tew-economisch-beleid,0,0,0,0,0,0,0
master-tew-bedrijfskunde,3,0,10,0,6,1,12
master-theater-en-filmwetenschap,0,0,0,0,0,0,0
master-stedenbouw,1,1,5,0,4,3,6
bachelor-tew-bedrijfskunde,2,1,3,0,3,2,4
master-sociologie-studeren,0,0,2,0,0,1,2
bachelor-sociologie-studeren,3,1,4,0,4,3,5
bachelor-tew-economisch-beleid,3,1,2,0,3,2,4
master-sociaal-economische-wetenschappen,0,0,1,0,1,1,1
pavo-schoolbeleid,0,1,0,0,0,0,1
systeemtheoretische-psychotherapie,0,0,0,0,0,0,0
pavo-leerlingbegeleiding-secundair,0,0,0,0,0,0,0
master-sociaal-werk,0,0,1,0,0,1,1
bachelor-revalidatie-en-kinesitherapie,2,2,2,0,3,2,4
bachelor-sociaal-economische-wetenschappen,3,1,3,0,3,2,5
pavo-rampenmanagement,0,0,0,0,0,0,0
pavo-radioprotectie,0,0,0,0,0,0,0
master-fiscaal-recht,0,0,0,0,0,0,0
master-rechten,2,0,1,1,5,3,8
bachelor-rechten,2,0,0,0,1,1,2
master-productontwikkeling-studeren,0,0,3,0,4,0,4
pavo-psychotherapie-volwassenen,0,0,0,0,0,0,0
pavo-psychotherapie-jeugd-optie-2,0,0,0,0,0,0,0
bachelor-productontwikkeling-studeren,2,1,4,1,4,2,5
pavo-psychotherapie-jeugd-optie-1,0,0,0,0,0,0,0
pavo-preventieadviseur-1,0,0,0,0,0,0,0
master-politieke-communicatie,1,0,0,0,0,0,1
master-political-science,1,0,2,0,0,1,3
bachelor-politieke-wetenschappen,3,1,3,0,4,3,4
master-of-physics,0,2,0,0,0,0,2
pavo-ondernemerschap,0,0,0,0,0,0,0
master-organisatie-en-management-studeren,0,0,5,0,3,0,5
master-onderwijswetenschappen,1,1,2,0,2,2,2
master-meertalige-communicatie-studeren,0,0,2,0,1,0,2
master-milieuwetenschap,3,1,15,2,10,11,20
master-maritiem-en-logistiek-management,1,0,4,0,2,0,5
master-of-laws,2,0,0,1,5,2,7
pavo-klinisch-wetenschap-onderzoek,0,0,0,0,0,0,0
manama-klinische-biologie,0,0,0,0,1,0,1
manama-jeugdgezondheidszorg,0,0,0,0,0,0,0
manama-industriele-farmacie,0,0,0,0,0,0,0
master-internationale-betrekkingen,1,0,1,0,0,1,2
master-interieurarchitectuur,0,0,0,0,2,0,2
bachelor-informatica-studeren,3,1,2,0,3,2,4
master-ingenieur-elektronica-ict,0,0,0,0,0,0,0
bachelor-ingenieur-elektronica-ict,2,2,5,0,7,2,9
master-ingenieur-elektromechanica,0,2,0,0,0,2,2
bachelor-ingenieur-elektromechanica,3,4,5,1,7,4,12
master-ingenieur-bouwkunde,0,0,1,2,1,0,3
bachelor-ingenieur-bouwkunde,2,3,6,1,8,3,11
bachelor-interieurarchitectuur,2,2,4,0,5,2,6
master-handelsingenieur-beleidsinformatica,2,0,7,0,5,0,8
pavo-gezondheidsrecht,0,0,0,0,0,0,0
bachelor-handelsingenieur-worden,2,2,2,0,3,2,4
bachelor-handelsingenieur-beleidsinformatica,2,1,2,0,3,2,3
master-geneesmiddelenontw-biofarma,0,0,0,0,0,0,0
master-geneesmiddelenontw-apotheker,0,0,0,0,0,0,0
bachelor-geschiedenis-studeren,3,1,3,0,4,3,4
master-geneeskunde,0,0,0,0,0,0,0
bachelor-geneeskunde,2,1,2,0,3,2,3
master-governance-development,1,0,1,0,1,0,1
master-globalisation-development,2,0,2,1,2,0,2
manama-fiscaal-recht,0,0,0,0,0,0,0
master-filmstudies-visuele-cultuur,0,0,0,0,0,0,0
master-farmaceutische-zorg,0,0,0,0,0,0,0
master-fysica-studeren,0,2,1,0,0,0,3
bachelor-farmaceutische-wetenschap,2,1,3,0,3,2,4
bachelor-fysica-studeren,2,2,3,0,3,3,5
postgraduate-energy-climate,4,4,0,0,2,5,5
master-cultuurmanagement-studeren,0,0,0,0,0,0,0
master-neurosciences-research,0,0,1,0,0,0,1
master-infectious-diseases-research,0,0,2,0,0,1,2
master-global-change-biology,11,1,15,0,1,7,21
bachelor-chemie-studeren,2,2,4,0,3,3,6
bachelor-communicatiewetenschappen-studeren,2,1,3,0,3,2,4
master-biology,7,0,13,0,1,4,14
master-biochemie-biotechnologie,0,0,1,0,0,0,1
business-economics,0,0,1,0,0,0,1
bachelor-bio-ingenieur-worden,4,4,11,2,4,6,15
bachelor-biochemie,2,1,3,0,3,2,4
postgraduate-algology,0,0,0,0,0,0,0
bachelor-biologie-studeren,5,1,8,0,4,6,11
bachelor-biomedische-wetenschappen,2,1,3,0,3,2,4
china-eu-cultural-curatorship,0,0,0,0,0,0,0
