id,climate,energy,environment,resources,sustainability,dedicated,total
pavo-aansprakelijkheidsrecht,0,0,0,0,0,0,0
master-erfgoedstudies,3,0,2,1,4,1,6
epidemiology,1,0,0,0,0,1,1
master-epidemiologie,1,0,0,0,0,1,1
postgraduate-energy-climate,3,4,0,0,3,5,5
master-electronics-and-ict-technology,0,0,0,0,0,0,0
master-economie,0,0,0,0,0,0,0
manama-ziekenhuishygiene,0,1,0,0,1,0,1
manama-ziekenhuisfarmacie,0,0,1,0,0,0,1
bachelor-wiskunde-studeren,5,1,1,0,4,2,6
master-wijsbegeerte-studeren,0,0,0,0,0,0,0
bachelor-wijsbegeerte-studeren,4,1,1,0,4,2,5
think-water,2,0,6,1,5,1,9
manama-verzekeringsgeneeskunde,0,0,0,0,0,0,0
verpleegkundige-huisartspraktijk,0,0,0,0,0,0,0
master-veiligheidswetenschappen,0,0,2,0,1,0,2
master-tew-economisch-beleid,0,0,0,0,0,0,0
master-tew-bedrijfskunde,2,0,7,0,6,1,10
master-theater-en-filmwetenschap,0,0,0,0,0,0,0
bachelor-tew-bedrijfskunde,4,1,2,0,4,2,6
bachelor-tew-economisch-beleid,5,1,1,0,4,2,6
systeemtheoretische-psychotherapie,0,0,0,0,0,0,0
master-stedenbouw,1,1,4,0,5,3,6
master-sociologie-studeren,1,0,3,0,0,2,3
pavo-leerlingbegeleiding-secundair,0,0,0,0,0,0,0
social-economic-sciences,3,1,1,0,2,0,5
master-sociaal-economische-wetenschappen,0,0,1,0,1,1,1
master-sociaal-werk,0,0,1,0,0,1,1
bachelor-sociaal-economische-wetenschappen,5,1,1,0,4,2,6
bachelor-sociologie-studeren,5,1,2,0,5,3,6
pavo-schoolbeleid,0,1,0,0,0,0,1
pavo-rampenmanagement,0,0,0,0,0,0,0
pavo-radioprotectie,0,0,0,0,0,0,0
bachelor-rechten-studeren,5,1,1,1,4,3,6
bachelor-revalidatie-en-kinesitherapie,4,2,1,0,4,2,6
pavo-psychotherapie-volwassenen,0,0,0,0,0,0,0
pavo-psychotherapie-jeugd-optie-1,0,0,0,0,0,0,0
master-productontwikkeling-studeren,1,1,4,0,6,0,7
pavo-preventieadviseur-1,0,0,0,0,0,0,0
bachelor-productontwikkeling-studeren,4,1,3,1,5,2,7
master-politieke-communicatie,1,0,0,0,0,0,1
master-political-science,2,0,2,0,0,1,3
master-of-physics,0,0,0,0,0,0,0
