id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
pavo-aansprakelijkheidsrecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postgraduate-energy-climate,0,0,3,0,4,0,0,0,0,0,0,1,5,5
master-electronics-and-ict-technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0
educatieve-master,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pavo-dutch-foreign-language,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digitale-tekstanalyse,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digital-text-analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-ziekenhuishygiene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-ziekenhuisfarmacie,0,0,0,0,0,0,0,0,1,0,0,0,0,1
master-wijsbegeerte-studeren,0,0,1,0,0,0,0,1,0,0,0,0,0,1
bachelor-wijsbegeerte-studeren,0,0,4,0,2,1,0,6,0,0,0,0,2,8
think-water,1,0,2,0,0,0,0,6,7,0,4,0,1,11
manama-verzekeringsgeneeskunde,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verpleegkundige-huisartspraktijk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-wiskunde-studeren-financiele-en-toegepaste-wiskunde,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-wiskunde-studeren-fundamentele-wiskunde,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelor-wiskunde-studeren,0,0,5,0,2,1,0,4,0,0,0,0,2,7
master-verpleegkunde-vroedkunde-vroedvrouw-specialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-verpleegkunde-vroedkunde-verpleegkundig-speci,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-verpleegkunde-vroedkunde-onderzoeker-in-gezon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-verpleegkunde-vroedkunde-leiderschap-in-gezon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelor-toegepaste-taalkunde-studeren-frans-spaans,1,0,4,0,2,1,0,5,0,0,0,0,2,8
bachelor-toegepaste-taalkunde-studeren-frans-italiaans,1,0,4,0,2,1,0,5,0,0,0,0,2,8
bachelor-toegepaste-taalkunde-studeren-frans-chinees,1,0,4,0,2,1,0,5,0,0,0,0,2,8
master-veiligheidswetenschappen,0,0,0,1,1,0,0,2,0,0,0,0,0,2
bachelor-toegepaste-taalkunde-studeren-engels-spaans,0,0,4,0,2,1,0,5,0,0,0,0,2,7
bachelor-toegepaste-taalkunde-studeren-engels-italiaans,0,0,4,0,2,1,0,5,0,0,0,0,2,7
master-tew-economisch-beleid,0,0,2,0,0,0,0,6,0,1,0,0,2,6
bachelor-tew-economisch-beleid,0,0,5,0,2,1,0,4,0,0,0,0,2,7
bachelor-toegepaste-taalkunde-studeren-engels-frans,1,0,4,0,2,1,0,5,0,0,0,0,2,8
bachelor-toegepaste-taalkunde-studeren-engels-chinees,0,0,4,0,2,1,0,5,0,0,0,0,2,7
bachelor-toegepaste-taalkunde-studeren-duits-spaans,0,0,4,0,2,1,0,5,0,0,0,0,2,7
bachelor-toegepaste-taalkunde-studeren-duits-italiaans,0,0,4,0,2,1,0,5,0,0,0,0,2,7
master-tew-bedrijfskunde,0,0,2,1,2,0,0,6,0,1,1,0,3,8
bachelor-tew-bedrijfskunde,0,0,4,0,2,1,0,4,0,0,0,0,2,6
bachelor-toegepaste-taalkunde-studeren-duits-frans,1,0,4,0,2,1,0,5,0,0,0,0,2,8
bachelor-toegepaste-taalkunde-studeren-duits-engels,0,0,4,0,2,1,0,5,0,0,0,0,2,7
bachelor-toegepaste-taalkunde-studeren-duits-chinees,0,0,4,0,2,1,0,5,0,0,0,0,2,7
master-theater-en-filmwetenschap,0,0,0,0,0,0,0,1,0,0,0,0,0,1
systeemtheoretische-psychotherapie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-stedenbouw,1,0,1,0,1,1,0,7,1,0,0,1,3,9
master-sociologie-studeren,1,0,1,0,0,0,0,2,1,0,0,0,1,2
social-economic-sciences,0,0,4,0,0,1,0,3,1,0,0,0,0,5
master-sociaal-economische-wetenschappen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-sociaal-werk,1,0,0,0,0,0,0,1,1,0,0,0,1,1
manama-specialistische-geneeskunde-urologie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-urgentiegeneeskunde,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-stomatologie-en-mond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-rontgendiagnose,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bachelor-sociaal-economische-wetenschappen,0,0,7,0,2,1,0,5,0,0,0,0,2,9
manama-specialistische-geneeskunde-reumatologie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-taalkunde-letterkunde-studeren-algemene-taalwetenschap-spaans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-taalkunde-letterkunde-studeren-algemene-literatuurwetenschap-spaans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-taalkunde-letterkunde-studeren-een-taal-spaans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-taalkunde-letterkunde-studeren-een-taal-nederlands,0,0,1,0,0,0,0,0,0,0,0,0,0,1
master-taalkunde-letterkunde-studeren-een-taal-frans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-taalkunde-letterkunde-studeren-een-taal-engels,0,0,0,0,0,0,0,1,0,0,0,0,0,1
master-taalkunde-letterkunde-studeren-een-taal-duits,0,0,0,0,0,0,0,1,0,0,0,0,0,1
master-taalkunde-letterkunde-studeren-algemene-literatuurwetenschap-nederlands,0,0,1,0,0,0,0,0,0,0,0,0,0,1
master-taalkunde-letterkunde-studeren-algemene-literatuurwetenschap-frans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-taalkunde-letterkunde-studeren-algemene-literatuurwetenschap-engels,0,0,0,0,0,0,0,1,0,0,0,0,0,1
master-taalkunde-letterkunde-studeren-algemene-literatuurwetenschap-duits,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-taalkunde-letterkunde-studeren-algemene-taalwetenschap-nederlands,0,0,1,0,0,0,0,0,0,0,0,0,0,1
master-taalkunde-letterkunde-studeren-algemene-taalwetenschap-frans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
master-taalkunde-letterkunde-studeren-algemene-taalwetenschap-engels,0,0,0,0,0,0,0,1,0,0,0,0,0,1
master-taalkunde-letterkunde-studeren-algemene-taalwetenschap-duits,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-radiotherapie-oncolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-psychiatrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-kinder-en-jeugdpsychiatrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-pneumologie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-plastische-reconstructieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-pediatrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-pathologische-anatom,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manama-specialistische-geneeskunde-otorhinolaryngologie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
