id,decarbonization,energy,consumption,environment,climatology,durability,society
ACTU2M,0,0,0,0,0,0,0
ADPM2M,0,0,0,0,0,0,0
ADPU2M,0,0,0,0,1,1,0
AIGU2MC,0,0,0,0,0,0,0
ANAP2MC,0,0,0,0,0,0,0
ANES2MC,0,0,0,0,0,0,0
ANTR2M,0,0,0,0,0,0,0
APHM2M,0,0,0,0,0,0,0
APPBIOL,0,0,0,4,2,1,0
APPCHIM,0,0,0,0,1,0,0
APPCOMU,0,0,0,0,0,0,0
APPDRT,0,0,0,0,0,0,0
APPECON,0,0,0,0,0,0,0
APPEDPH,0,0,0,0,0,0,0
APPFARM,0,0,0,0,0,0,0
APPFARR,0,0,0,0,0,0,0
APPGEOG,0,0,0,2,3,1,0
APPGEST,0,0,0,0,0,0,0
APPHYS,0,1,0,0,1,0,0
APPMATH,0,0,0,0,0,0,0
APPMONDE,0,0,0,0,0,0,0
APPSBIM,0,0,0,0,0,0,0
APPSINF,0,0,0,0,0,0,0
APPSTAT,0,0,0,0,0,0,0
APPSTIC,0,0,0,0,0,0,0
APPTHEO,0,0,0,0,0,0,0
ARCB1BA,0,2,0,0,1,1,1
ARCB2M,0,1,0,1,3,2,0
ARCH1BA,0,0,0,0,0,2,0
ARCH2M,0,0,0,0,1,3,0
ARCT1BA,0,3,0,1,1,2,1
ARCT2M,0,1,0,1,1,0,0
ARKE1BA,0,0,0,0,0,0,0
ARKE2A,0,0,0,0,0,0,0
ARKE2M,0,0,0,0,0,0,0
ARKE2M1,0,0,0,0,0,0,0
ASSO2A,0,0,0,0,0,0,0
BBMC2M,0,0,0,0,0,0,0
BCMM2MC,0,0,0,0,0,0,0
BICL2MC,0,0,0,0,0,0,0
BIOL1BA,0,0,0,4,2,1,0
BIOL2A,0,0,0,0,0,0,0
BIOL2M1,0,0,0,0,0,1,0
BIR1BA,0,4,0,3,6,2,0
BIRA2M,0,2,1,3,3,6,0
BIRC2M,0,3,0,1,4,4,0
BIRE2M,0,3,1,4,2,3,0
BIRF2M,0,0,0,3,2,2,0
BOE2M,0,0,0,0,1,0,0
BRAS2MC,0,0,0,0,0,0,0
BSTA2M,0,0,0,0,0,1,0
CAPA2CE,0,0,0,0,0,0,0
CARD2MC,0,0,0,0,0,0,0
CHG2MC,0,0,0,0,0,0,0
CHIM1BA,0,1,0,1,2,1,0
CHIM2A,0,0,0,0,0,0,0
CHIM2M,0,0,0,0,0,0,0
CHIM2M1,0,0,0,0,0,1,0
CHPL2MC,0,0,0,0,0,0,0
CLAS1BA,0,0,0,0,0,0,0
CLAS2M,0,0,0,0,0,0,0
CLAS2M1,0,0,0,0,0,0,0
CLIM2M,0,1,0,3,6,2,0
COHM2M,0,0,0,0,0,0,0
COIN9CE,0,0,0,0,0,0,0
COMM1BA,0,0,0,1,0,0,0
COMM2A,0,0,0,0,0,0,0
COMM2M,0,0,0,0,0,0,0
COMM2M1,0,0,0,0,0,0,0
COMU1BA,0,0,0,0,0,0,0
COMU2A,0,0,0,0,0,0,0
COMU2M1,0,0,0,1,0,0,0
CORP2M,0,0,0,0,0,0,0
CPI2MC,0,0,0,0,0,0,0
CRIM2M,0,0,0,0,0,0,0
DATE2M,0,0,0,0,1,0,0
DATI2M,0,0,0,0,1,0,0
DATS2M,0,0,0,0,0,0,0
DEGE2MC,0,0,0,0,0,0,0
DENT1BA,0,0,0,0,0,0,0
DENT2M,0,0,0,0,0,0,0
DEPE9CE,0,0,0,0,0,0,0
DEPR9CE,0,0,0,0,0,0,0
DERM2MC,0,0,0,0,0,0,0
DETR9CE,0,0,0,0,0,0,0
DREU2MC,0,0,0,0,0,1,0
DRHD2M,0,0,0,0,0,0,0
DRIN2MC,0,0,0,0,0,0,0
DROI1BA,0,0,0,0,0,0,0
DROI2M,0,0,0,0,0,0,0
DVLP2MC,0,0,0,0,0,1,0
EBEP2MC,0,0,0,0,0,0,0
EBIB2M,0,0,0,0,0,0,0
EBIB9CE,0,0,0,0,0,0,0
ECGE1BA,0,0,0,0,0,0,0
ECGE2A,0,0,0,0,0,0,0
ECON2M,0,0,0,0,0,0,0
ECON2M1,0,0,0,0,0,0,0
ECON2MC,0,0,0,0,0,0,0
ECSO2MC,0,0,0,1,0,0,0
EDPH1BA,0,0,0,0,0,0,0
EDPH2A,0,0,0,0,0,0,0
EDPH2M,0,0,0,0,0,0,0
EDUC2MC,0,0,0,0,0,0,0
EJL2M,0,0,0,0,0,0,0
ELAT9CE,0,0,0,0,0,0,0
