id,climate,energy,environment,durability
EECON2253,0,0,0,0
EECSO2501,0,0,0,0
EECSO2502,0,0,0,0
EECSO2503,0,0,0,0
EECSO2504,0,0,0,0
EGEST3019,0,0,0,0
EGLOR2507,0,0,0,0
EHELH2300,0,0,0,0
EKUL2803,0,0,0,0
EKUL2808,0,0,0,0
ENANO2401,0,0,0,0
ENANO2402,0,0,0,0
ENANO2403,0,0,0,0
ENANO2404,0,0,0,0
ENANO2405,0,0,0,0
ENANO2406,0,0,0,0
ENANO2407,0,0,0,0
ENANO2408,0,0,0,0
ENANO2409,0,0,0,0
ENANO2410,0,0,0,0
ENANO2411,0,0,0,0
ENANO2412,0,0,0,0
ENANO2413,0,0,0,0
ENANO2414,0,0,0,0
ENANO2415,0,0,0,0
ENANO2416,0,0,0,0
ENANO2417,0,0,0,0
ENANO2418,0,0,0,0
ENANO2419,0,0,0,0
ENANO2420,0,0,0,0
ENANO2501,0,0,0,0
ENANO2502,0,0,0,0
ENANO2503,0,0,0,0
ENANO2504,0,0,0,0
ENANO2505,0,0,0,0
ENANO2506,0,0,0,0
ENANO2507,0,0,0,0
ENANO2601,0,0,0,0
ENANO2602,0,0,0,0
ENANO2603,0,0,0,0
ENANO2604,0,0,0,0
ENANO2605,0,0,0,0
ENANO2606,0,0,0,0
ENANO2607,0,0,0,0
ENANO2608,0,0,0,0
ENANO2609,0,0,0,0
ENANO2610,0,0,0,0
ENANO2611,0,0,0,0
ENANO2612,0,0,0,0
ENANO2701,0,0,0,0
ENANO2702,0,0,0,0
ENANO2703,0,0,0,0
ENANO2704,0,0,0,0
ENANO2705,0,0,0,0
ENANO2706,0,0,0,0
ENANO2707,0,0,0,0
ENANO2801,0,0,0,0
ENANO2802,0,0,0,0
ENANO2803,0,0,0,0
ENANO2804,0,0,0,0
ENANO2805,0,0,0,0
ENANO2806,0,0,0,0
ENANO2807,0,0,0,0
ENANO2808,0,0,0,0
ENANO2809,0,0,0,0
ENANO2810,0,0,0,0
ENANO2811,0,0,0,0
ENANO2812,0,0,0,0
ENANO2813,0,0,0,0
ENANO2814,0,0,0,0
ENANO2815,0,0,0,0
ENANO2816,0,0,0,0
ENANO2817,0,0,0,0
ESBM2113,0,0,0,0
ESBOE2108,0,0,0,0
ESPS2203,0,0,0,0
ESSPS2101,0,0,0,0
ETHEA2340,0,0,0,0
EUANT2807,0,0,0,0
EUGEN2801,0,0,0,0
EUGEN2805,0,0,0,0
EUHAS2806,0,0,0,0
EULB2300,0,0,0,0
EULB2301,0,0,0,0
EULB2302,0,0,0,0
EULB2303,0,0,0,0
EULB2304,0,0,0,0
EULB2305,0,0,0,0
EULB2306,0,0,0,0
EULB2307,0,0,0,0
EULB2308,0,0,0,0
EULB2309,0,0,0,0
EULB2311,0,0,0,0
EULB2312,0,0,0,0
EULB2313,0,0,0,0
EULB2314,0,0,0,0
EULB2315,0,0,0,0
EULB2316,0,0,0,0
EULB2317,0,0,0,0
EULB2318,0,0,0,0
EULB2319,0,0,0,0
EULB2320,0,0,0,0
EULB2321,0,0,0,0
EULG2400,0,0,0,0
EULG2401,0,0,0,0
EULG2402,0,0,0,0
EULG2403,0,0,0,0
EULG2404,0,0,0,0
EULG2405,0,0,0,0
EULG2406,0,0,0,0
EULG2407,0,0,0,0
EULG2408,0,0,0,0
EULG2409,0,0,0,0
EULG2410,0,0,0,0
EULG2411,0,0,0,0
EULG2412,0,0,0,0
EULG2413,0,0,0,0
EUMON2700,0,0,0,0
EUMON2701,0,0,0,0
EUMON2702,0,0,0,0
EUNAM2500,0,0,0,0
EUNAM2501,0,0,0,0
EUSLB2600,0,0,0,0
EUSLB2601,0,0,0,0
EVUB2802,0,0,0,0
EVUB2804,0,0,0,0
LACTU2010,0,0,0,0
LACTU2020,0,0,0,0
LACTU2030,0,0,0,0
LACTU2040,0,0,0,0
LACTU2110,0,0,0,0
LACTU2170,0,0,0,0
LACTU2210,0,0,0,0
LACTU2220,0,0,0,0
LACTU2230,0,0,0,0
LACTU2240,0,0,0,0
LACTU2260,0,0,0,0
LACTU2270,0,0,0,0
LACTU2280,0,0,0,0
LACTU2900,0,0,0,0
LACTU2910,0,0,0,0
LADPU2900,0,0,0,0
LADPU2920,0,0,0,0
LAGES2530,0,0,0,0
LAGES2801,0,0,0,0
LAGES2802,0,0,0,0
LAGES2803,0,0,0,0
LAGES2804,0,0,0,0
LAGES9001,0,0,0,0
LAGES9002,0,0,0,0
LAGES9003,0,0,0,0
LAGES9009,0,0,0,0
LAGES9010,0,0,0,0
LAGES9011,0,0,0,0
LAGRE2020C,0,0,0,0
LAGRE2020D,0,0,0,0
LAGRE2020P,0,0,0,0
LAGRE2020Q,0,0,0,0
LAGRE2120,0,0,0,0
LAGRE2120P,0,0,0,0
LAGRE2120Q,0,0,0,0
LAGRE2120S,0,0,0,0
LAGRE2120T,0,0,0,0
LAGRE2220,0,0,0,0
LAGRE2221,0,0,0,0
LAGRE2310,0,0,0,0
LAGRE2400,0,0,0,0
LALLE1100,0,0,0,0
LALLE1212,0,0,0,0
LALLE1230,0,0,0,0
LALLE1300,0,0,0,0
LALLE1313,0,0,0,0
LALLE1315,0,0,0,0
LALLE1330,0,0,0,0
LALLE1331,0,0,0,0
LALLE1332,0,0,0,0
LALLE1500,0,0,0,0
LALLE1532,0,0,0,0
LALLE1710,0,0,0,0
LALLE2710,0,0,0,0
LALLE2711,0,0,0,0
LALLE2712,0,0,0,0
LANG1861,0,0,0,0
LANG1862,0,0,0,0
LANG1863,0,0,0,0
LANGL1111,0,0,0,0
LANGL1134,0,0,0,0
LANGL1181,0,0,0,0
LANGL1182,0,0,0,0
LANGL1183,0,0,0,0
LANGL1184,0,0,0,0
LANGL1212,0,0,0,0
LANGL1234,0,0,0,0
LANGL1282,0,0,0,0
LANGL1313,0,0,0,0
LANGL1315,0,0,0,0
LANGL1330,0,0,0,0
LANGL1331,0,0,0,0
LANGL1332,0,0,0,0
LANGL1333,0,0,0,0
LANGL1383,0,0,0,0
LANGL1500,0,0,0,0
LANGL1531,0,0,0,0
LANGL1532,0,0,0,0
LANGL1700,0,0,0,0
LANGL1720,0,0,0,0
LANGL1841,0,0,0,0
LANGL1842,0,0,0,0
LANGL1851,0,0,0,0
LANGL1854,0,0,0,0
LANGL1855,0,0,0,0
LANGL1856,0,0,0,0
LANGL1881,0,0,0,0
LANGL1882,0,1,0,0
LANGL1971,0,0,0,0
LANGL1972,0,0,0,0
LANGL1973,0,0,0,0
LANGL2423,0,0,0,0
LANGL2431,0,0,0,0
LANGL2432,0,0,0,0
LANGL2433,0,0,0,0
LANGL2440,0,0,0,0
LANGL2451,0,0,0,0
LANGL2453,0,0,0,0
LANGL2454,0,0,0,0
LANGL2480,0,0,0,0
LANGL2600,0,0,0,0
LANGL2601,0,0,0,0
LANGL2623,0,0,0,0
LANGL2710,0,0,0,0
LANGL2711,0,0,0,0
LANGL2712,0,0,0,0
LANSO1390,0,0,0,0
LANSO1391,0,0,0,0
LANSO1392,0,0,0,0
LANSO1393,0,0,0,0
LANTR2000,0,0,0,0
LANTR2005,0,0,0,0
LANTR2010,0,0,0,0
LANTR2015,0,0,0,0
LANTR2020,0,0,0,0
LANTR2030,0,0,0,0
LANTR2035,0,0,0,0
LANTR2045,0,0,0,0
LANTR2055,0,0,0,0
LANTR2080,0,0,0,0
LANTR2095,0,0,0,0
LANTR2100,0,0,0,0
LANTR2130,0,0,0,0
LANTR2140,0,0,0,0
LANTR2900,0,0,0,0
LANTR2901,0,0,0,0
LANTR2950,0,0,0,0
LARAB1100,0,0,0,0
LARAB1102,0,0,0,0
LARAB1301,0,0,0,0
LARAB1302,0,0,0,0
LARAB1303,0,0,0,0
LARAB2500,0,0,0,0
LARKE1110,0,0,0,0
