id,climate,energy,environment,resources,sustainability,dedicated
QB1644,0,0,0,0,0,0
QC1714,0,0,0,0,0,0
QE1641,0,0,0,0,0,0
QE1642,0,0,0,0,0,0
QE1643,0,0,0,0,0,0
QA0731,0,0,0,0,0,0
QA076F,0,0,0,0,0,0
QA076I,0,0,0,0,0,0
QA076J,0,0,0,0,0,0
QA076K,0,0,0,0,0,0
QA076M,0,0,0,0,0,0
QA076Q,0,0,0,0,0,0
QA076Z,0,0,0,0,0,0
QA0771,0,0,0,0,0,0
QA077A,0,0,0,0,0,0
QA077U,0,0,0,0,0,0
QA077V,0,0,0,0,0,0
QA078H,0,0,0,0,0,0
QA078N,0,0,0,0,0,0
QA07MF,0,0,0,0,0,0
QA07MI,0,0,0,0,0,0
QA07MJ,0,0,0,0,0,0
QA07MK,0,0,0,0,0,0
QA07MP,0,0,0,0,0,0
QA07MY,0,0,0,0,0,0
QA07N1,0,0,0,0,0,0
QA07N6,0,0,0,0,0,0
QA07NG,0,0,0,0,0,0
QA07NV,0,0,0,0,0,0
QA07NW,0,0,0,0,0,0
QA07O5,0,0,0,0,0,0
QA07YY,0,0,0,0,0,0
QA07YZ,0,0,0,0,0,0
QA07ZD,0,0,0,0,0,0
QA07ZF,0,0,0,0,0,0
QA07ZG,0,0,0,0,0,0
QA0855,0,0,0,0,0,0
QA0856,0,0,0,0,0,0
QA0858,0,0,0,0,0,0
QA085B,0,0,0,0,0,0
QA088L,0,0,0,0,0,0
QA1011,0,0,0,0,0,0
QA1012,0,0,0,0,0,0
QA1021,0,0,0,0,0,0
QA1026,0,0,0,0,0,0
QA1031,0,0,0,0,0,0
QA1047,0,0,0,0,0,0
QA1048,0,0,0,0,0,0
QA1051,0,0,0,0,0,0
QA1053,0,0,0,0,0,0
QA1054,0,0,0,0,0,0
QA1066,0,0,0,0,0,0
QA1076,0,0,0,0,0,0
QA1077,0,0,0,0,0,0
QA1092,0,0,0,0,0,0
QA1095,0,0,0,0,0,0
QA1111,0,0,0,0,0,0
QA1123,0,0,0,0,0,0
QA1126,0,0,0,0,0,0
QA1128,0,0,0,0,0,0
QA1130,0,0,0,0,0,0
QA1131,0,0,0,0,0,0
QA1137,0,0,0,0,0,0
QA1158,0,0,0,0,0,0
QA1166,0,0,0,0,0,0
QA1208,0,0,0,0,0,0
QA1211,0,0,0,0,0,0
QA1212,0,0,0,0,0,0
QA1214,0,0,0,0,0,0
QA1226,0,0,0,0,0,0
QA1228,0,0,0,0,0,0
QA1229,0,0,0,0,0,0
QA1234,0,0,0,0,0,0
QA1252,0,0,0,0,0,0
QA1261,0,0,0,0,0,0
QA1291,0,0,0,0,0,0
QA1293,0,0,0,0,0,0
QA1294,0,0,0,0,0,0
QA1301,0,0,0,0,0,0
QA1302,0,0,0,0,0,0
QA1311,0,0,0,0,0,0
QA1313,0,0,0,0,0,0
QA1314,0,0,0,0,0,0
QA1323,0,0,0,0,0,0
QA1325,0,0,0,0,0,0
QA1330,0,0,0,0,0,0
QA1333,0,0,0,0,0,0
QA1337,0,0,0,0,0,0
QA1338,0,0,0,0,0,0
QA1342,0,0,0,0,0,0
QA1345,0,0,0,0,0,0
QA1346,0,0,0,0,0,0
QA1353,0,0,0,0,0,0
QA1363,0,0,0,0,0,0
QA1364,0,0,0,0,0,0
QA1365,0,0,0,0,0,0
QA1372,0,0,0,0,0,0
QA1374,0,0,0,0,0,0
QA1379,0,0,0,0,0,0
QA1381,0,0,0,0,0,0
QA1382,0,0,0,0,0,0
QA1387,0,0,0,0,0,0
QA1389,0,0,0,0,0,0
QA1397,0,0,0,0,0,0
QA1399,0,0,0,0,0,0
QA1403,0,0,0,0,0,0
QA1409,0,0,0,0,0,0
QA1410,0,0,0,0,0,0
QA1420,0,0,0,0,0,0
QA1423,0,0,0,0,0,0
QA1424,0,0,0,0,0,0
QA1427,0,0,0,0,0,0
QA1428,0,0,0,0,0,0
QA1429,0,0,0,0,0,0
QA1430,0,0,0,0,0,0
QA1431,0,0,0,0,0,0
QA1432,0,0,0,0,0,0
QA1433,0,0,0,0,0,0
QA1434,0,0,0,0,0,0
QA1435,0,0,0,0,0,0
QA1436,0,0,0,0,0,0
QA1439,0,0,0,0,0,0
QA1440,0,0,0,0,0,0
QA1442,0,0,0,0,0,0
QA1443,0,0,0,0,0,0
QA1444,0,0,0,0,0,0
QA1445,0,0,0,0,0,0
QA1446,0,0,0,0,0,0
QA1447,0,0,0,0,0,0
QA1448,0,0,0,0,0,0
QA1449,0,0,0,0,0,0
QA1450,0,0,0,0,0,0
QA1451,0,0,0,0,0,0
QA1452,0,0,0,0,0,0
QA1453,0,0,0,0,0,0
QA1454,0,0,0,0,0,0
QA1455,0,0,0,0,0,0
QA1456,0,0,0,0,0,0
QA1457,0,0,0,0,0,0
QA1458,0,0,0,0,0,0
QA1459,0,0,0,0,0,0
QA1460,0,0,0,0,0,0
QA1461,0,0,0,0,0,0
QA1462,0,0,0,0,0,0
QA1463,0,0,0,0,0,0
QA1464,0,0,0,0,0,0
QA1465,0,0,0,0,0,0
QA1466,0,0,0,0,0,0
QA1470,0,0,0,0,0,0
QA1471,0,0,0,0,1,0
QA1472,0,0,0,0,0,0
QA1473,0,0,0,0,0,0
QA1474,0,0,0,0,0,0
QA1476,0,0,0,0,0,0
QA1477,0,0,0,0,0,0
QA1479,0,0,0,0,0,0
QA1480,0,0,0,0,0,0
QA1481,0,0,0,0,0,0
QA1483,0,0,0,0,0,0
QA1485,0,0,0,0,0,0
QA1486,0,0,0,0,0,0
QA1487,0,0,0,0,0,0
QA1488,0,0,0,0,0,0
QA1489,0,0,0,0,0,0
QA1493,0,0,0,0,0,0
QA1494,0,0,0,0,0,0
QA1499,0,0,0,0,0,0
QA1500,0,0,0,0,0,0
QA1503,0,0,0,0,0,0
QA1504,0,0,0,0,1,0
QA1505,0,0,0,0,1,0
QA1506,0,0,0,0,0,0
QA1507,0,0,0,0,0,0
QA1508,0,0,0,0,0,0
QA1509,0,0,0,0,0,0
QA1510,0,0,0,0,0,0
QA1511,0,0,0,0,0,0
QA1514,0,0,0,0,0,0
QA1515,0,0,0,0,0,0
QA1518,0,0,0,0,0,0
QA1519,0,0,0,0,0,0
QA1523,0,0,0,0,0,0
QA1524,0,0,0,0,0,0
QA1525,0,0,0,0,0,0
QA1526,0,0,0,0,0,0
QA1527,0,0,0,0,0,0
QA1528,0,0,0,0,0,0
QA1529,0,0,0,0,0,0
QA1530,0,0,0,0,0,0
QA1531,0,0,0,0,0,0
QA1532,0,0,0,0,0,0
QA1537,0,0,0,0,0,0
QA1538,0,0,0,0,0,0
QA1539,0,0,0,0,0,0
QA1540,0,0,0,0,0,0
QA1541,0,0,0,0,0,0
QA1542,0,0,0,0,0,0
QA1543,0,0,0,0,0,0
QA1544,0,0,0,0,0,0
QA1547,0,0,0,0,0,0
QA1548,0,0,0,0,0,0
QA1549,0,0,0,0,0,0
QA1550,0,0,0,0,0,0
QA1551,0,0,0,0,0,0
QA1552,0,0,0,0,0,0
QA1554,0,0,0,0,0,0
QA1556,0,0,0,0,0,0
QA1557,0,0,0,0,0,0
QA1560,0,0,0,0,0,0
QA1561,0,0,0,0,0,0
QA1562,0,0,0,0,0,0
QA1563,0,0,0,0,0,0
QA1565,0,0,0,0,0,0
QA1566,0,0,0,0,0,0
QA1567,0,0,0,0,0,0
QA1568,0,0,0,0,0,0
QA1569,0,0,0,0,0,0
QA1570,0,0,0,0,0,0
QA1572,0,0,0,0,0,0
QA1573,0,0,0,0,0,0
QA1574,0,0,0,0,0,0
QA1575,0,0,0,0,0,0
QA1578,0,0,0,0,0,0
QA1581,0,0,0,0,0,0
QA1582,0,0,0,0,0,0
QA1583,0,0,0,0,0,0
QA1584,0,0,0,0,0,0
QA1585,0,0,0,0,0,0
QA1586,0,0,0,0,0,0
QA1588,0,0,0,0,0,0
QA1589,0,0,0,0,0,0
QA1590,0,0,0,0,0,0
QA1591,0,0,0,0,0,0
QA1593,0,0,0,0,0,0
QA1594,0,0,0,0,0,0
QA1595,0,0,0,0,0,0
QA1596,0,0,0,0,0,0
QA1597,0,0,0,0,0,0
QA1598,0,0,0,0,0,0
QA1599,0,0,0,0,0,0
QA1600,0,0,0,0,0,0
QA1601,0,0,0,0,0,0
QA1602,0,0,0,0,0,0
QA1603,0,0,0,0,0,0
QA1604,0,0,0,0,0,0
QA1605,0,0,0,0,0,0
QA1606,0,0,0,0,0,0
QA1607,0,0,0,0,0,0
QA1608,0,0,0,0,0,0
QA1609,0,0,0,0,0,0
