id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
QB1644,0,0,0,0,0,0,0,0,0,0,0,0,0
QB1645,0,0,0,0,0,0,0,0,0,0,0,0,0
QB1646,0,0,0,0,0,0,0,0,0,0,0,0,0
QC1831,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1453,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1454,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1455,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1709,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1710,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1711,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1712,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1713,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1715,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1716,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1717,0,0,0,0,0,0,0,0,1,0,0,0,0
QD1718,0,0,0,0,0,0,0,0,0,0,0,0,0
QD1719,0,0,0,0,0,0,0,0,0,1,0,0,1
QE1697,0,0,0,0,0,0,0,0,0,0,0,0,0
QE1698,0,0,0,0,0,0,0,0,0,0,0,0,0
QE1715,0,0,0,0,0,0,0,0,0,0,0,0,0
QE1716,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1518,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1524,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1530,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1531,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1532,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1533,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1534,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1710,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1711,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1712,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1713,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1714,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1715,0,0,0,0,0,0,0,0,0,0,0,0,0
QF1716,0,0,0,0,0,0,0,0,0,0,0,0,0
QFECH2,0,0,0,0,0,0,0,0,0,0,0,0,0
QL0001,0,0,0,0,0,0,0,0,0,0,0,0,0
QL0002,0,0,0,0,0,0,0,0,0,0,0,0,0
QA076J,0,0,0,0,0,0,0,0,0,0,0,0,0
QA076K,0,0,0,0,0,0,0,0,0,0,0,0,0
QA076Q,0,0,0,0,0,0,0,0,0,0,0,0,0
QA076Z,0,0,0,0,0,0,0,0,0,0,0,0,0
QA0771,0,0,0,0,0,0,0,0,0,0,0,0,0
QA077A,0,0,0,0,0,0,0,0,0,0,0,0,0
QA077V,0,0,0,0,0,0,0,0,0,0,0,0,0
QA078N,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07MF,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07MI,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07MJ,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07MK,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07N6,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07NG,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07NV,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07NW,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07O5,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07YY,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07YZ,0,0,0,0,0,0,0,0,0,0,0,0,0
QA07ZD,0,0,0,0,0,0,0,0,0,0,0,0,0
QA0855,0,0,0,0,0,0,0,0,0,0,0,0,0
QA0858,0,0,0,0,0,0,0,0,0,0,0,0,0
QA085B,0,0,0,0,0,0,0,0,0,0,0,0,0
QA088L,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1011,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1021,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1026,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1047,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1051,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1053,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1054,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1066,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1111,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1123,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1126,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1130,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1137,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1158,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1166,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1208,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1211,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1214,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1226,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1228,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1229,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1252,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1261,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1293,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1301,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1302,0,0,0,0,0,0,0,1,0,0,0,0,0
QA1311,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1313,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1314,0,0,0,0,0,0,0,1,0,0,0,1,0
QA1330,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1337,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1338,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1342,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1345,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1346,0,0,0,0,0,0,0,1,0,0,0,0,0
QA1353,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1363,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1364,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1365,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1372,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1379,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1381,0,0,0,0,0,0,0,1,0,0,0,0,0
QA1387,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1403,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1409,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1410,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1427,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1428,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1429,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1431,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1433,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1434,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1435,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1439,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1440,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1442,0,0,0,0,0,0,0,1,0,0,0,0,0
QA1446,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1450,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1452,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1453,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1454,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1455,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1456,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1471,0,0,0,0,0,0,0,1,0,0,0,0,0
QA1472,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1476,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1477,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1483,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1485,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1486,0,0,0,0,0,0,0,1,0,0,0,0,0
QA1487,0,0,0,0,0,0,0,1,0,0,0,0,0
QA1488,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1489,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1493,0,0,0,0,0,0,0,1,0,0,0,0,0
QA1494,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1499,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1500,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1503,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1504,0,0,0,1,0,0,0,1,0,0,0,0,0
QA1508,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1509,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1510,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1515,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1524,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1525,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1527,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1529,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1531,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1532,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1537,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1539,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1540,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1541,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1542,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1544,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1547,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1549,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1554,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1556,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1557,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1561,0,0,0,0,0,0,0,0,0,0,0,0,0
QA1562,0,0,0,0,0,0,0,0,0,0,0,0,0
