id,climate,energy,environment,resources,sustainability,dedicated,total
SC_55518540,0,0,0,0,0,0,0
SC_55586737,0,0,0,0,1,0,1
SC_51846587,0,0,0,0,1,0,1
SC_51846586,0,0,0,0,1,0,1
SC_55586433,0,0,0,0,1,0,1
SC_55585246,0,0,0,0,1,0,1
SC_56873990,1,0,0,0,3,0,4
SC_51846557,0,0,0,0,0,0,0
SC_52428067,0,0,0,0,1,0,1
SC_55583780,0,0,0,0,1,0,1
SC_55586430,0,0,0,0,1,0,1
SC_53707405,0,0,0,0,1,0,1
SC_51846570,0,0,0,0,2,0,2
SC_55010992,0,0,0,0,1,0,1
SC_53264838,1,0,1,0,0,0,2
SC_55648437,1,0,1,0,0,0,2
SC_53264036,1,0,1,0,1,0,3
SC_55648314,1,0,1,0,0,0,2
SC_55647637,1,0,1,0,0,0,2
SC_53263069,1,0,1,0,1,0,3
SC_55646196,1,0,1,0,1,0,3
SC_51905996,1,2,2,0,1,2,5
SC_55651042,0,2,3,0,2,1,5
SC_54059027,1,2,3,0,3,2,7
SC_55642134,0,2,3,0,3,1,6
SC_54078226,0,0,0,0,0,0,0
SC_52869895,0,0,0,0,0,0,0
SC_52102068,0,0,0,0,0,0,0
SC_51846581,0,0,0,0,0,0,0
SC_51846573,0,0,0,0,0,0,0
SC_51846594,0,0,0,0,0,0,0
SC_51846571,0,0,0,0,0,0,0
SC_52448872,0,0,2,0,3,0,3
SC_55009912,0,0,0,0,0,0,0
SC_55009210,0,0,0,0,0,0,0
SC_51846599,0,0,4,0,6,0,6
SC_55039998,0,0,0,0,2,0,2
SC_56148949,0,0,0,0,0,0,0
SC_55561488,0,0,0,0,0,0,0
SC_52428063,0,0,0,0,0,0,0
SC_53782268,0,0,0,0,0,0,0
SC_51846554,0,0,0,0,0,0,0
SC_51846595,0,0,0,0,0,0,0
SC_51846553,0,0,0,0,1,0,1
SC_54078391,0,0,0,0,0,0,0
SC_56275206,0,0,0,0,0,0,0
SC_51846560,0,0,1,0,1,0,1
SC_53714021,0,0,0,0,1,0,1
SC_53644954,0,0,0,0,1,0,1
SC_53638535,0,0,0,0,1,0,1
SC_52428101,0,0,0,0,0,0,0
SC_56143275,0,1,0,0,2,2,3
SC_51846563,0,1,0,0,1,0,2
SC_56143294,0,1,0,0,1,0,2
SC_56750409,0,0,0,0,1,0,1
SC_55009204,0,16,1,0,2,7,18
SC_55009070,0,1,0,0,2,2,3
SC_56140353,0,1,0,0,1,1,2
SC_56139271,0,0,0,0,0,0,0
SC_51846561,0,5,9,0,10,5,16
SC_56143289,0,2,0,0,1,0,3
SC_51846562,0,5,0,0,1,1,6
SC_51846564,0,1,0,0,3,3,4
SC_52428058,0,0,0,0,2,0,2
SC_53263931,0,0,0,0,0,0,0
SC_54045961,0,0,0,0,0,0,0
SC_54088811,0,0,1,0,6,0,6
SC_51846597,0,0,1,0,1,1,1
SC_55009056,0,0,0,0,0,0,0
SC_56891245,0,0,0,0,0,0,0
SC_57132837,0,0,0,0,0,0,0
SC_52428071,0,0,0,0,0,0,0
SC_52428070,0,0,0,0,0,0,0
SC_56265894,0,0,0,0,0,0,0
SC_56841053,0,0,1,0,3,1,3
SC_55007261,0,0,2,0,5,2,5
SC_55007143,0,0,4,0,5,2,7
SC_55007134,0,0,3,0,6,2,6
SC_55007048,0,0,1,0,5,1,5
SC_55006968,0,0,2,0,5,2,5
SC_55006958,0,0,1,0,4,1,4
SC_54088257,0,0,0,0,2,0,2
SC_51846607,0,0,0,0,0,0,0
SC_54073040,0,0,0,0,0,0,0
SC_52044578,0,0,0,0,0,0,0
SC_51906902,0,0,0,0,0,0,0
SC_51906901,0,0,0,0,0,0,0
