id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
SC_55586737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846587,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_51846586,0,0,0,0,0,0,0,2,0,0,0,0,0,2
SC_55585246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54088811,0,0,0,0,0,0,0,10,0,0,0,0,0,10
SC_57322974,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846597,0,0,0,0,0,0,0,7,0,0,0,0,1,7
SC_56756396,0,0,0,0,0,0,0,1,0,0,0,0,1,1
SC_52428067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56841053,0,0,0,2,0,0,0,7,0,0,0,0,1,8
SC_55007261,0,0,0,2,0,0,0,12,0,0,0,0,2,12
SC_55007143,2,0,0,2,0,0,0,15,0,0,0,0,2,17
SC_55007134,0,0,0,2,0,0,0,9,0,0,0,1,2,9
SC_55007048,0,0,0,3,0,0,0,11,0,0,0,0,1,12
SC_55006968,0,0,0,2,0,0,0,8,0,0,0,0,2,8
SC_55006958,0,0,0,2,0,0,0,8,0,0,0,0,1,8
SC_55583780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53707405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55010992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53264838,0,0,2,0,0,0,0,1,0,0,0,0,0,3
SC_55648437,0,0,2,0,0,0,0,1,0,0,0,0,0,3
SC_55647637,0,0,2,0,0,0,0,1,0,0,0,0,0,3
SC_55646196,0,0,2,0,0,0,0,1,0,0,0,0,0,3
SC_51905996,1,0,2,0,2,0,0,10,0,0,0,1,3,14
SC_55651042,1,0,1,0,2,0,0,14,0,0,0,1,2,17
SC_55642134,1,0,1,0,2,0,0,15,0,0,0,1,2,18
SC_52869895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57309686,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_52102068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52448872,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SC_55561488,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SC_51846599,0,0,0,0,0,0,0,8,0,0,0,0,0,8
SC_55039998,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_56148949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55009912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55009210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52428063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57309070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54078391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53714021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53644954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_53638535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56275206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52428101,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SC_56143275,0,0,0,0,18,0,0,0,0,0,0,0,5,18
SC_57310126,0,0,0,0,2,0,0,0,0,0,0,0,0,2
SC_57309712,1,0,0,0,5,0,0,0,0,0,0,0,1,6
SC_56750409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56139271,0,0,0,0,2,0,0,0,0,0,0,0,1,2
SC_56140353,0,0,0,2,1,0,0,2,1,0,0,0,2,4
SC_55009204,0,0,0,2,16,0,0,2,7,0,0,0,7,18
SC_51846561,0,0,0,0,4,0,0,4,1,0,0,1,5,9
SC_56143294,0,0,0,0,5,0,0,0,0,0,0,0,0,5
SC_56143289,0,0,0,0,6,0,0,0,0,0,0,0,0,6
SC_51846562,1,0,0,0,8,0,0,0,0,0,0,0,1,9
SC_57310125,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SC_51846563,0,0,0,0,6,0,0,0,0,0,0,0,0,6
SC_51846564,0,0,0,0,30,0,0,0,0,0,0,0,7,30
SC_51846560,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SC_55009070,0,0,0,2,0,0,0,2,0,0,0,0,2,2
SC_52428058,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SC_53263931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54045961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56873990,0,0,0,3,1,0,0,0,0,0,0,0,0,4
SC_51846557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55009056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_56891245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57132837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52428071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52428070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51846607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_52044578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_57431168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51906902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_51906901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55518540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55586433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_55586430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC_54078226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
