id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
BANGL1191,0,0,0,0,0,0,0,0,0,0,0,0,0
BANGL1192,0,0,0,0,0,0,0,0,0,0,0,0,0
BANGL1291,0,0,0,0,0,0,0,0,0,0,0,0,0
BANGL1292,0,0,0,0,0,0,0,0,0,0,0,0,0
BANGL1392,0,0,0,0,0,0,0,0,0,0,0,0,0
BANGL1391,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1210,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1211,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1213,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1212,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1250,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1310,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1313,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1314,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1316,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1315,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1317,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU1318,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2103,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2104,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2106,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2108,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2107,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2109,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2111,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2110,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2113,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2114,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2115,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2116,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2201,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2117,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2205,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2202,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2212,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2217,0,0,0,0,0,0,0,0,0,0,0,0,0
BCOMU2218,0,0,0,0,0,0,0,0,0,0,0,0,0
BDPIM2111,1,0,1,0,0,0,0,0,0,0,0,0,0
BDPIM2112,0,0,0,0,0,0,0,1,0,0,0,0,0
BDPIM2113,1,0,0,0,0,0,0,1,0,0,0,0,0
BDPIM2121,0,0,0,0,0,0,0,1,1,0,0,0,1
BDPIM2122,0,0,0,0,0,0,0,1,1,0,0,0,1
BDPIM2131,1,0,0,0,0,0,0,1,0,0,0,0,1
BDPIM2140,0,0,0,0,0,0,0,0,0,0,0,0,0
BDPIM2150,0,0,0,0,0,0,0,1,0,0,0,0,1
