id,climate,energy,environment,resources,sustainability,dedicated,total
ABUS2FC,0,0,0,0,0,0,0
ACGP2FC,0,0,0,0,0,0,0
ACPA2FC,0,0,0,0,0,0,0
ACPS7FC,0,0,0,0,0,0,0
ACSP2FC,0,0,0,0,0,0,0
ACSS2FC,0,0,0,0,0,0,0
ACTI2FC,0,0,0,0,0,0,0
ACTU2M,0,0,0,0,0,0,0
ADAV2FC,0,0,0,0,0,0,0
ADBA2FC,0,0,0,0,0,0,0
ADPM2M,0,0,0,0,0,0,0
ADPU2M,2,0,3,0,3,4,5
AGRO3CE,0,0,0,0,0,0,0
AIGU2MC,0,0,0,0,0,0,0
ALCO2FC,0,0,0,0,0,0,0
ALGO2FC,0,0,0,0,0,0,0
ANAP2MC,0,0,0,0,0,0,0
ANES2MC,0,0,0,0,0,0,0
ANME7FC,0,0,0,0,0,0,0
ANPC2FC,0,0,0,0,0,0,0
ANSO2FC,0,0,0,0,0,0,0
ANTE7FC,0,0,0,0,0,0,0
ANTR2M,3,0,2,0,1,1,4
APHE7FC,0,0,0,0,0,0,0
APHM2M,0,0,0,0,0,0,0
APIC2FC,0,0,0,0,0,0,0
APPBIOL,0,0,0,0,0,0,0
APPCHIM,0,0,0,0,0,0,0
APPCOMU,0,0,0,0,0,0,0
APPDRT,0,0,0,0,0,0,0
APPECON,0,0,0,0,0,0,0
APPEDPH,0,0,0,0,0,0,0
APPFARM,0,0,0,0,0,0,0
APPFARR,0,0,0,0,0,0,0
APPGEOG,0,0,0,0,0,0,0
APPGEST,0,0,0,0,0,0,0
APPHYS,1,0,0,0,0,1,1
APPKULCOMORG,0,0,0,0,0,0,0
APPKULCULTCOM,0,0,0,0,0,0,0
APPKULJOURN,0,0,0,0,0,0,0
APPMATH,0,0,0,0,0,0,0
APPMONDE,0,0,0,0,0,0,0
APPSBIM,0,0,0,0,0,0,0
APPSINF,0,0,0,0,0,0,0
APPSTAT,0,0,0,0,0,0,0
APPSTIC,0,0,0,0,0,0,0
APPTHEO,0,0,0,0,0,0,0
ARCB1BA,0,0,1,1,1,1,2
ARCB2M,1,0,1,0,2,0,3
ARCH1BA,0,0,0,0,0,0,0
ARCH2M,1,2,1,0,1,1,4
ARCT1BA,0,0,1,1,2,1,3
ARCT2M,1,0,0,0,0,0,1
ARDD2FC,0,0,0,0,0,0,0
ARKE1BA,0,0,0,0,0,0,0
ARKE2A,0,0,0,0,0,0,0
