id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
ABUS2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACGP2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACPA2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSP2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSS2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTI2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTU2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAV2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADBA2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPM2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPU2M,2,1,9,1,2,1,0,17,2,0,1,0,5,23
AGRO3CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIGU2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCO2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGO2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAP2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANES2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANME7FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANPC2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANSO2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTE7FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTR2M,1,0,8,0,3,1,0,16,2,0,1,0,7,18
APHM2M,0,0,1,0,0,0,0,0,0,0,0,0,0,1
APHY2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APIC2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPBIOL,0,0,5,0,1,0,0,10,2,0,0,0,4,11
APPCHIM,0,0,1,0,0,0,0,1,2,0,0,0,0,2
APPCOMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPDRT,0,0,1,1,0,0,0,1,2,0,0,0,1,2
APPECON,0,0,1,1,0,0,0,1,1,1,0,0,0,1
APPEDPH,0,0,0,0,0,0,0,2,1,0,0,2,0,3
APPFARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPFARR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPGEOG,0,0,3,0,1,0,0,3,1,0,1,0,3,4
APPGEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPHYS,0,1,1,0,0,0,0,0,0,0,0,0,1,1
APPKULCOMORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPKULCULTCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPKULJOURN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPMATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPMONDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPSBIM,0,0,0,0,0,0,0,0,1,0,0,0,0,1
APPSINF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPSTAT,0,0,0,0,0,0,0,1,0,0,0,0,0,1
APPTHEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCB1BA,2,1,3,0,2,0,1,4,2,0,1,0,1,7
ARCB2M,5,0,5,4,3,0,1,13,0,2,2,0,3,15
ARCH1BA,0,0,0,0,1,0,0,2,1,0,2,0,1,3
ARCH2M,8,0,1,0,3,0,0,7,1,0,0,0,2,13
ARCT1BA,4,1,1,0,2,0,1,4,2,0,1,0,2,8
ARCT2M,6,0,3,1,3,0,0,9,0,2,2,0,3,12
ARKE1BA,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ARKE2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARKE2M,0,0,0,0,0,0,0,1,2,0,0,0,0,2
ARKE2M1,0,0,0,0,0,0,0,2,3,0,0,0,0,3
ASBL2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSO2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSU2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUTI2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBMC2M,0,0,0,0,0,0,0,3,2,0,0,0,0,4
BCMM2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BICL2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIMM2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIMO7FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL1BA,0,0,1,0,0,0,0,10,1,0,0,0,4,11
BIOL2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOL2M1,0,0,1,0,0,0,0,17,5,0,1,0,12,22
BIR1BA,0,0,6,0,4,0,0,12,2,1,1,0,6,17
BIRA2M,3,3,9,1,8,7,0,28,3,1,5,0,11,41
BIRC2M,0,4,6,1,6,1,0,14,7,3,8,1,9,26
BIRE2M,7,3,5,2,8,4,0,26,8,5,10,0,15,46
BIRF2M,7,1,4,1,4,5,0,29,4,1,6,0,10,39
BOE2M,4,0,7,1,0,0,0,34,10,0,2,0,22,40
BOIS2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAS2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSTA2M,0,0,1,0,0,0,0,3,0,0,0,0,0,4
BUET2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUPP2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEM2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGE2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPA2CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAN8FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHG2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIM1BA,0,0,1,0,0,0,0,2,0,0,0,0,0,2
CHIM2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIM2M,0,0,1,0,1,0,0,6,3,1,1,0,1,8
CHIM2M1,0,0,1,0,1,0,0,4,2,1,0,0,0,5
CHOIXCOMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOIXHUSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOIXSOCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOIXSPOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHPL2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAS1BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAS2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLAS2M,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CLAS2M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLIM2M,0,2,15,0,1,0,0,9,0,0,0,0,14,23
COHM2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COIN9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMM1BA,0,0,0,2,0,0,0,4,0,1,0,0,0,6
COMM2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMM2M,0,0,0,0,0,0,0,2,0,0,0,0,1,2
COMM2M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMU1BA,0,0,1,0,0,0,0,0,0,0,0,0,0,1
COMU2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMU2M1,0,0,1,0,0,0,0,1,0,0,0,0,0,2
CORP2M,0,0,2,0,0,0,0,3,0,0,0,0,0,4
COSO2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COWE2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPHT2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPI2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPPN2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIA2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIM2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIS8FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYBE2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSE2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATE2M,0,0,0,0,0,0,0,2,0,1,0,0,0,2
DATI2M,0,0,0,0,0,0,0,1,0,1,0,0,0,1
DATS2M,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DEGE2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENT1BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENT2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPA2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPE9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEPR9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DERM2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESA8FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESC2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESP8FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESS8FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESV8FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DETR9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DICI1FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIES2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIFL2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIIM2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIIS1FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIOR1FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIRI1FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVE2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPAF2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPIM2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRAS2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRBF2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRCA1FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRDI2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRDV2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DREF2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DREF2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DREU2MC,0,0,0,0,0,0,0,0,1,1,0,0,0,2
DRFP2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRHD2M,0,0,2,0,0,0,0,4,1,0,0,0,2,5
DRHO2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRIN2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRIN2MC,0,0,0,0,0,0,0,0,1,0,0,0,0,1
DROI1BA,0,0,1,0,0,0,0,1,0,0,0,0,0,1
DROI2M,0,0,2,0,0,0,0,3,1,1,0,0,2,5
DROI3CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTCM7FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBEP2MC,0,0,0,0,0,0,0,1,0,0,0,0,0,1
EBIB2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBIB9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECGE1BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECGE2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECHG2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECHO2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECON2M,0,1,3,3,2,1,0,8,5,1,0,0,3,12
ECON2M1,0,0,2,3,2,1,0,8,4,1,0,0,3,10
ECON2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOS2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECSO2MC,0,0,0,0,0,1,0,4,0,0,0,0,2,4
EDPH1BA,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EDPH2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDPH2M,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EDUC2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEDI2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EJL2M,0,0,2,0,0,0,0,3,0,0,0,0,0,4
ELAT9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELEC2M,0,1,0,0,3,0,0,3,0,1,0,0,1,5
ELEN2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELME2M,0,2,0,0,7,0,0,5,2,1,0,1,4,11
EMAN2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMBA2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMBC2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENDO9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENVI2MC,4,2,8,2,5,2,0,36,7,3,6,0,22,45
EPIL2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP2M,0,0,1,0,0,0,0,1,0,0,0,0,0,1
ESPO3CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETES9CE,0,0,3,0,0,0,0,6,2,0,0,0,0,8
ETHI2M,0,0,5,0,0,0,0,10,2,0,0,0,1,13
ETRI2M,0,0,1,1,0,0,0,2,2,1,0,0,0,2
EUHD2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURO2M,0,0,3,0,0,0,0,3,0,0,0,0,1,5
EVPP2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXCA9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXCO9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXIM2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXJU2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXMD2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXME2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXTH2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALM2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARI2MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARM1BA,0,0,0,0,0,0,0,1,0,0,0,0,0,1
FARM2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARM9CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEHC2M,0,0,0,0,0,0,0,0,0,0,1,0,0,1
FIAL3CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIM2FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FILA9CE,0,0,4,0,0,0,0,1,0,0,0,0,1,4
FILELEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FILFYKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FILGBIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
